Gene = Phf5a
index = 1378
Annotated 5SS: [138 405 556]
Annotated 3SS: [213 469 620]
SMsplice 5SS: [405 556]
SMsplice 3SS: [469 620]
top_k =  500
Partition function (log Z): -2.0866905895151975

Sorted 5' Splice Sites (High to Low Probability):
Position 405: 0.97267102476734
Position 556: 0.9193109973897301
Position 138: 0.3563799686078021
Position 332: 0.014550915217907764
Position 606: 0.013241137083066486
Position 134: 0.0012775960566049898
Position 560: 0.0004349803260158245
Position 417: 0.00031623704839870266
Position 442: 0.00024008655806648674
Position 6: 0.00023165347919234876
Position 409: 0.00021991647352961663
Position 248: 0.00013351551178407143
Position 12: 8.86826868774258e-05
Position 491: 4.922552104293196e-05
Position 270: 1.6387404186957318e-05
Position 430: 1.5118859115337224e-05
Position 575: 1.4374621202472152e-05
Position 439: 1.0659267501809651e-05
Position 288: 9.607803633350163e-06
Position 380: 8.810417863396363e-06
Position 49: 7.650765674943976e-06
Position 359: 7.080819791064631e-06
Position 28: 4.940223020697841e-06
Position 158: 4.76845281281028e-06
Position 142: 3.1166917044247533e-06
Position 4: 2.362072482294422e-06
Position 250: 1.2874355290384654e-06
Position 336: 1.1765263840120508e-06
Position 252: 4.728490842811585e-07
Position 343: 3.982623209584229e-07
Position 357: 2.4399559477376705e-07
Position 227: 2.1013202246225462e-07
Position 460: 1.9841982823751157e-07
Position 520: 1.2600751535137572e-07
Position 229: 1.144266008771107e-07
Position 305: 3.3592622874853507e-08
Position 450: 1.3129963831525273e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 469: 0.9839530593111541
Position 620: 0.6538178722372706
Position 213: 0.34511691401669875
Position 674: 0.2836882619423953
Position 237: 0.003706030358232908
Position 326: 0.003705321217037222
Position 500: 0.002089087184602239
Position 395: 0.0008792691906994672
Position 401: 0.0006928185433125224
Position 248: 0.0006711291549993402
Position 504: 0.00036356598668756747
Position 331: 0.0002104014666167276
Position 127: 0.00015403754064200986
Position 171: 9.28961971873093e-05
Position 535: 3.509912695329845e-05
Position 124: 3.410157649211453e-05
Position 487: 2.440470025660819e-05
Position 553: 9.685467533100184e-06
Position 380: 4.608332376375938e-06
Position 556: 3.0981724289458213e-06
Position 417: 1.3300460965769625e-06
Position 305: 1.0723819196109554e-06
Position 511: 8.896555293477692e-07
Position 348: 6.374362846245802e-08
Position 567: 3.080719106016657e-08
Position 357: 2.8361166632299003e-08
Position 572: 1.1961346346311425e-08
Position 142: 2.2335868767063442e-10
