Gene = kto
index = 1741
Annotated 5SS: [ 675 3404 5192 5619 5993 6376 6887]
Annotated 3SS: [ 735 3477 5249 5677 6063 6579 6950]
SMsplice 5SS: [ 675 3404 5192 5619 5993 6376 6887]
SMsplice 3SS: [ 735 3477 5249 5677 6063 6579 6950]
top_k =  500
Partition function (log Z): 24.00304225318546

Sorted 5' Splice Sites (High to Low Probability):
Position 6887: 0.9990273423140188
Position 5993: 0.9980641035773679
Position 675: 0.9974767405077116
Position 5619: 0.9972309252939701
Position 5192: 0.9950026286921334
Position 3404: 0.9808628678311385
Position 6376: 0.9769106475128202
Position 219: 0.17082523024970345
Position 1023: 0.1265143157366814
Position 8269: 0.08832723792014877
Position 4028: 0.08191173343369604
Position 3244: 0.07487979665955692
Position 414: 0.06075517095382447
Position 3911: 0.05446537162117174
Position 3879: 0.05401344495631905
Position 381: 0.0516912956892643
Position 4106: 0.04542895288253783
Position 1944: 0.03853756827373561
Position 3875: 0.036356044214295224
Position 790: 0.035951052304408766
Position 847: 0.035645468077851405
Position 1118: 0.023160364465927414
Position 1003: 0.020567504866780134
Position 3750: 0.02024757152798082
Position 2964: 0.018191779932883016
Position 2190: 0.012297938749460963
Position 867: 0.008489521002050809
Position 254: 0.007300322172604729
Position 372: 0.005586629893192537
Position 2584: 0.005376250167475655
Position 6488: 0.005194315499461504
Position 5328: 0.0046526590406393
Position 6516: 0.004620319478154261
Position 1222: 0.0035889735045328166
Position 8242: 0.0031559296928578688
Position 1154: 0.002963354363255326
Position 876: 0.0025584232310556913
Position 1579: 0.0025518804785060606
Position 6480: 0.0022719756545922388
Position 3543: 0.0017787920797497079
Position 205: 0.001435032022379302
Position 6477: 0.001362836452756555
Position 679: 0.0012653383433825882
Position 379: 0.0011868967665539167
Position 386: 0.0009934716340645427
Position 3830: 0.0009419372479712171
Position 173: 0.0008646094256271737
Position 397: 0.0008413555801577961
Position 7388: 0.0007748074458806473
Position 3826: 0.0006283598997796357
Position 8227: 0.000611509844432948
Position 1148: 0.0005888112810360826
Position 5339: 0.0005800783919917695
