Gene = Samuel
index = 1468
Annotated 5SS: [10587 11676 31483 36334 37056 38004]
Annotated 3SS: [11518 30728 35862 36574 37310 52345]
SMsplice 5SS: [  454 11676 31483 36334 37056 38004]
SMsplice 3SS: [11518 30728 35862 36574 37310 52345]
top_k =  500
Partition function (log Z): -6.477464992034619

Sorted 5' Splice Sites (High to Low Probability):
Position 11676: 0.9999999999999979
Position 36334: 0.9575957804815683
Position 38004: 0.938866352456208
Position 31483: 0.8415004716071657
Position 37056: 0.7834762653206446
Position 2077: 0.7781839020243949
Position 2925: 0.5687869296285516
Position 454: 0.49527602005781407
Position 1762: 0.4948538186753437
Position 2600: 0.47156883493626994
Position 1208: 0.45380597750225565
Position 38138: 0.40292385488537213
Position 95: 0.4022575091648745
Position 36810: 0.1583763213630915
Position 49857: 0.14011593263793354
Position 2819: 0.1366272397662649
Position 30932: 0.11666918986619121
Position 37236: 0.1074221384283747
Position 3436: 0.057413893281250655
Position 647: 0.04116231459783958
Position 3849: 0.03371776108383338
Position 867: 0.031150490531727887
Position 1100: 0.024879815937224985
Position 2507: 0.02343614595612908
Position 36415: 0.0232785480609788
Position 280: 0.022437817888624086
Position 233: 0.02117168860681347
Position 312: 0.014830820559703958
Position 3739: 0.013548026689448184
Position 722: 0.012237670361027988
Position 304: 0.009257272763689305
Position 643: 0.008659671912123407
Position 1500: 0.008638736260389614
Position 36310: 0.00795219648024764
Position 37187: 0.006612035374724866
Position 2366: 0.006506995275235204
Position 37858: 0.006355613909977012
Position 316: 0.005862113480505071
Position 2337: 0.0052174599343427636
Position 276: 0.0049504431604086
Position 2480: 0.004822107908923592
Position 2524: 0.00478629884296364
Position 272: 0.003970366366295273
Position 2056: 0.0039453092765642465
Position 274: 0.003580483769983098
Position 954: 0.003325749357628572
Position 308: 0.003264897680683044
Position 2489: 0.0030999365951031414
Position 1944: 0.002556985251411191
Position 37943: 0.0024384606149825986
Position 270: 0.0022843024393415573
Position 37932: 0.002122837010168131
Position 36087: 0.0020376456372928438
Position 36832: 0.002002570782807587
Position 36819: 0.001625360955201252
Position 2604: 0.0009117846268775974
Position 1038: 0.0008682616143864273
Position 1774: 0.0008332130852577804
Position 979: 0.0007201261247707695
Position 2355: 0.0007000335122490723
Position 811: 0.0006730625659600882
Position 36834: 0.0006708776234426644
Position 1368: 0.0006691525351816915
Position 243: 0.000669111156690104
Position 3254: 0.0006406990523968224
Position 1987: 0.0005840146330964211
Position 37968: 0.0005638082851046419
Position 813: 0.0005238294437239612
Position 37956: 0.0003991191413883749
Position 37073: 0.00038519303604205284
Position 752: 0.0003844941270465197
Position 595: 0.0003523274416121504
Position 2457: 0.00034361772701592094
Position 258: 0.00032154617031418677
Position 526: 0.00022692528514295658
Position 800: 0.00021848922365901152
Position 3369: 0.00020428600167536043
Position 37958: 0.00020098173049975225
Position 165: 0.0001857093250654551
Position 36868: 0.00017686430895530838
Position 310: 0.00013764301856400462
Position 36786: 0.00012887897524644582
Position 607: 0.00010980528248248365
Position 278: 0.00010464586981100593
Position 284: 8.239632209277399e-05
Position 36790: 7.286069786294333e-05
Position 1076: 4.715060172373014e-05
Position 206: 4.253336082902315e-05
Position 1017: 3.540660318852653e-05
Position 26: 3.08927378974476e-05
Position 61: 1.8957416370625334e-05
Position 45013: 1.5486263143759557e-05
Position 198: 1.50815659851486e-05
Position 350: 1.235386372364343e-05
Position 302: 9.228082352988433e-06
Position 38161: 7.715858204569358e-06
Position 32: 7.163487569377047e-06
Position 4: 6.592210844754488e-06
Position 139: 6.4113183919850394e-06
Position 38517: 3.917683310129221e-06
Position 40073: 2.5924789803256746e-06
Position 183: 2.4972195232631708e-06
Position 169: 1.2652862981679002e-06
Position 38581: 4.1731610459552055e-09
Position 38851: 3.931044256409162e-09
Position 38866: 3.759596740597818e-09
Position 38385: 1.2820828850185613e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 35862: 0.9944983570776188
Position 52345: 0.9904341110452093
Position 11518: 0.9885782159574956
Position 37310: 0.9869841912376313
Position 36574: 0.9697768661797395
Position 30728: 0.9581696614733567
Position 2138: 0.7401782598944353
Position 2647: 0.45081800083519774
Position 1843: 0.41238766123190856
Position 1562: 0.35033094433206247
Position 154: 0.34057181084609833
Position 1927: 0.2240783277101049
Position 38047: 0.21025097978993906
Position 1170: 0.20974522809968393
Position 49564: 0.14938654388806089
Position 38058: 0.14114714162169212
Position 940: 0.08456342367915881
Position 396: 0.07036287363141035
Position 3003: 0.04077867213678534
Position 37161: 0.03731626324583778
Position 2651: 0.0341388440582761
Position 520: 0.029701557553298737
Position 37147: 0.028243483797832074
Position 990: 0.027252490266020855
Position 1523: 0.021655310161111704
Position 2392: 0.01999535808690896
Position 504: 0.01958231646007871
Position 3808: 0.017226065972444176
Position 540: 0.015453720649802025
Position 1991: 0.013164967995570435
Position 11521: 0.011421784042502176
Position 1023: 0.011293306751494347
Position 2375: 0.010682430941277377
Position 36376: 0.00786784559558397
Position 2354: 0.007282146960288187
Position 36613: 0.007185528607817647
Position 1456: 0.006193319713540904
Position 38067: 0.005593557911341018
Position 2435: 0.004684269787904756
Position 37182: 0.004483898462383816
Position 36630: 0.0041369401391405485
Position 1012: 0.003584302022623759
Position 2022: 0.0034328282009982733
