Gene = tut
index = 1921
Annotated 5SS: [186 431]
Annotated 3SS: [251 485]
SMsplice 5SS: [186 431]
SMsplice 3SS: [251 485]
top_k =  500
Partition function (log Z): -1.498877392672821

Sorted 5' Splice Sites (High to Low Probability):
Position 186: 0.9990982454166276
Position 431: 0.768780383331131
Position 968: 0.0991967008270939
Position 442: 0.029575308691647803
Position 435: 0.004467254879639634
Position 826: 0.003944171654230404
Position 902: 0.0022969570192413855
Position 972: 0.000577395525237579
Position 721: 0.00033696749387516453
Position 325: 0.0003286134516464909
Position 803: 0.00031622397174117876
Position 746: 0.0003096962728813679
Position 597: 0.0002820112597320713
Position 985: 0.0001451423991388093
Position 595: 0.00013171457879065842
Position 197: 0.00010700482119589855
Position 402: 6.852442488452666e-05
Position 192: 6.597434361797682e-05
Position 955: 5.519078679991145e-05
Position 568: 5.241324083711414e-05
Position 330: 4.7639527179324455e-05
Position 959: 2.9886226015051345e-05
Position 895: 2.7573979430961615e-05
Position 105: 2.3532144310868537e-05
Position 1025: 1.544055384346358e-05
Position 950: 1.3281706772657585e-05
Position 35: 1.1155389727284936e-05
Position 918: 9.996452683387288e-06
Position 892: 9.375391456730393e-06
Position 609: 7.4580547001984e-06
Position 1008: 6.580031932814592e-06
Position 190: 6.282120421688749e-06
Position 879: 3.591983681412514e-06
Position 296: 3.0494322472824408e-06
Position 648: 1.2752632084835241e-06
Position 44: 6.210578409290077e-07
Position 138: 4.6526598969589463e-07
Position 218: 4.002421485450663e-07
Position 634: 3.6856966067469526e-07
Position 526: 3.490143620765636e-07
Position 681: 2.8084414763582854e-07
Position 283: 2.7888139891356205e-07
Position 556: 2.4662960528267425e-07
Position 303: 6.634450414899876e-08
Position 33: 6.165199746948075e-08
Position 42: 2.4123666362000875e-08
Position 265: 1.4570139808434523e-08
Position 640: 8.243354740243755e-09
Position 209: 7.313889537702014e-09
Position 516: 5.754793755899444e-09
Position 286: 5.622668691009684e-09
Position 238: 4.413608489992506e-09
Position 309: 3.7226494608725844e-09
Position 768: 1.4771308465884339e-09
Position 263: 1.3181291182550012e-09
Position 100: 1.1636380414037731e-09
Position 576: 4.92903793388758e-10
Position 663: 3.866934103031039e-10
Position 254: 2.358764201074979e-10
Position 485: 6.789184586469755e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 251: 0.9973984456672782
Position 485: 0.5730746842173976
Position 507: 0.22141778319471814
Position 1079: 0.06925875804783882
Position 1034: 0.03156851944506446
Position 524: 0.0063010285421861625
Position 1146: 0.0018087677904926468
Position 1116: 0.0014099475060547042
Position 658: 0.0013660536570309573
Position 1067: 0.001107449948598551
Position 1008: 0.0010014505690733528
Position 584: 0.0009523193101966518
Position 283: 0.0006269155105523414
Position 1042: 0.00044617092513451334
Position 1091: 0.00039546584368701425
Position 879: 0.00039418363062778474
Position 860: 0.00036012389735604663
Position 464: 0.0003468551969671258
Position 571: 0.00032021887489867634
Position 681: 0.00014504575584981284
Position 940: 0.00010393264010397692
Position 274: 8.71053755479122e-05
Position 737: 8.401794343930886e-05
Position 707: 7.004331105952104e-05
Position 717: 5.848934051408368e-05
Position 902: 4.266484187457097e-05
Position 1051: 4.1039891200497146e-05
Position 350: 3.9291782898837977e-05
Position 794: 3.14941500819519e-05
Position 975: 2.2528892993306273e-05
Position 780: 1.6194655702807302e-05
Position 826: 1.2046963793162538e-05
Position 892: 1.0507813650156285e-05
Position 663: 9.158219020584303e-06
Position 552: 7.898724675140057e-06
Position 100: 6.8434588679567624e-06
Position 830: 3.5532669453779747e-06
Position 867: 3.3575136985549887e-06
Position 83: 1.5144027623416197e-06
Position 138: 1.1624963645383096e-06
Position 800: 1.0694247938669924e-06
Position 105: 2.803667612277865e-07
Position 413: 2.0087887842496714e-07
Position 603: 1.8726784300119484e-07
Position 648: 1.2714968810031552e-07
Position 640: 1.1850398825707305e-07
Position 595: 7.765835836279262e-08
Position 316: 4.8991250011491423e-08
Position 309: 3.766029898704562e-08
Position 330: 2.2729158722338152e-08
Position 179: 1.9887776718667077e-08
Position 431: 3.3743471510682462e-09
Position 218: 1.0273298058982173e-09
Position 606: 6.554606948294772e-10
Position 725: 3.606305446625808e-10
Position 615: 3.398944813377477e-10
Position 209: 1.9152007145608415e-10
Position 85: 1.183689412290685e-10
Position 197: 1.0265420031274015e-10
Position 173: 4.612829313410695e-11
Position 185: 2.5382002995167394e-11
Position 202: 1.2086561305823968e-11
Position 227: 2.8048403302420743e-13
Position 190: 2.755480564746875e-16
