Gene = del
index = 1668
Annotated 5SS: [ 346 1607]
Annotated 3SS: [ 409 1660]
SMsplice 5SS: [ 346  600 1607]
SMsplice 3SS: [ 409  722 1660]
top_k =  500
Partition function (log Z): -4.481036114723425

Sorted 5' Splice Sites (High to Low Probability):
Position 346: 0.9756595624424517
Position 1607: 0.6029991959278206
Position 600: 0.60292500544847
Position 1859: 0.4109288875376973
Position 657: 0.23786775535420093
Position 2739: 0.16228626729316611
Position 1598: 0.13225024527616974
Position 2452: 0.0556590954058809
Position 588: 0.04559291851275576
Position 927: 0.04034841931049746
Position 579: 0.025195140832688312
Position 1262: 0.025082916679667448
Position 2748: 0.022203610143572014
Position 2378: 0.021351796046353913
Position 1724: 0.015151737624153167
Position 140: 0.01365145761833801
Position 1563: 0.009900883877316453
Position 643: 0.007122758497002506
Position 1506: 0.006219226318222492
Position 24: 0.004550848249864082
Position 2357: 0.004274472650006774
Position 2390: 0.003786872130862237
Position 1415: 0.003237511146199419
Position 756: 0.0031784549456004767
Position 1055: 0.0028952141958948742
Position 621: 0.00280161738909626
Position 963: 0.0024671916947523144
Position 101: 0.0012646590455066605
Position 329: 0.0012565735883524026
Position 819: 0.0012264940170150563
Position 1853: 0.0008027063626056173
Position 959: 0.0007985369032799604
Position 690: 0.0006746744915844451
Position 311: 0.0005923045473439789
Position 623: 0.0005389021722903089
Position 2522: 0.0005248147036970435
Position 1023: 0.0005069989530894543
Position 1464: 0.0004006379278668468
Position 155: 0.0003588826381775242
Position 1556: 0.00033147271746445766
Position 2198: 0.0003080744056376446
Position 565: 0.0002846841656718718
Position 2418: 0.0002796849265350412
Position 300: 0.00016676793908089045
Position 1242: 0.00015874126081078714
Position 2463: 0.00014173934931197837
Position 905: 0.00012142090636498728
Position 591: 0.00011714265883342907
Position 543: 0.00011362959010442177
Position 192: 0.0001111041485171162
Position 1358: 0.0001061407158495135
Position 52: 9.403762229305481e-05
Position 1822: 8.577760579044942e-05
Position 12: 8.264996519428031e-05
Position 57: 6.110128984570954e-05
Position 443: 5.680834021117126e-05
Position 1132: 4.640350565947817e-05
Position 149: 4.5244471681540244e-05
Position 2023: 3.463212814843917e-05
Position 891: 2.676435338488891e-05
Position 2182: 2.573497217181174e-05
Position 931: 2.40900548110023e-05
Position 825: 2.02036884958379e-05
