Gene = Ssb-c31a
index = 1525
Annotated 5SS: [156]
Annotated 3SS: [211]
SMsplice 5SS: [156]
SMsplice 3SS: [211]
top_k =  500
Partition function (log Z): -3.4137113595778334

Sorted 5' Splice Sites (High to Low Probability):
Position 156: 0.998804437159041
Position 515: 0.003758041238933996
Position 323: 0.0018194912314321438
Position 518: 0.0010831220251579518
Position 186: 0.0010160176583067192
Position 528: 0.0005538590666499809
Position 493: 0.00021859398357109986
Position 160: 8.025822506405817e-05
Position 195: 5.8044055147626566e-05
Position 370: 3.9628805099058446e-05
Position 356: 2.9794418598989645e-05
Position 213: 1.8581311802803893e-05
Position 464: 1.3628715110976596e-05
Position 27: 1.1084702570261164e-05
Position 288: 6.658991149992387e-06
Position 452: 4.181878194832205e-06
Position 345: 2.5704066237789535e-06
Position 337: 2.278704091097159e-06
Position 145: 1.58065026968669e-06
Position 8: 1.4154395119543718e-06
Position 68: 2.1971142332721028e-07
Position 77: 5.649120258394941e-08
Position 125: 5.400251333655547e-08
Position 63: 3.0454647198720964e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 211: 0.9772708080070128
Position 263: 0.020790706741158158
Position 576: 0.007334818999838946
Position 220: 0.001034648825946532
Position 272: 0.000534993878005273
Position 409: 0.00013176908115633947
Position 382: 8.784029203728761e-05
Position 406: 8.3657689946527e-05
Position 228: 5.9517522177217454e-05
Position 439: 5.8917339324403894e-05
Position 540: 3.673317399869389e-05
Position 311: 3.357008029655816e-05
Position 452: 2.8186665113266364e-05
Position 322: 1.738647186389737e-05
Position 235: 5.947503676175696e-06
Position 232: 3.7626597884198533e-06
Position 113: 2.761180106628939e-06
Position 515: 2.3092754253253476e-06
Position 241: 1.052424706473708e-06
Position 521: 8.524658541091196e-07
Position 116: 7.643145897043289e-07
Position 493: 7.632080923999667e-07
Position 464: 7.057246295461931e-07
Position 461: 3.593104219788634e-07
Position 368: 2.7017909478741543e-07
Position 185: 2.5411799629175424e-07
Position 132: 1.7598691539895782e-07
Position 119: 5.0288483962492496e-08
Position 136: 2.5697742016080083e-08
Position 370: 1.2215827167139719e-08
Position 481: 3.2691666893470076e-09
Position 337: 2.3870441687736223e-09
Position 150: 1.5408269078814608e-09
Position 142: 7.911598570549164e-10
Position 168: 1.6168284044915615e-11
Position 195: 4.854045970387271e-13
Position 160: 3.662012668618571e-14
