Gene = Sws1
index = 1535
Annotated 5SS: [177 777]
Annotated 3SS: [236 849]
SMsplice 5SS: [177 777]
SMsplice 3SS: [236 849]
top_k =  500
Partition function (log Z): -0.6266582239828447

Sorted 5' Splice Sites (High to Low Probability):
Position 777: 0.9818829051990714
Position 177: 0.938967802461258
Position 413: 0.12605265854300085
Position 429: 0.025811020153738252
Position 980: 0.02132254973675254
Position 368: 0.012461613986222043
Position 361: 0.01106507318596479
Position 1108: 0.0036796321930417926
Position 758: 0.0017714633529913577
Position 1498: 0.0016182707375299143
Position 147: 0.0013016323953248192
Position 938: 0.0010644128234835776
Position 1333: 0.0006515477610262613
Position 365: 0.0006122968008032467
Position 1306: 0.00041734909283935775
Position 982: 0.00038037246065788637
Position 956: 0.00034668403881440253
Position 427: 0.00030011170350990874
Position 1324: 0.00026758174769586553
Position 1050: 0.00025561441250736945
Position 1201: 0.00024451143100435736
Position 1225: 0.00024347537866875824
Position 359: 0.00021607732920708275
Position 391: 0.00019841936938012935
Position 18: 0.00017949551012106263
Position 1192: 0.00015407177320766262
Position 1263: 0.0001492342138800233
Position 972: 0.00013752602319151732
Position 999: 0.0001225358655655225
Position 1326: 0.00010209138290392177
Position 208: 9.898594739466688e-05
Position 994: 9.166988235483624e-05
Position 1453: 7.626485259687277e-05
Position 205: 6.52715017275693e-05
Position 119: 6.41482473660664e-05
Position 1119: 5.027519465900829e-05
Position 1245: 4.75557217880308e-05
Position 958: 4.4091873664601264e-05
Position 951: 4.3997349511779144e-05
Position 723: 4.1365967796791e-05
Position 157: 3.302869347093024e-05
Position 1013: 2.9429181428166458e-05
Position 417: 2.4577957350932682e-05
Position 1007: 2.0224460811123812e-05
Position 1257: 9.379265208495638e-06
Position 76: 8.800243860801405e-06
Position 128: 4.588082257060846e-06
Position 1005: 4.39995071863685e-06
Position 1086: 4.186380337784372e-06
Position 82: 3.6410968984981423e-06
Position 290: 3.608778386120018e-06
Position 538: 2.9625441329476135e-06
Position 1339: 2.809682339397492e-06
Position 806: 2.4479393842518907e-06
Position 23: 1.618150713499703e-06
Position 449: 1.4156641440944023e-06
Position 536: 1.3144482071397633e-06
Position 107: 2.4718148415384956e-07
Position 681: 2.2368780029200206e-08
Position 878: 2.1237758656926504e-08
Position 906: 1.7553521068070885e-08
Position 250: 1.3796826725654837e-08
Position 64: 4.689272774686396e-09
Position 824: 3.969526398666786e-09
Position 892: 2.84791556645426e-09
Position 656: 2.2541777976433532e-09
Position 714: 1.961121623263537e-09
Position 859: 1.2896434613436155e-09
Position 433: 8.772217744366317e-10
Position 492: 7.207437828879842e-10
Position 442: 4.2770384612781744e-10
Position 457: 2.3543396567063644e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 849: 0.9980860705771156
Position 236: 0.9216374419084222
Position 481: 0.11649377800248525
Position 1037: 0.021795658876906727
Position 442: 0.015080057413663799
Position 238: 0.011276960290268635
Position 492: 0.009734818805903123
Position 457: 0.00961120408253366
Position 512: 0.008043716927186575
Position 1383: 0.004729332550379111
Position 284: 0.002955884637938087
Position 589: 0.002132657958147272
Position 1583: 0.0016259320209745423
Position 346: 0.0014680119407226536
Position 1296: 0.0014471765275198057
Position 417: 0.0011841612642362884
Position 670: 0.001046709392763297
Position 1167: 0.001045028374854042
Position 1077: 0.00066663294593681
Position 1055: 0.0005283732622993846
Position 250: 0.0003359499636855374
Position 616: 0.00031583181340252646
Position 640: 0.0002172482605266361
Position 553: 0.00018239530017645297
Position 427: 0.00016636055741307563
Position 514: 0.00014097391873910893
Position 371: 0.00013608799276692576
Position 625: 0.00010938780659650205
Position 631: 7.593256186963241e-05
Position 1506: 7.271840019741109e-05
Position 1224: 5.716502455511433e-05
Position 208: 4.247440798798023e-05
Position 86: 3.424915805178088e-05
Position 1176: 3.1513266390250666e-05
Position 1599: 3.0339500938215905e-05
Position 874: 2.712433279818572e-05
Position 749: 2.496384980507544e-05
Position 1013: 2.450965028404262e-05
Position 963: 2.0875670219512063e-05
Position 643: 2.0493147866529085e-05
Position 1587: 1.9674199365577356e-05
Position 433: 1.7679596077389424e-05
Position 900: 1.4996424448242687e-05
Position 1320: 9.269714423926699e-06
Position 1306: 9.105559700762737e-06
Position 128: 6.939954650534251e-06
Position 1005: 5.458133774294484e-06
Position 1245: 4.48690595326799e-06
Position 382: 2.9143569177957475e-06
Position 865: 2.849117012544072e-06
Position 897: 2.316036502880008e-06
Position 629: 1.7913082886389063e-06
Position 152: 1.5357734672532338e-06
Position 199: 1.4501625543575057e-06
Position 467: 1.0724117077315962e-06
Position 195: 9.907323081444767e-07
Position 723: 5.487664455059231e-07
Position 155: 3.922667379193386e-07
Position 176: 2.8735425097080257e-07
Position 165: 2.1421475921655537e-07
Position 758: 2.0602329964810487e-07
Position 82: 3.910953998213522e-08
Position 147: 6.051627396279481e-09
Position 972: 4.8889931254282395e-09
Position 157: 1.1441168574770869e-10
Position 391: 7.088370625666955e-12
Position 183: 4.172132427486411e-12
