Gene = KFase
index = 1241
Annotated 5SS: [332]
Annotated 3SS: [383]
SMsplice 5SS: [332]
SMsplice 3SS: [383]
top_k =  500
Partition function (log Z): -9.515390640942657

Sorted 5' Splice Sites (High to Low Probability):
Position 332: 0.933136184931667
Position 560: 0.1335211248693618
Position 49: 0.02989588931227387
Position 319: 0.01039880873860662
Position 572: 0.006934815958610407
Position 111: 0.0025509836338226594
Position 1075: 0.0015357366981018502
Position 267: 0.0013851400229027973
Position 219: 0.0012902147131943894
Position 313: 0.0007936087897737663
Position 1280: 0.0007453474946777005
Position 564: 0.00074408945635474
Position 797: 0.00027387168981545836
Position 207: 0.00026254625687297667
Position 181: 0.0002568910429266111
Position 1344: 0.000234337190138645
Position 372: 0.00018698327325576678
Position 770: 0.00015602886910376989
Position 25: 0.00015354299833362077
Position 623: 0.0001307945449089641
Position 342: 0.00011477875736259173
Position 175: 0.0001104872188431061
Position 860: 9.948797255720601e-05
Position 81: 9.401265464839473e-05
Position 298: 9.202525902469675e-05
Position 447: 6.944975393775548e-05
Position 451: 4.702475484809378e-05
Position 904: 4.180626322583543e-05
Position 11: 4.133971332114171e-05
Position 1170: 3.493807405939558e-05
Position 1124: 3.448663931316467e-05
Position 1231: 3.0504833533740475e-05
Position 4: 3.011547922446459e-05
Position 168: 2.6678942825151214e-05
Position 455: 2.584856764345594e-05
Position 166: 2.2286907977546204e-05
Position 732: 1.2936953997523981e-05
Position 1188: 8.003224424789775e-06
Position 63: 4.617414576536811e-06
Position 191: 9.021921072422368e-07
Position 444: 7.060709024160678e-08
Position 1011: 5.991188428514874e-08
Position 579: 2.1742920746969493e-08
Position 419: 1.8316355184183374e-08
Position 1182: 1.2247297855235648e-08
Position 698: 5.530585153070542e-09
Position 463: 9.170434024976527e-10
Position 509: 7.768097493101082e-10
Position 503: 7.10362371155062e-10
Position 968: 9.766298508090209e-11
Position 461: 4.547534988400601e-11
Position 547: 4.488858424508761e-11
Position 649: 1.7573790332846464e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 383: 0.941507125705367
Position 622: 0.1456977184731145
Position 97: 0.01965391881257206
Position 175: 0.004013151371735503
Position 1279: 0.002376376474624662
Position 779: 0.0018172828563274186
Position 471: 0.0011801026201342722
Position 251: 0.0009746255621975774
Position 1258: 0.0009122840518116329
Position 961: 0.0009058980943308188
Position 1330: 0.0007887035984042329
Position 1073: 0.0007705143140839148
Position 409: 0.0007309627776169929
Position 181: 0.0005281803374704404
Position 124: 0.0005210547549084285
Position 1226: 0.0005036197816139422
Position 1392: 0.00040829737994595107
Position 266: 0.0003703713458989095
Position 443: 0.00024776507530131634
Position 133: 0.00023178498914222268
Position 751: 0.0002070524958938004
Position 279: 0.0001564472324392066
Position 273: 0.00014903036122659315
Position 111: 0.0001467238215362212
Position 406: 0.00014061197068033495
Position 490: 9.518281395988797e-05
Position 330: 7.7358615396468e-05
Position 390: 6.449975106837155e-05
Position 698: 6.43978730488855e-05
Position 327: 5.552067819627416e-05
Position 106: 3.637802769951086e-05
Position 226: 3.585117177328541e-05
Position 70: 3.3082895367662546e-05
Position 1011: 1.9750027205931307e-05
Position 529: 1.8994767677506624e-05
Position 1283: 1.8906882998904238e-05
Position 1373: 1.4843760705721566e-05
Position 1348: 1.1407542665720433e-05
Position 637: 9.051631113907705e-06
Position 218: 8.662188926129165e-06
Position 304: 8.368619073237274e-06
Position 1302: 7.686732448491214e-06
Position 139: 2.985965513298561e-06
Position 75: 2.9764757291911073e-06
Position 53: 2.756223922042893e-06
Position 478: 3.568840894522056e-07
Position 81: 2.39241145788199e-07
