Gene = UK114
index = 1579
Annotated 5SS: [170 472]
Annotated 3SS: [241 700]
SMsplice 5SS: [170 472]
SMsplice 3SS: [241 700]
top_k =  500
Partition function (log Z): -0.14480270737121217

Sorted 5' Splice Sites (High to Low Probability):
Position 472: 0.9855539508109912
Position 170: 0.9743343703459154
Position 625: 0.012467443992446781
Position 190: 0.00414461520025715
Position 843: 0.0021988755443188026
Position 184: 0.00190414474213873
Position 459: 0.0009038251139523266
Position 618: 0.0007762667850539089
Position 16: 0.0005263832815844752
Position 831: 0.0003477069397231374
Position 593: 0.0001730639609376386
Position 476: 0.00012908904994620994
Position 402: 0.00010253463898276105
Position 494: 7.304149939692944e-05
Position 117: 5.350784293114518e-05
Position 33: 4.143643871590865e-05
Position 419: 1.3292860664861663e-05
Position 269: 1.1782556669726848e-05
Position 5: 1.0883245077996694e-05
Position 417: 1.021769918565621e-05
Position 814: 7.795649499809578e-06
Position 450: 7.540131045341014e-06
Position 799: 4.248322492044621e-06
Position 156: 4.1668201036033266e-06
Position 766: 3.2565803180334572e-06
Position 393: 2.5499512626096284e-06
Position 544: 2.4778240444927036e-06
Position 315: 2.092247920035076e-06
Position 369: 1.2074285936692798e-06
Position 89: 1.0696461576684552e-06
Position 777: 1.0578926935735585e-06
Position 66: 5.808682471269692e-07
Position 520: 5.250637573401396e-07
Position 223: 3.209457569917468e-07
Position 84: 3.042497226761528e-07
Position 852: 2.9786437400545424e-07
Position 289: 1.9548664079977237e-07
Position 739: 1.7145713930681564e-07
Position 523: 7.874181913636449e-08
Position 107: 2.5292565152528013e-08
Position 262: 1.7205375991537888e-08
Position 249: 3.2201798362011173e-09
Position 267: 3.0102115218672075e-09
Position 252: 2.959569606949615e-09
Position 283: 2.3302415693489267e-09
Position 238: 1.3093684053483152e-09
Position 275: 6.090848516924777e-10
Position 694: 1.7441032587786224e-11
Position 679: 1.4045733076006329e-15
Position 273: 4.144483136040381e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 700: 0.938123966923627
Position 241: 0.8820471222434841
Position 245: 0.09588135985488057
Position 728: 0.04140249623387843
Position 738: 0.01316642321469409
Position 518: 0.007486951305190128
Position 891: 0.002215698463765498
Position 642: 0.000963591408538716
Position 711: 0.0008057198941904798
Position 84: 0.0005732383162033282
Position 886: 0.00045997119216477817
Position 580: 0.00029931033450599523
Position 597: 0.00010368291658426418
Position 299: 9.370942570670611e-05
Position 897: 3.8575506942012215e-05
Position 377: 3.380742204383238e-05
Position 747: 3.2394884847505016e-05
Position 324: 3.228651276484122e-05
Position 450: 1.8561241505772107e-05
Position 344: 1.8257273446820947e-05
Position 347: 6.900149544249229e-06
Position 505: 3.120650497367512e-06
Position 428: 2.6826833712773424e-06
Position 417: 1.6189341211160216e-06
Position 98: 1.5696681744779933e-06
Position 133: 8.519359934746383e-07
Position 402: 5.678649019484583e-07
Position 777: 4.793458554673681e-07
Position 339: 4.529779643065615e-07
Position 852: 3.0395563137829165e-07
Position 855: 2.0876657897016696e-07
Position 822: 1.8890647215103852e-07
Position 196: 1.4780407510405021e-07
Position 410: 6.931300966137218e-08
Position 47: 3.8133863594921527e-08
Position 121: 2.9519508020699253e-08
Position 174: 1.741380537272999e-08
Position 156: 1.7112101988173234e-08
Position 152: 7.788928359218245e-09
Position 365: 6.918279285544291e-09
Position 467: 6.910202855445305e-09
Position 482: 6.266414806554631e-09
Position 458: 4.993317059817997e-09
Position 170: 2.084384430744103e-09
Position 356: 1.007964764731468e-09
Position 393: 5.938526434048638e-13
