Gene = ebi
index = 1689
Annotated 5SS: [ 380 1644]
Annotated 3SS: [ 444 1721]
SMsplice 5SS: [ 380 1644]
SMsplice 3SS: [ 444 1721]
top_k =  500
Partition function (log Z): 1.037934461662393

Sorted 5' Splice Sites (High to Low Probability):
Position 380: 0.9982977005303953
Position 1644: 0.9981593301343447
Position 2809: 0.16583254785206605
Position 2511: 0.16373948231313476
Position 2289: 0.13066775028441296
Position 2650: 0.05310117947342599
Position 1300: 0.043820944361779815
Position 2031: 0.0316858937221962
Position 2411: 0.01632710118362018
Position 2882: 0.01510496811224241
Position 1269: 0.011906836819647507
Position 2665: 0.010711290180039528
Position 2024: 0.010432783283136538
Position 496: 0.0073742427573224014
Position 2849: 0.004069387601992195
Position 651: 0.004032051154914246
Position 582: 0.0031223768774036355
Position 3287: 0.0029092089026367804
Position 2073: 0.0028477901084201923
Position 861: 0.0027877526228311704
Position 2533: 0.002648382913170712
Position 3390: 0.0023947924650635577
Position 3069: 0.0017176398075698038
Position 1996: 0.0015960012858770634
Position 2484: 0.0012233799893812578
Position 1360: 0.0012003772637574914
Position 1504: 0.0009855736889394881
Position 2597: 0.0009774091613175223
Position 1290: 0.0009750597784763249
Position 3273: 0.000900773544111312
Position 1819: 0.0008690995352766917
Position 796: 0.0007179260612362131
Position 1847: 0.000682417377561528
Position 1249: 0.0006319977010188535
Position 2994: 0.0006303134790965148
Position 384: 0.0005819794472990399
Position 2029: 0.0005254743332208228
Position 3381: 0.0005076363766930386
Position 3254: 0.0005061252920120122
Position 2016: 0.0004835887059782155
Position 600: 0.00045870427754180957
Position 1003: 0.00036468652365444416
Position 3277: 0.000296068152860335
Position 1257: 0.0002623246930418513
Position 1648: 0.00024862020532219757
Position 2620: 0.00024740332184997965
Position 1458: 0.00021982894651959142
Position 1605: 0.00017064018062659775
Position 772: 0.00016519976365852513
Position 3098: 0.00015965425726295534
Position 180: 0.00015638326766840977
Position 343: 0.00012123784237073781
Position 1137: 0.0001179356003245029
Position 570: 0.00010024043587962725
Position 240: 9.315004987933246e-05
Position 976: 6.486887651400106e-05
Position 141: 5.9495357184773965e-05
Position 672: 5.8949731406706956e-05
Position 575: 5.616556554450165e-05
Position 3270: 5.604359750460044e-05
Position 1942: 3.965903810550459e-05
Position 1295: 3.4420181267263914e-05
Position 223: 2.9179273428279848e-05
Position 1434: 2.332479685113176e-05
Position 208: 2.1321695215830262e-05
Position 553: 1.9763864230409594e-05
Position 210: 1.7278555083098453e-05
Position 1179: 1.6131742205766294e-05
Position 1078: 1.3394796687099696e-05
Position 2018: 1.2748204761566215e-05
Position 560: 1.17667506811423e-05
Position 2297: 9.866866904827871e-06
Position 1679: 8.760596292305098e-06
Position 290: 7.687878174894363e-06
Position 50: 6.906385009501752e-06
Position 282: 6.418175163417116e-06
Position 1786: 6.312111459919942e-06
Position 1838: 6.148232443149795e-06
Position 293: 5.475416774820656e-06
Position 165: 5.436073197371481e-06
Position 467: 5.406058321685464e-06
Position 479: 5.0198678056694914e-06
Position 465: 4.949204683418075e-06
Position 22: 4.934632864043481e-06
Position 2843: 4.634174474328565e-06
Position 189: 4.602326773722946e-06
Position 1171: 4.5358518189288245e-06
Position 2087: 3.871859237469416e-06
Position 375: 3.7254090166257723e-06
Position 1759: 3.651148460521464e-06
Position 72: 2.735599549080491e-06
Position 1959: 2.1420172012198974e-06
Position 355: 1.8701707382744677e-06
Position 270: 1.7748505580141386e-06
Position 1875: 1.4672428922964457e-06
Position 150: 1.4343241050790022e-06
Position 1565: 1.3504656953328736e-06
Position 35: 4.1437441178798833e-07
Position 59: 3.8346334334986857e-07
Position 940: 2.4288822836147666e-07
Position 1623: 1.187304951559748e-07
Position 77: 1.0249971953871769e-07
Position 314: 9.90852170320533e-08
Position 848: 9.064640983777897e-08
Position 724: 7.414327281011794e-08
Position 319: 5.3247966397667335e-08
Position 2276: 3.9070867059232286e-08
Position 1569: 3.795786635956411e-08
Position 516: 2.3627688459451977e-08
