Gene = ICA69
index = 1217
Annotated 5SS: [ 933 1242]
Annotated 3SS: [1001 1302]
SMsplice 5SS: [ 933 1242]
SMsplice 3SS: [1001 1302]
top_k =  500
Partition function (log Z): -0.9809647972871764

Sorted 5' Splice Sites (High to Low Probability):
Position 933: 0.9830581799599791
Position 1242: 0.9624427098745386
Position 15: 0.05240431418121409
Position 1139: 0.019288549783400763
Position 1229: 0.009845692433322126
Position 907: 0.008140513228677978
Position 474: 0.0029840496642787825
Position 50: 0.0021412069864658735
Position 95: 0.0019465208344783308
Position 879: 0.001314253399799889
Position 671: 0.0009663666303548681
Position 1212: 0.0008169815309541583
Position 619: 0.0007411110718067286
Position 1226: 0.000728287405977489
Position 847: 0.000579484269318609
Position 210: 0.000538249173835015
Position 396: 0.00048097161887579833
Position 1194: 0.0004262912533941128
Position 857: 0.0003073774177808302
Position 1367: 0.00018554604045332683
Position 24: 0.00017292943056231345
Position 303: 0.0001256282618192923
Position 565: 0.00012070212240628861
Position 1150: 7.885713829851227e-05
Position 885: 6.236682434883602e-05
Position 578: 5.903982431864172e-05
Position 1436: 5.31338272624965e-05
Position 563: 4.978448614812681e-05
Position 366: 4.823790607437651e-05
Position 399: 4.66661355054165e-05
Position 809: 4.483323016506406e-05
Position 317: 3.9610171390195725e-05
Position 476: 3.900960822622838e-05
Position 1574: 3.682641400687366e-05
Position 1067: 3.480008660866333e-05
Position 956: 2.920599893429867e-05
Position 645: 2.9090803320017878e-05
Position 1152: 2.772595958073502e-05
Position 359: 2.096490475856206e-05
Position 681: 1.8591562626324187e-05
Position 169: 1.546742549183369e-05
Position 1034: 1.1772877760671593e-05
Position 200: 9.640319777202525e-06
Position 300: 7.761518937653817e-06
Position 1347: 7.618586176428221e-06
Position 1568: 7.483378911876125e-06
Position 708: 7.132654095419468e-06
Position 675: 5.59477069321816e-06
Position 1050: 4.98759433445499e-06
Position 569: 4.440893654446973e-06
Position 1546: 3.9431162127136536e-06
Position 171: 3.886658290555435e-06
Position 1166: 2.6611233193772183e-06
Position 1588: 1.4060270350540613e-06
Position 1059: 1.1558794846822583e-06
Position 1509: 1.0502348118577317e-06
Position 716: 8.485742583574902e-07
Position 714: 5.514209302504271e-07
Position 622: 5.32224183226305e-07
Position 509: 2.6139618729760983e-07
Position 1500: 1.163162840756426e-07
Position 567: 9.640330699850248e-08
Position 377: 7.287415405744717e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1001: 0.9959320637339326
Position 1302: 0.9864777296220006
Position 135: 0.03232362920434358
Position 161: 0.014502166914862804
Position 1188: 0.007259399593309003
Position 533: 0.003017969061985065
Position 1017: 0.0016569676750103285
Position 395: 0.0016384139583804076
Position 200: 0.0014813606197157671
Position 320: 0.0013749358615273628
Position 300: 0.0007730497587307985
Position 1308: 0.0005579998351736509
Position 557: 0.0005555905944083448
Position 258: 0.0003684945227108109
Position 1014: 0.0003047737505453718
Position 665: 0.0002914867031495175
Position 455: 0.00027099935713208385
Position 560: 0.0002330524671823015
Position 169: 0.00016289245232621862
Position 229: 0.000134415475457581
Position 1425: 0.00013427138114637446
Position 749: 0.00010173677735282545
Position 577: 9.69646144327483e-05
Position 929: 8.459633399569525e-05
Position 1514: 8.258988767941174e-05
Position 58: 7.520131946185512e-05
Position 872: 6.658279909588674e-05
Position 737: 6.201193541937893e-05
Position 499: 6.03648357907508e-05
Position 701: 5.919208587567255e-05
Position 404: 5.503869332966769e-05
Position 809: 5.1681580251601984e-05
Position 1654: 4.416170310783992e-05
Position 1133: 3.240726048434393e-05
Position 359: 2.6031798497290382e-05
Position 1521: 2.1635641912600404e-05
Position 1314: 2.0855373386819116e-05
Position 1106: 2.0845903614440784e-05
Position 1160: 1.8944836046605864e-05
Position 1737: 1.6820158662532794e-05
Position 1484: 1.597104210945373e-05
Position 758: 1.4137866627949501e-05
Position 1422: 1.2725433541016303e-05
Position 371: 1.1162515999160218e-05
Position 773: 9.185917426669045e-06
Position 210: 7.662680426102993e-06
Position 1088: 6.797368677158193e-06
Position 563: 6.576733443126102e-06
Position 377: 5.396561182586653e-06
Position 536: 4.901583247711122e-06
Position 1258: 3.6949055448808607e-06
Position 590: 3.446337450648559e-06
Position 237: 2.5897745476944563e-06
Position 365: 2.394367147177432e-06
Position 1139: 2.3849761446511772e-06
Position 1085: 2.37121118800511e-06
Position 1605: 2.1179742831202786e-06
Position 1563: 1.7552374267218283e-06
Position 1118: 1.6798281433023142e-06
Position 1666: 1.0569906844247005e-06
Position 1518: 8.250827321387745e-07
Position 1546: 7.306031861528073e-07
Position 1320: 6.72414642531528e-07
Position 1595: 6.685926183850013e-07
Position 1494: 6.672303755502966e-07
Position 1344: 6.4643884715984e-07
Position 1332: 4.4966055365117337e-07
Position 1549: 4.2947361704409737e-07
Position 1272: 2.8311828029272497e-07
Position 1431: 1.9858498674770545e-07
Position 1447: 1.6892697049411038e-07
Position 1697: 6.432397726390914e-08
Position 422: 1.6545719734550833e-09
Position 431: 1.0429830926825947e-09
Position 410: 8.762037906672235e-10
Position 467: 3.123434088020488e-10
