Gene = Aatf
index = 5
Annotated 5SS: [1450]
Annotated 3SS: [1511]
SMsplice 5SS: [1450]
SMsplice 3SS: [1511]
top_k =  500
Partition function (log Z): -4.69852711422622

Sorted 5' Splice Sites (High to Low Probability):
Position 1450: 0.9921612919050087
Position 686: 0.11271415998960949
Position 39: 0.027574731966210624
Position 501: 0.02008258239710046
Position 1618: 0.012788543062304841
Position 1084: 0.007235429474836892
Position 232: 0.005020201680297906
Position 1464: 0.004103756376226156
Position 1060: 0.0034099207710900944
Position 1018: 0.003355888051381164
Position 967: 0.003109781903090144
Position 36: 0.002531794430513078
Position 1454: 0.002482650457680272
Position 621: 0.0021491545152974596
Position 1605: 0.0018584763000717437
Position 868: 0.0017495160866212605
Position 492: 0.0016880953818463077
Position 131: 0.001319333014661932
Position 48: 0.001017885360061613
Position 374: 0.0009599394599444681
Position 1095: 0.0009505263449725807
Position 872: 0.0006605160913102637
Position 1584: 0.0004179784366264104
Position 562: 0.0003831536184338543
Position 971: 0.0003543086584886707
Position 1638: 0.0003322507416619161
Position 1593: 0.00027873537070968697
Position 541: 0.00019039554932168191
Position 300: 0.00017604256146666941
Position 8: 0.00015895390714469878
Position 1590: 0.00015777128844789636
Position 1415: 0.0001540193677943571
Position 1002: 0.00015081531817984838
Position 278: 0.00013036249094431203
Position 691: 0.0001278077184578285
Position 1023: 0.00011096410536131608
Position 376: 9.780181009214352e-05
Position 793: 7.546321255673189e-05
Position 1073: 5.631783256671249e-05
Position 1010: 4.401579975164129e-05
Position 1078: 4.136951448594581e-05
Position 931: 2.342981447629727e-05
Position 1676: 1.5914863851586276e-05
Position 430: 1.4753095568492372e-05
Position 337: 1.139600939518553e-05
Position 30: 1.130153591089867e-05
Position 84: 1.030848978868655e-05
Position 212: 9.766124139793322e-06
Position 1609: 8.608442422515657e-06
Position 1559: 4.856305047647608e-06
Position 1372: 2.8373128067075237e-06
Position 1327: 5.743495715386258e-07
Position 207: 1.422186512295176e-07
Position 97: 5.012265810539191e-08
Position 119: 2.686226798656787e-08
Position 762: 2.7951158343472762e-09
Position 1210: 1.9997677801638707e-09
Position 1028: 1.6045065159914483e-09
Position 327: 8.485316449073777e-10
Position 55: 7.604594640805109e-10
Position 894: 2.679843619774559e-10
Position 191: 5.978413734035333e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1511: 0.999503741351505
Position 745: 0.11436767058539707
Position 1144: 0.03001485419543025
Position 84: 0.015671539509108746
Position 1694: 0.010730010506144248
Position 81: 0.006921040152156028
Position 1309: 0.005612191694704862
Position 1306: 0.0049739265001958926
Position 931: 0.00417208565143793
Position 1708: 0.0030121728032486417
Position 1036: 0.0025649272770818868
Position 109: 0.001513490207694628
Position 1084: 0.001223467033154802
Position 725: 0.0010576461798631619
Position 427: 0.0009620342924962077
Position 1744: 0.0009284027628310924
Position 115: 0.0008634976754343367
Position 793: 0.0007774042296637341
Position 1705: 0.000745057587084422
Position 1264: 0.0006290669721372192
Position 103: 0.0005552523117355783
Position 935: 0.0005291339737684078
Position 1168: 0.0004978800598637815
Position 1648: 0.0004262730183596156
Position 200: 0.0004057592332915619
Position 577: 0.00039777078988250444
Position 298: 0.00031983834277909105
Position 710: 0.0002584233374673983
Position 777: 0.00025082382341832095
Position 1147: 0.00022396851830731914
Position 801: 0.00017954201204845003
Position 1290: 0.0001745256136077696
Position 1073: 0.00016277579363035565
Position 1118: 0.0001554277350771962
Position 1135: 0.00015349215403853364
Position 562: 0.00014119229550014803
Position 1176: 0.00013083672869711454
Position 97: 0.00012729881310886588
Position 580: 0.00012499954267049967
Position 527: 0.00011919760817679273
Position 541: 0.00011349251175643862
Position 913: 8.675239750524415e-05
Position 160: 6.993142654125787e-05
Position 1372: 5.8931729944073226e-05
Position 772: 5.482725076736621e-05
Position 130: 5.4728279263269934e-05
Position 1530: 5.083320745100619e-05
Position 424: 4.341083331372851e-05
Position 946: 4.0496975833978876e-05
Position 1225: 3.731064571763975e-05
Position 967: 3.693395317154735e-05
Position 1638: 3.495636408151267e-05
Position 605: 3.1320151481476165e-05
Position 583: 3.105137567249518e-05
Position 612: 2.333675464178988e-05
Position 547: 2.3151281867293207e-05
Position 295: 2.0934389795421218e-05
Position 430: 2.0186091990240582e-05
Position 327: 1.7745678148161944e-05
Position 554: 1.349305212121337e-05
Position 647: 1.1405097779356674e-05
Position 168: 8.781293078127364e-06
Position 602: 5.947641495855814e-06
Position 1614: 5.845390510150562e-06
Position 319: 9.195117181086042e-07
Position 267: 8.876053562347818e-07
Position 1562: 3.7398792721603726e-07
Position 314: 3.4410005857788426e-08
Position 373: 1.2864427262555826e-08
Position 324: 1.58478059496534e-09
Position 232: 1.1557569826538894e-09
Position 173: 1.0881450697213239e-09
Position 386: 4.642556804931112e-10
Position 283: 3.321138181745825e-10
Position 135: 3.1395358903153917e-10
Position 229: 1.737978228955882e-10
Position 139: 2.8827401331707072e-11
Position 175: 2.1050959803098763e-11
Position 397: 6.696065437711918e-12
Position 358: 5.967428054500373e-12
Position 127: 2.239886907810657e-12
Position 223: 1.6957017454819669e-12
Position 226: 4.711792957779771e-13
Position 162: 2.1794873993294415e-14
