Gene = fmt
index = 1703
Annotated 5SS: [ 121  504  770 1149 1524 1725 1899 2533 2653 3764]
Annotated 3SS: [ 343  569  823 1209 1585 1779 1958 2587 2710 3937]
SMsplice 5SS: [ 121  504  770 1149 1524 1725 1899 2533 2653 3004 3764]
SMsplice 3SS: [ 343  569  823 1209 1585 1779 1958 2587 2710 3075 3952]
top_k =  500
Partition function (log Z): 21.51270860769811

Sorted 5' Splice Sites (High to Low Probability):
Position 2533: 0.999211722469051
Position 1899: 0.9988528571590669
Position 1524: 0.9984825146109977
Position 1149: 0.9851855300664759
Position 2653: 0.9825793744230116
Position 504: 0.9200241943303252
Position 1725: 0.9095200093316278
Position 3764: 0.9087664774942041
Position 770: 0.6367315441361034
Position 121: 0.6148170844638978
Position 3004: 0.48233931920148243
Position 754: 0.306133504216991
Position 2052: 0.25731061962200774
Position 4137: 0.15904284069133756
Position 4982: 0.12267399624698279
Position 3264: 0.08245259638973833
Position 3000: 0.08056093440690784
Position 3788: 0.04411243837788144
Position 2152: 0.020100601659160965
Position 94: 0.018932121169599605
Position 281: 0.01767630842283531
Position 253: 0.016685424753669107
Position 4164: 0.016054930770158807
Position 3753: 0.015780410523211812
Position 3014: 0.012868102405315223
Position 908: 0.009535405136824698
Position 3784: 0.009230754763389144
Position 3031: 0.00850027463484797
Position 881: 0.007199609171924495
Position 2059: 0.006539727013919932
Position 203: 0.0057090696480484905
Position 294: 0.004577326831010213
Position 3024: 0.003971090376140471
Position 2104: 0.003952341136970623
Position 3432: 0.003467011887392861
Position 276: 0.0031165273542623426
Position 198: 0.002740395669637236
Position 266: 0.0022616149752645153
Position 431: 0.0022223147117923564
Position 2844: 0.0020249572391771104
Position 3034: 0.0017240148958568824
Position 287: 0.0015961452280273379
Position 4814: 0.0013650168918658842
Position 730: 0.0011958752845145967
Position 1019: 0.0011769133366018503
Position 3792: 0.0010009070669871078
Position 127: 0.0009867581675768494
Position 3358: 0.0009803643078041306
Position 508: 0.0009151373966088547
Position 3382: 0.0008633522222176125
Position 125: 0.0008593043474139507
Position 2951: 0.0006930286350860128
Position 4: 0.0005687842356975372
Position 2056: 0.0005653435283094318
Position 983: 0.0005597503120053704
Position 292: 0.0005509771290189097
Position 52: 0.0005407658854036815
Position 1671: 0.0004889684411135392
Position 2898: 0.0004071151297006064
Position 2216: 0.0003717238756147792
Position 55: 0.0003646472550311882
Position 4683: 0.00031504394805493587
Position 2657: 0.0002883552179863129
Position 108: 0.00028326921186057726
Position 285: 0.0002778545621560115
Position 1662: 0.0002564821621352047
Position 64: 0.0002561174325952874
Position 1120: 0.00022563000078409422
Position 82: 0.0002214943614053408
Position 2537: 0.00022048652428217975
Position 201: 0.00020939266522820076
Position 1256: 0.00020091121799093193
Position 3871: 0.0001938379866313418
Position 359: 0.00017536642317162577
Position 989: 0.00016477500261156698
Position 209: 0.0001544313181384926
Position 2347: 0.00015430855647370536
Position 35: 0.00015242758860282093
Position 681: 0.0001513748392204352
Position 666: 0.00014810103797691156
Position 1438: 0.00013510608005006504
Position 2806: 0.00012988542963762002
Position 1528: 0.00010270212008297184
Position 722: 8.574958486566382e-05
Position 1903: 8.038633761129045e-05
Position 1492: 7.863343923412667e-05
Position 3691: 6.941619956975387e-05
Position 1489: 6.62744955950135e-05
Position 348: 6.328618752599242e-05
Position 2830: 5.5140279332074734e-05
Position 1057: 5.513019732224718e-05
Position 2782: 5.4747435668415565e-05
Position 335: 5.324317437731837e-05
Position 264: 4.831378840915346e-05
Position 926: 3.9171557162573926e-05
Position 2173: 2.7001619504439627e-05
Position 2432: 2.315597148543205e-05
Position 2425: 2.1746950241973786e-05
Position 3768: 2.066247616646393e-05
Position 714: 1.9179275186578715e-05
Position 642: 1.7290872414795735e-05
Position 2166: 1.7259930755521228e-05
Position 1540: 1.6721123682290637e-05
Position 1431: 1.5981077100453648e-05
Position 1698: 1.2552586710539569e-05
Position 658: 1.1841064581836595e-05
Position 2725: 1.1498363409070832e-05
Position 1231: 1.1497429260621803e-05
Position 2420: 1.033910254038513e-05
Position 1359: 1.0329246024005952e-05
Position 2076: 1.0009450619290388e-05
Position 3157: 7.93358528124691e-06
Position 1843: 6.553446697208337e-06
Position 2993: 6.265214463772134e-06
Position 1153: 6.1319172940397715e-06
Position 1001: 5.987440571525617e-06
Position 435: 5.7980276772263125e-06
Position 2272: 4.649155168324001e-06
Position 1325: 4.0026164552516565e-06
Position 1165: 3.987016733711137e-06
Position 749: 3.3870676331454397e-06
Position 1650: 3.384375825915466e-06
Position 2861: 2.8942514117533363e-06
Position 1776: 2.213669732338181e-06
Position 460: 2.131057330259795e-06
Position 2698: 2.1131366734895534e-06
Position 676: 2.065048231018121e-06
Position 532: 1.9700567626851354e-06
Position 2594: 1.4821790475744979e-06
Position 1613: 1.4763693018440024e-06
Position 2410: 1.3023827281123308e-06
Position 2731: 1.1909477981217945e-06
Position 17: 1.1604642013648918e-06
Position 2680: 5.547292802710387e-07
Position 2543: 4.803023829996708e-07
Position 446: 4.1626534558910984e-07
Position 2497: 3.9930959807169696e-07
Position 1974: 1.413509597927074e-07
Position 415: 1.3812523488117785e-07
Position 1760: 9.070662877562363e-08
Position 1304: 5.67186333917573e-08
Position 4053: 4.1247723055808864e-08
Position 546: 2.4889707237704662e-08
Position 617: 1.4716756895771533e-08
