Gene = c-cup
index = 1640
Annotated 5SS: [142]
Annotated 3SS: [198]
SMsplice 5SS: [142]
SMsplice 3SS: [198]
top_k =  500
Partition function (log Z): -6.174121867785306

Sorted 5' Splice Sites (High to Low Probability):
Position 142: 0.9946108332798093
Position 624: 0.013197532684097358
Position 257: 0.009713361656428627
Position 541: 0.004392680824318311
Position 146: 0.003082640634173834
Position 760: 0.0030200587360997167
Position 669: 0.0018069152643992335
Position 832: 0.000550045772906371
Position 527: 0.0003449300841934273
Position 709: 0.0003030523900052819
Position 768: 0.0002636444770753529
Position 273: 0.00025131026490778584
Position 780: 0.0002223482927481938
Position 666: 0.0001710054001458306
Position 631: 0.00012509925016745968
Position 296: 0.00010940912265868849
Position 385: 0.00010104944168223793
Position 368: 6.622779219036509e-05
Position 579: 4.1891339369888585e-05
Position 151: 3.884217272603081e-05
Position 105: 3.0526480719238984e-05
Position 241: 2.7625997171429143e-05
Position 231: 2.3263550305333248e-05
Position 609: 2.2371901591003183e-05
Position 78: 1.690087580229969e-05
Position 102: 1.2399915701135343e-05
Position 356: 1.041502786859046e-05
Position 159: 9.949961487241269e-06
Position 90: 8.359190496479301e-06
Position 131: 7.863184508515233e-06
Position 562: 4.262128257107851e-06
Position 261: 3.3507279983304768e-06
Position 545: 2.7561971162387723e-06
Position 598: 2.3954045115498298e-06
Position 162: 1.6668382595533934e-06
Position 868: 1.546859030996377e-06
Position 791: 7.924592923982362e-07
Position 174: 2.3762164482132117e-08
Position 205: 2.1034037375372458e-08
Position 511: 7.987327922512939e-09
Position 535: 5.154292196395204e-09
Position 460: 1.0030696772574936e-09
Position 681: 3.041094546298358e-10
Position 347: 1.7291031811568283e-11
Position 299: 1.053307868465899e-12
Position 285: 9.744807985859983e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 198: 0.9771207278628624
Position 825: 0.017673042477332045
Position 918: 0.01077919587139879
Position 323: 0.007198626532606217
Position 222: 0.004056736345647482
Position 376: 0.0036509472453459322
Position 598: 0.002325479281926343
Position 254: 0.0018584574439916618
Position 800: 0.0018529969090735588
Position 296: 0.0017030601217472203
Position 356: 0.0012826934494982896
Position 200: 0.0009237121051643564
Position 741: 0.000552353614542728
Position 681: 0.0005124847679824852
Position 847: 0.00025237799738812855
Position 696: 0.00022345816449265886
Position 578: 0.0001893204290127211
Position 706: 9.495953020635348e-05
Position 231: 9.406386321036053e-05
Position 712: 5.8017448089839786e-05
Position 868: 4.889701897031343e-05
Position 241: 3.987698274516633e-05
Position 434: 2.685862108034365e-05
Position 774: 1.963144269706759e-05
Position 347: 1.653399257098191e-05
Position 335: 1.243483328646104e-05
Position 672: 6.652824673022817e-06
Position 535: 5.358489064094003e-06
Position 395: 3.5036104908646232e-06
Position 405: 2.6693669269219055e-06
Position 165: 2.641927402528031e-06
Position 527: 2.580841790838859e-06
Position 644: 2.4441428249780126e-06
Position 857: 2.1097873482287874e-06
Position 261: 1.6425923066352595e-06
Position 162: 1.5183889437815153e-06
Position 832: 1.2736084599619184e-06
Position 381: 1.3061511447161537e-08
Position 389: 1.036518299191015e-08
Position 159: 8.609199846578797e-09
Position 532: 4.904642992251608e-09
Position 460: 3.673224754314708e-09
Position 466: 2.696308777095662e-09
Position 146: 8.818938766054641e-10
Position 142: 7.194743783977747e-10
