Gene = Acp26Aa
index = 8
Annotated 5SS: [59]
Annotated 3SS: [114]
SMsplice 5SS: [59]
SMsplice 3SS: [114]
top_k =  500
Partition function (log Z): -5.461191326280401

Sorted 5' Splice Sites (High to Low Probability):
Position 59: 0.9971724358290693
Position 347: 0.06185345368824781
Position 570: 0.0324586363258385
Position 181: 0.005025065498318102
Position 476: 0.0044806561293210525
Position 676: 0.004291025542270935
Position 196: 0.0028766545615509787
Position 145: 0.002128212036446626
Position 691: 0.0016174342365271907
Position 261: 0.0015055717780894412
Position 922: 0.0004114283061623274
Position 213: 0.0002706829589406284
Position 878: 0.0002600929010793021
Position 754: 0.00025225201926072616
Position 451: 0.00021479794192287384
Position 499: 0.0002056645642939089
Position 738: 7.821541310718507e-05
Position 578: 3.0018583793803697e-05
Position 722: 2.2566142100378753e-05
Position 63: 1.3678317741969227e-05
Position 892: 1.2224489190515604e-05
Position 929: 7.591636014071372e-06
Position 828: 3.893421351266033e-06
Position 612: 9.331790361769569e-07
Position 685: 9.099459457844736e-07
Position 99: 1.0666453423898275e-07
Position 129: 2.8735645217857495e-08
Position 109: 1.4614103899240922e-09
Position 114: 6.742504150087382e-10
Position 662: 1.7472389156842978e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 114: 0.6115787771743884
Position 129: 0.3591252987976553
Position 402: 0.08426193899130427
Position 622: 0.03666194675848528
Position 346: 0.006724722480602826
Position 408: 0.00387669074272171
Position 981: 0.0024883192897968264
Position 780: 0.0023715193572766127
Position 594: 0.002327108325675496
Position 728: 0.0016889392283219627
Position 1010: 0.0014694336732982646
Position 543: 0.00044379307331105297
Position 165: 0.00035979855290331735
Position 426: 0.0002199486666069873
Position 722: 0.0002083565050785219
Position 537: 0.0001992083848191763
Position 908: 0.00014451547232749863
Position 451: 0.00011702775496510187
Position 662: 0.00011313562985610871
Position 878: 0.00011145435833440065
Position 196: 0.00010545028817239709
Position 570: 9.965844317382124e-05
Position 438: 9.10237991023906e-05
Position 816: 7.402075979838431e-05
Position 787: 6.171807503027838e-05
Position 239: 4.261471178583803e-05
Position 224: 3.6493288083559406e-05
Position 691: 2.9838526063996992e-05
Position 578: 2.3726256202177837e-05
Position 364: 2.2738021314689337e-05
Position 264: 2.0816997723048028e-05
Position 136: 1.4559136386962192e-05
Position 473: 1.1494194470173907e-05
Position 742: 9.674447542670533e-06
Position 732: 9.581468592226379e-06
Position 181: 8.156017183274614e-06
Position 913: 7.797889538148682e-06
Position 461: 6.653881631811947e-06
Position 671: 6.533228939723179e-06
Position 249: 5.490830983697724e-06
Position 794: 4.525027554877696e-06
Position 145: 3.7758599017845548e-06
Position 855: 3.2084106493812585e-06
Position 939: 1.550760296117681e-06
Position 284: 4.304902630900073e-07
Position 255: 3.9685376131800533e-07
Position 273: 2.4384881056313326e-07
Position 491: 1.2796872677944537e-07
Position 233: 4.2285220909955395e-10
Position 149: 3.3920500126947094e-11
