Gene = Pburs
index = 1361
Annotated 5SS: [268]
Annotated 3SS: [325]
SMsplice 5SS: [268]
SMsplice 3SS: [325]
top_k =  500
Partition function (log Z): -4.1956280227292115

Sorted 5' Splice Sites (High to Low Probability):
Position 268: 0.9834176854991652
Position 229: 0.012547544678671568
Position 492: 0.007788358899963456
Position 241: 0.0025754127176987793
Position 466: 0.0015067401968825473
Position 258: 0.0008408481496885395
Position 224: 0.0004357603198487104
Position 477: 0.00036219848677343156
Position 3: 0.00030814014432050773
Position 272: 9.187522490792694e-05
Position 7: 8.897719996787796e-05
Position 460: 3.478583019373488e-05
Position 216: 2.139858339747163e-05
Position 196: 1.0838898429690483e-05
Position 365: 1.0013541701796111e-05
Position 310: 7.76607178335656e-06
Position 294: 7.311762460017581e-06
Position 120: 3.8504518838669194e-06
Position 441: 3.146736944721116e-06
Position 405: 2.782940017660651e-06
Position 532: 1.9958219516481595e-06
Position 538: 1.5875045086279918e-06
Position 147: 1.343314825638143e-06
Position 546: 1.0567019288811476e-06
Position 190: 5.516888268992033e-07
Position 19: 1.0925214029391727e-07
Position 52: 7.328416547417154e-08
Position 37: 2.4665592094777256e-08
Position 328: 1.3428002407255628e-08
Position 317: 4.3745667547009625e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 325: 0.9600573570327084
Position 328: 0.02595066296517484
Position 292: 0.010341176899572875
Position 544: 0.0066910336610254036
Position 538: 0.0036353633973302798
Position 364: 0.0015768573132921748
Position 358: 0.0007643251545307263
Position 348: 0.0004902874609040855
Position 83: 0.00029890293720699146
Position 298: 7.505875617140255e-05
Position 591: 7.142417369092163e-05
Position 68: 6.538085035940332e-05
Position 52: 2.2463985481336816e-05
Position 309: 1.1999742178195655e-05
Position 429: 5.9404540845677865e-06
Position 294: 5.436078101413819e-06
Position 577: 2.4835679342388114e-06
Position 144: 1.7085030165343712e-06
Position 88: 1.2746269339673877e-06
Position 141: 9.57598684545488e-07
Position 120: 6.974724474514944e-07
Position 272: 5.361439066097024e-07
Position 171: 5.277067609072656e-07
Position 126: 1.4600480363040942e-07
Position 224: 5.923574199888988e-08
Position 211: 5.4817405370293615e-08
Position 173: 4.1842284518134835e-08
Position 228: 1.0570437777720299e-08
Position 147: 1.0399729851295887e-08
Position 460: 1.0295403075613726e-08
Position 546: 1.6282073802596148e-09
Position 102: 6.978360416063681e-10
Position 156: 2.2540676315077977e-11
Position 111: 4.4235483837078345e-12
Position 268: 7.063395099912995e-13
