Gene = Ptth
index = 1393
Annotated 5SS: [383 816]
Annotated 3SS: [491 873]
SMsplice 5SS: [383 816]
SMsplice 3SS: [491 873]
top_k =  500
Partition function (log Z): -6.229171809820665

Sorted 5' Splice Sites (High to Low Probability):
Position 816: 0.8003951107513925
Position 383: 0.7237940247435787
Position 268: 0.05493453900546858
Position 1003: 0.03083805666735314
Position 585: 0.0289172058442112
Position 221: 0.012080370241774822
Position 810: 0.011239244866824084
Position 637: 0.008220586085986385
Position 1116: 0.0037509914654374195
Position 734: 0.0034165083379841727
Position 379: 0.0028478657213046182
Position 4: 0.0014904124141179693
Position 231: 0.001017048521621933
Position 178: 0.0007263199492741383
Position 571: 0.0006633249903433478
Position 1090: 0.0005155706077582736
Position 308: 0.00047577918841708913
Position 113: 0.0004593712437585041
Position 353: 0.0003302903751395278
Position 1130: 0.00018657099199504343
Position 708: 0.000143127607084636
Position 205: 0.0001242125129719558
Position 1009: 0.00011857447128565536
Position 387: 5.576550854666114e-05
Position 762: 5.2929077456943163e-05
Position 589: 5.172768268964702e-05
Position 41: 4.5967464626403346e-05
Position 8: 4.338608177696104e-05
Position 342: 2.8476994760446822e-05
Position 181: 1.8010349761345495e-05
Position 193: 1.7382063593317407e-05
Position 655: 1.3691222243938008e-05
Position 184: 1.000537838159922e-05
Position 198: 6.6036765872320225e-06
Position 673: 5.477248232182332e-06
Position 186: 2.814966666846922e-06
Position 1029: 2.168215515196642e-06
Position 550: 2.1318565436867064e-06
Position 554: 7.159694285059121e-07
Position 215: 1.857090309433827e-07
Position 841: 9.184790866010994e-08
Position 928: 6.505255756442496e-08
Position 896: 4.998751965979178e-08
Position 491: 4.3329466530753995e-08
Position 484: 1.1362593929967561e-08
Position 289: 1.5671040925114476e-09
Position 783: 1.274758948282289e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 873: 0.9258481846109474
Position 491: 0.39758931907293277
Position 696: 0.07597350909982283
Position 550: 0.05621263061466266
Position 795: 0.046661882528229004
Position 328: 0.033739209239632605
Position 540: 0.025396058645587607
Position 526: 0.023014066245698357
Position 1074: 0.022648558624078455
Position 722: 0.017750457967670337
Position 267: 0.009175232209428601
Position 986: 0.008678353534508772
Position 1170: 0.008479626292875148
Position 554: 0.006913563923752535
Position 436: 0.0064477735117439774
Position 1059: 0.004179668319279384
Position 433: 0.0032123012572712172
Position 673: 0.002751909335724709
Position 655: 0.002642601714978991
Position 330: 0.002160107281256753
Position 220: 0.002048517044082672
Position 679: 0.0016367101471789867
Position 755: 0.0010571264328136107
Position 623: 0.0006897694637629303
Position 1180: 0.0004354548473372433
Position 308: 0.00030910459916567637
Position 562: 0.00029631940078259783
Position 836: 0.00023468948227028228
Position 698: 0.000126589572778924
Position 637: 0.00011419427658760801
Position 570: 0.00010196010686406406
Position 363: 7.408062867498819e-05
Position 595: 6.848956837162312e-05
Position 93: 5.221385166732462e-05
Position 1008: 4.519800336218808e-05
Position 336: 4.3519474579449945e-05
Position 446: 4.25366964357132e-05
Position 1116: 3.605079538120928e-05
Position 626: 3.2744607366398214e-05
Position 617: 3.233096516978561e-05
Position 1126: 1.3413503062078e-05
Position 105: 1.2908816783627413e-05
Position 845: 1.2374058910528398e-05
Position 339: 1.214817298628531e-05
Position 620: 1.1837316634434249e-05
Position 1020: 1.1773823481581384e-05
Position 144: 6.647700331035559e-06
Position 75: 2.638991212669175e-06
Position 342: 1.9158001531914256e-06
Position 102: 1.3181356006476402e-06
Position 357: 8.548852897771023e-07
Position 277: 6.152022188804681e-07
Position 417: 5.442528505432921e-07
Position 108: 5.266864992514261e-07
Position 66: 3.656745233950305e-07
Position 387: 1.3354521341219035e-07
Position 279: 6.099551664972142e-08
Position 879: 4.34737992454807e-08
Position 347: 2.6534093704329906e-08
Position 198: 2.2225793378503303e-08
Position 122: 1.8694904828737058e-08
Position 110: 3.678931187066352e-09
Position 369: 1.663884097822509e-09
Position 113: 1.3908118803793113e-09
Position 158: 1.6086436877866543e-15
Position 127: 2.9923748125210673e-17
