Gene = Bsg
index = 54
Annotated 5SS: [ 5097  6317 19099 20084 22390 23581 23754 24019 24461]
Annotated 3SS: [ 5973 18879 19177 22271 23419 23645 23817 24327 27060]
SMsplice 5SS: [  422 22390 23581 23754 24019 24461]
SMsplice 3SS: [22271 23461 23645 23817 24327 31596]
top_k =  500
Partition function (log Z): -6.296350118204294

Sorted 5' Splice Sites (High to Low Probability):
Position 422: 1.0000000000000018
Position 22690: 1.0000000000000009
Position 24461: 0.9996991593742915
Position 23754: 0.9985289356730986
Position 23581: 0.9983059110570779
Position 24019: 0.9713809243585665
Position 28175: 0.016028226485078557
Position 29933: 0.015199634890634516
Position 24787: 0.012357193272901917
Position 24038: 0.010141060595237379
Position 30435: 0.009176894382474538
Position 30467: 0.008701526104305767
Position 32288: 0.008427160210178317
Position 30066: 0.005236247864105357
Position 24006: 0.0051120379343732045
Position 29703: 0.005098740133102096
Position 29725: 0.004741401685793865
Position 29123: 0.004026602129909041
Position 23968: 0.003822956568894201
Position 24267: 0.0037033094917059417
Position 30453: 0.0026301790498413787
Position 24249: 0.0021744510842695236
Position 29538: 0.0018141863942056444
Position 24171: 0.0017359762787171127
Position 29181: 0.0014991356892063382
Position 29367: 0.0012546418151182957
Position 29998: 0.0005690026111510434
Position 29130: 0.000536967227001898
Position 28767: 0.0003973547412898486
Position 26179: 0.0003963647057187575
Position 28139: 0.0003818490200541495
Position 29938: 0.00038109498164581244
Position 24808: 0.0002601870715305898
Position 28111: 0.00023917741527970969
Position 28409: 0.00021560077924660275
Position 28950: 0.0001612634823479344
Position 25930: 0.00013014280845459488
Position 26797: 0.00011354111935563923
Position 24012: 9.41198633944154e-05
Position 27942: 6.480453119624012e-05
Position 26319: 6.003950620687785e-05
Position 27759: 5.704652259751445e-05
Position 24075: 5.6020004032533905e-05
Position 24136: 5.2886843724109264e-05
Position 29730: 5.287216249667176e-05
Position 29543: 4.1426161650273644e-05
Position 29621: 3.7385242959362964e-05
Position 28048: 3.634894922136673e-05
Position 24023: 3.4607123167235894e-05
Position 25993: 3.189513255514027e-05
Position 23823: 2.5922894614000295e-05
Position 24439: 1.573325941314405e-05
Position 24465: 1.2197971141353263e-05
Position 23720: 1.0579692285757169e-05
Position 28144: 8.576811812496747e-06
Position 25227: 7.374006018498831e-06
Position 25430: 7.1247073128521575e-06
Position 26800: 6.880959002655091e-06
Position 25212: 6.608026418029501e-06
Position 27892: 5.350900241161787e-06
Position 28300: 3.636842226056159e-06
Position 27933: 2.8887951981012754e-06
Position 25267: 2.788106863926883e-06
Position 25021: 2.7336593873626863e-06
Position 27233: 2.6935423971959815e-06
Position 27031: 2.447487489130707e-06
Position 24467: 1.7751031829419176e-06
Position 27274: 1.5631432518991524e-06
Position 27743: 1.242121661848041e-06
Position 24639: 1.6401410239145853e-07
Position 26278: 6.717368894636558e-08
Position 24651: 5.877762362997397e-08
Position 24924: 3.618057089251191e-08
Position 24822: 1.9947996877298983e-08
Position 24372: 1.9251157617056625e-08
Position 24917: 1.820974285918255e-08
Position 25036: 1.3052417301192616e-08
Position 25834: 1.1096472930140884e-08
Position 25056: 9.429402661302778e-09
Position 25373: 6.42708506416589e-09
Position 24755: 4.13236615089039e-09
Position 25473: 3.2893413248343837e-09
Position 25053: 3.169773613898711e-09
Position 24839: 2.4750325279175982e-09
Position 25453: 2.414526028260126e-09
Position 1598: 4.933588144319731e-19
Position 38: 4.726056725783852e-20
Position 440: 1.4095653118342704e-20
Position 925: 1.1536471339483953e-20
Position 1097: 1.1129915628002918e-20
Position 102: 7.555941031667345e-21
Position 444: 7.491553212345329e-21
Position 876: 6.617860570143649e-21
Position 411: 5.8463227870144064e-21
Position 217: 5.74379396343954e-21
Position 1457: 4.757090626152928e-21
Position 399: 4.5978164712281085e-21
Position 458: 3.202238189679664e-21
Position 1039: 2.6895087738162164e-21
Position 407: 2.572239771153742e-21
Position 899: 2.500660526385703e-21
Position 932: 2.304590309317075e-21
Position 971: 2.2278951155382014e-21
Position 428: 2.1870270764442207e-21
Position 872: 2.1428168092308397e-21
Position 403: 2.019849980869078e-21
Position 401: 1.8562627124266345e-21
Position 426: 1.786994090673804e-21
Position 1099: 1.7796612780683622e-21
Position 43: 1.710263084222541e-21
Position 1103: 1.3728704531915085e-21
Position 448: 1.3372635368855191e-21
Position 1101: 1.251234321544972e-21
Position 168: 1.144674859802882e-21
Position 478: 9.674634660077967e-22
Position 10: 9.589795222922114e-22
Position 1079: 8.172091850791234e-22
Position 639: 8.050965545748164e-22
Position 267: 7.261353023602289e-22
Position 25: 6.606338734269619e-22
Position 12: 6.493490726947692e-22
Position 1131: 5.353208699514745e-22
Position 14: 5.2444437889686875e-22
Position 16: 5.06651843370425e-22
Position 452: 3.9693820121783987e-22
Position 913: 3.8019170810469933e-22
Position 911: 3.608179910341039e-22
Position 805: 3.4721045812654345e-22
Position 1053: 2.824009963649269e-22
Position 868: 2.306569218185639e-22
Position 1007: 2.17767904472133e-22
Position 461: 2.0799017249006045e-22
Position 166: 1.7450148297197064e-22
Position 1057: 1.710260896513046e-22
Position 432: 1.2455649402211014e-22
Position 847: 9.783561667823735e-23
Position 1083: 9.763802430778007e-23
Position 825: 9.391010309592745e-23
Position 190: 8.131410423456485e-23
Position 6: 7.90851568624256e-23
Position 880: 7.04407872847713e-23
Position 1107: 6.955994554599991e-23
Position 210: 5.844005993819588e-23
Position 224: 5.842426989694597e-23
Position 33: 4.5177165876910043e-23
Position 20: 3.809639394007734e-23
Position 481: 2.3457154760770295e-23
Position 52: 3.0098766886148445e-24

Sorted 3' Splice Sites (High to Low Probability):
Position 22271: 1.0000000000000009
Position 22748: 1.0000000000000009
Position 24327: 0.9996653239402722
Position 23645: 0.9983059110570779
Position 23817: 0.7933612772854429
Position 31596: 0.35424053029343233
Position 31913: 0.20475439729080885
Position 23844: 0.10149146574711358
Position 23865: 0.10059068707318969
Position 31903: 0.09079459829420028
Position 30189: 0.0631968121800256
Position 29384: 0.046387809944178585
Position 29812: 0.043729552651476135
Position 29452: 0.029752627810102024
Position 33108: 0.02698752785182989
Position 28011: 0.017663877939706907
Position 30066: 0.015992944898139343
Position 31133: 0.015761679517879944
Position 32349: 0.014630497321062105
Position 29028: 0.013794008929743829
Position 29476: 0.012258346031471287
Position 31962: 0.01129267141496613
Position 29542: 0.009262240045697099
Position 32137: 0.00912908802735758
Position 31677: 0.006700048998515266
Position 32481: 0.006494361081012127
Position 24671: 0.005935725645691413
Position 33056: 0.0058629234271865786
Position 24727: 0.005840907483697623
Position 32978: 0.005671845689270866
Position 26138: 0.005596369837183211
Position 30886: 0.00547994053231655
Position 29991: 0.00528418205453628
Position 28095: 0.00426688879309016
Position 31082: 0.004098519415715184
Position 30567: 0.0040679998046113195
Position 31043: 0.0037345134608821047
Position 31334: 0.0036755162903249097
Position 30722: 0.003546566658629862
Position 31105: 0.003424128290255581
Position 30916: 0.003340716873884952
Position 31932: 0.003045789624596582
Position 31376: 0.002739972471585354
Position 30491: 0.0025915562552110793
Position 27060: 0.002587305259431362
Position 31163: 0.0024054500185096556
Position 30929: 0.0021135055400243966
Position 29456: 0.001818637617355373
Position 29276: 0.0016308485579998825
Position 28950: 0.0016257012827798727
Position 23923: 0.001493483500817249
Position 29151: 0.0014485170769375716
Position 29994: 0.0014377914738396905
Position 28684: 0.001216335571386052
Position 27742: 0.001202223152042242
Position 29621: 0.0009519481635231441
Position 30122: 0.0008172712568704948
Position 29362: 0.0008117707990501993
Position 29639: 0.000790394749286051
Position 29932: 0.0007688701796913598
Position 24651: 0.0005246359431842211
Position 26226: 0.0005087333294209971
Position 28032: 0.0004673636233309263
