Gene = Irbp18
index = 1237
Annotated 5SS: [187]
Annotated 3SS: [313]
SMsplice 5SS: [187]
SMsplice 3SS: [313]
top_k =  500
Partition function (log Z): -7.4999380419413

Sorted 5' Splice Sites (High to Low Probability):
Position 187: 0.9583977521160906
Position 360: 0.08827575892834026
Position 407: 0.02955511898037157
Position 465: 0.00958389716433793
Position 208: 0.0007795339032207243
Position 264: 0.0003888737112909782
Position 604: 0.00019484841642172183
Position 156: 0.0001220990010786604
Position 134: 9.554239510689772e-05
Position 423: 3.3171893083250986e-05
Position 199: 2.2023214567232856e-05
Position 191: 1.5715112219335818e-05
Position 237: 1.4409899426845455e-05
Position 59: 6.880871397322367e-06
Position 251: 5.633821602505526e-06
Position 618: 4.5124540485926806e-06
Position 22: 3.610181176041979e-06
Position 616: 1.312317349849502e-06
Position 243: 1.0717437272738622e-06
Position 607: 9.548171304152717e-07
Position 4: 6.09407356023394e-07
Position 102: 4.91483776850283e-07
Position 646: 1.4038476697240462e-07
Position 629: 1.2007946183731637e-07
Position 317: 6.998934522171876e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 313: 0.8154273253580104
Position 463: 0.12132968698034416
Position 447: 0.07170544566755559
Position 629: 0.04513795093805457
Position 412: 0.014486851145563204
Position 499: 0.0038828677848846186
Position 261: 0.0030725209282182198
Position 406: 0.002769463984059281
Position 591: 0.0018833694832452459
Position 322: 0.0015627190029436887
Position 277: 0.0013452654512483633
Position 518: 0.0011240642216460935
Position 673: 0.0008664364523549194
Position 384: 0.0006639260790932212
Position 337: 0.0006373327474144902
Position 689: 0.0005264104403864745
Position 418: 0.0003027217638653766
Position 264: 0.0003022862989687858
Position 532: 0.00014518846179405762
Position 678: 0.00010256702175438125
Position 364: 0.00010166126411456243
Position 343: 6.301999817947677e-05
Position 502: 1.9654129477644994e-05
Position 699: 1.431599940780571e-05
Position 388: 1.2700247017084417e-05
Position 215: 9.78254355009224e-06
Position 478: 4.0152218203384245e-06
Position 469: 1.5542101388014137e-06
Position 449: 8.472770236344163e-07
Position 59: 5.975390129440122e-07
Position 197: 5.194405703863231e-07
Position 134: 3.7792843953878765e-07
Position 224: 2.0909138198195652e-07
Position 90: 1.3184623430231961e-07
Position 110: 9.123153163873133e-08
Position 92: 5.4067609706613945e-08
Position 72: 3.858240621364305e-08
Position 119: 3.815524921328211e-08
Position 199: 3.391676130827977e-08
Position 145: 2.9752737146371655e-08
Position 191: 5.169955010893065e-09
Position 186: 3.6914816379371286e-09
Position 154: 6.792588547446292e-10
Position 217: 3.98742763346793e-10
Position 174: 2.728864551085403e-10
Position 170: 7.05923856815935e-11
Position 163: 4.3875766999459444e-11
Position 355: 8.647001453203105e-12
Position 219: 7.73476667726843e-12
