Gene = Rab3-GAP
index = 1403
Annotated 5SS: [ 104  469 2316 2598 2787 3972 4355]
Annotated 3SS: [ 158  521 2380 2658 2845 4156 4417]
SMsplice 5SS: [ 104  469 2316 2598 2787 3972 4355]
SMsplice 3SS: [ 158  521 2380 2658 2845 4156 4417]
top_k =  500
Partition function (log Z): 11.58111593106902

Sorted 5' Splice Sites (High to Low Probability):
Position 2787: 0.9991184698958936
Position 2598: 0.9923426688753708
Position 3972: 0.9869701676616062
Position 4355: 0.975901638977414
Position 469: 0.8572770243489173
Position 104: 0.7934446262043202
Position 2316: 0.697331572982644
Position 3139: 0.3883699035699394
Position 3472: 0.29488464263598085
Position 3128: 0.16316699907196106
Position 959: 0.09288498820570543
Position 4597: 0.07088439643662531
Position 2922: 0.06080884152176797
Position 4574: 0.038583259189249486
Position 1726: 0.033059706783868915
Position 735: 0.027823478569748254
Position 1472: 0.027283156859911693
Position 683: 0.02353139573398679
Position 2992: 0.01984263495698951
Position 449: 0.016552869744367437
Position 2164: 0.01357368270559752
Position 4076: 0.013470886783543665
Position 2041: 0.01220041130872128
Position 1387: 0.007060372434015512
Position 1780: 0.006751931103495934
Position 698: 0.005833366443208198
Position 4621: 0.005513131614197019
Position 4564: 0.005255328864121242
Position 169: 0.004920943521728436
Position 695: 0.004089604847512463
Position 2565: 0.0039911450508826486
Position 976: 0.0032433618730965293
Position 938: 0.002991699207283096
Position 1194: 0.0029874400704041726
Position 3417: 0.00295946326437097
Position 3045: 0.002956062846893944
Position 856: 0.002772708452823708
Position 298: 0.0026025358183059217
Position 3126: 0.002550733938169034
Position 1719: 0.002530271655554797
Position 4578: 0.002516549157129941
Position 3026: 0.0022285290247040807
Position 2963: 0.0018787099550451169
Position 1189: 0.0017917352058030467
Position 3074: 0.0017239287096792722
Position 964: 0.0014347716247892514
Position 3640: 0.0013220482427047627
Position 1484: 0.001284059711939368
Position 2997: 0.001278181651028475
Position 886: 0.0010629905917179667
Position 447: 0.0009843556034520144
Position 3319: 0.0009513373193462568
Position 2553: 0.0008890572975246718
Position 3980: 0.0008877683424438507
Position 2201: 0.0006253972716066495
Position 2521: 0.0005380852886488348
Position 673: 0.000503054042347985
Position 702: 0.0004710663181295353
Position 40: 0.00044922585221307543
Position 3242: 0.00044910704184585065
Position 4072: 0.0004374620497919525
Position 4679: 0.00036101045466650647
Position 3304: 0.00035257572078593375
Position 3477: 0.0003074738181827654
Position 131: 0.0002879389974317997
Position 1983: 0.0002868206280235423
Position 3942: 0.00022021939568636937
Position 473: 0.00021870277267637436
Position 721: 0.00016449462766707096
Position 62: 0.00016195062488398782
Position 4729: 0.000145963845017514
Position 718: 0.00010675104895418526
Position 741: 9.235616007429927e-05
Position 228: 9.014518940633892e-05
Position 2602: 8.803000687744989e-05
Position 425: 7.664148859354606e-05
Position 3934: 4.676462787046153e-05
Position 76: 3.0950024120552364e-05
Position 118: 2.9415537362319344e-05
Position 3226: 2.0544556397261006e-05
Position 2499: 1.9673642407127246e-05
Position 2974: 1.8355870689791583e-05
Position 3184: 1.784229200765897e-05
Position 3881: 1.7234412938666278e-05
Position 4697: 1.5294382856966402e-05
Position 4263: 1.3648891099770606e-05
Position 3249: 1.1765495262971562e-05
Position 287: 1.1017897571719452e-05
Position 488: 6.727574291537775e-06
Position 3254: 6.372862610127361e-06
Position 153: 6.183133704676314e-06
Position 4180: 5.8206294147787816e-06
Position 4330: 5.667351765951907e-06
Position 2791: 5.438880065246137e-06
Position 329: 4.02077149369264e-06
Position 2446: 3.2948259060782505e-06
Position 4319: 3.064110412724294e-06
Position 2767: 2.863182087192173e-06
Position 2486: 2.8507178036481403e-06
Position 235: 2.42455606291484e-06
Position 9: 1.8733563875171096e-06
Position 7: 1.8029079055594855e-06
Position 842: 1.6956232464883648e-06
Position 1706: 1.4192373669030588e-06
Position 2929: 1.0218230068077903e-06
Position 4359: 1.0205053645266093e-06
Position 2845: 1.0048735312785855e-06
Position 404: 9.430971318351055e-07
Position 2730: 6.977050551468684e-07
Position 836: 6.576355595769267e-07
Position 412: 1.9186712338916842e-07
Position 4300: 1.7746961416203917e-07
Position 476: 1.3486242931592391e-07
Position 538: 7.437998355973344e-08
Position 2871: 5.778609594238799e-08
Position 398: 3.700150017459092e-08
Position 4534: 2.4858315404343828e-08
Position 2708: 1.791326583398128e-08
Position 558: 8.728583672074751e-09
Position 2908: 5.896158837727041e-09
Position 3078: 5.496371911954372e-09
Position 618: 1.1104744207676452e-09
Position 2943: 6.414754913224486e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 4156: 0.9823416736284651
Position 2845: 0.9679982974662977
Position 2380: 0.9641759137595046
Position 2658: 0.9156307341056596
Position 4417: 0.8582270280450549
Position 521: 0.7395570417160129
Position 3202: 0.5325805255256008
Position 158: 0.5307040137793751
Position 3689: 0.22835037802292632
Position 1030: 0.1288089681475486
Position 226: 0.12412478488225492
Position 3792: 0.10952109605951219
Position 4420: 0.10078284044590588
Position 2682: 0.08325457233507523
Position 249: 0.0655830379695014
Position 4777: 0.053721585703601436
Position 3392: 0.03794895995897881
Position 795: 0.0253108842922259
Position 4659: 0.02382128445993712
Position 4783: 0.018982960493776742
Position 4038: 0.018112511409815502
Position 4732: 0.01787123875145973
Position 1535: 0.01650252868676625
Position 3812: 0.01339251008502143
Position 3596: 0.013062740854636472
Position 3515: 0.01296059558553059
Position 2114: 0.011945926079475823
Position 2426: 0.011722410179489532
Position 4729: 0.008388720441922768
Position 336: 0.0076315142667425
