Gene = Rcd4
index = 1413
Annotated 5SS: [410]
Annotated 3SS: [473]
SMsplice 5SS: [410]
SMsplice 3SS: [473]
top_k =  500
Partition function (log Z): -6.156589731312676

Sorted 5' Splice Sites (High to Low Probability):
Position 410: 0.9742809457502937
Position 420: 0.016412759176587854
Position 295: 0.004113468519382727
Position 261: 0.0036069801483131457
Position 63: 0.0018024677205935656
Position 108: 0.0006774075943704997
Position 323: 0.0006548213499799221
Position 61: 0.00035624778507042807
Position 16: 0.0001810429047978162
Position 243: 0.00015216481786906302
Position 231: 7.935444879496484e-05
Position 213: 4.56748696791851e-05
Position 657: 4.4908049323947566e-05
Position 84: 2.515079267119855e-05
Position 27: 2.4153916710131e-05
Position 191: 1.978249560467999e-05
Position 302: 1.771041601769598e-05
Position 155: 1.1593534039732804e-05
Position 32: 1.1500689432193962e-05
Position 119: 1.1055070606866721e-05
Position 197: 1.0745310672016551e-05
Position 37: 5.521793023038397e-06
Position 678: 5.393286897611676e-06
Position 25: 4.772113971174589e-06
Position 8: 4.337030876313737e-06
Position 432: 3.874003445402272e-06
Position 175: 2.3278231158595797e-06
Position 525: 2.0669567188139603e-06
Position 555: 1.7569417738376746e-06
Position 690: 8.41510242214166e-07
Position 172: 3.3669594413686866e-07
Position 510: 3.2726283723721565e-07
Position 537: 2.303984875017776e-07
Position 3: 1.9409385364189934e-07
Position 507: 1.8386820816458748e-07
Position 439: 7.675686363504732e-08
Position 505: 5.003484579553457e-08
Position 519: 4.253535504306096e-08
Position 549: 4.0485552869245584e-08
Position 161: 1.7543113410869736e-08
Position 459: 1.2589924341771808e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 473: 0.9929913947766388
Position 485: 0.00406444217668307
Position 409: 0.002831062015634485
Position 111: 0.0016064323323592433
Position 146: 0.0004189378228377588
Position 135: 0.00022031416732539068
Position 364: 8.495799715201735e-05
Position 334: 8.32041830053442e-05
Position 568: 6.578970729325889e-05
Position 231: 5.154795428285935e-05
Position 243: 4.9138555619043446e-05
Position 714: 3.102057087345407e-05
Position 742: 2.2618875823505834e-05
Position 587: 1.9766172094400345e-05
Position 299: 6.742239942770268e-06
Position 331: 3.865773318913349e-06
Position 600: 3.815671318783887e-06
Position 295: 3.5743813403601776e-06
Position 625: 2.758001311295338e-06
Position 617: 2.6011095331658026e-06
Position 385: 1.6776655347039546e-06
Position 683: 1.4294635113109948e-06
Position 660: 1.05195748244006e-06
Position 758: 9.140217730591422e-07
Position 251: 6.998654022115515e-07
Position 260: 5.75627321535803e-07
Position 639: 4.529412658556158e-07
Position 340: 3.2062476613273297e-07
Position 289: 2.7646122517213316e-07
Position 745: 2.643204234867556e-07
Position 257: 2.3750451132096453e-07
Position 61: 1.73577198687892e-07
Position 635: 1.4645057588720874e-07
Position 419: 5.807504362723809e-08
Position 84: 2.2645286977548618e-08
Position 788: 1.7991582339185224e-08
Position 48: 1.0798688770320339e-08
Position 690: 1.0165895061804956e-08
Position 50: 6.512262305357686e-09
Position 657: 5.163041371534317e-09
Position 119: 2.7686804077013837e-09
