Gene = Cpr64Ab
index = 1095
Annotated 5SS: [83]
Annotated 3SS: [191]
SMsplice 5SS: [83]
SMsplice 3SS: [191]
top_k =  500
Partition function (log Z): -1.9215491609642754

Sorted 5' Splice Sites (High to Low Probability):
Position 83: 0.9879102900959403
Position 112: 0.010633500808900959
Position 282: 0.0014879923022426244
Position 507: 0.0011325538824965987
Position 360: 0.0010645694872649083
Position 258: 0.0006057408667651872
Position 145: 0.000578284412761029
Position 143: 0.0005441671734196308
Position 299: 0.00037538275842600023
Position 87: 0.00025388275131838693
Position 489: 0.0002198186675016759
Position 102: 0.0001420409211844244
Position 573: 0.0001337768817967658
Position 412: 0.00012619173189315082
Position 516: 8.493154126533178e-05
Position 396: 7.854489303891133e-05
Position 468: 4.980447166495927e-05
Position 264: 4.942508084965037e-05
Position 454: 3.1799460208106695e-05
Position 483: 2.8058578183640398e-05
Position 399: 2.426340056775086e-05
Position 465: 1.2718370557348367e-05
Position 375: 9.044968212299355e-06
Position 230: 7.726280642261153e-06
Position 378: 7.220472893272984e-06
Position 305: 5.394518770447075e-06
Position 318: 4.987451950225415e-06
Position 3: 4.425731240233664e-06
Position 65: 2.5254899552838067e-06
Position 426: 1.839681885220298e-06
Position 252: 7.612553833890767e-07
Position 599: 4.7534250356415946e-07
Position 17: 1.993911587787497e-07
Position 611: 1.1839804259421134e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 191: 0.9974645954531235
Position 611: 0.0032194923363761587
Position 343: 0.001239987515592812
Position 323: 0.0011060982337232255
Position 131: 0.0007388771320013276
Position 555: 0.00065351507183583
Position 246: 0.00027715847929453945
Position 299: 0.00020841749947570797
Position 473: 0.00017118100457108406
Position 654: 0.00014833810316348527
Position 258: 0.00010226627328867313
Position 581: 9.979435792406945e-05
Position 623: 9.880664657638804e-05
Position 143: 4.468644965809828e-05
Position 359: 1.2701865024261255e-05
Position 347: 8.389296465729035e-06
Position 627: 7.059629735787915e-06
Position 264: 3.522347449980744e-06
Position 56: 3.4014549752766776e-06
Position 230: 2.6575922338902755e-06
Position 516: 7.654588458946474e-07
Position 281: 4.1804542987695455e-07
Position 65: 1.6690850012802365e-07
Position 356: 9.342223213023623e-08
Position 383: 6.662018510622347e-08
Position 82: 2.4572894235017813e-10
Position 349: 6.157093794742189e-11
Position 107: 1.4511822921351508e-11
Position 87: 1.3657575367664277e-12
Position 92: 2.4243898792267375e-14
