Gene = l(2)gd1
index = 1747
Annotated 5SS: [ 179 1865 2355 2565 3307]
Annotated 3SS: [ 265 1922 2412 3161 3372]
SMsplice 5SS: [ 179 1865 2355 2565 3307]
SMsplice 3SS: [ 265 1922 2412 3215 3372]
top_k =  500
Partition function (log Z): 16.40344081063806

Sorted 5' Splice Sites (High to Low Probability):
Position 3307: 0.9989373461407309
Position 2355: 0.9988823817597043
Position 2565: 0.9943215284268856
Position 1865: 0.99403251357257
Position 179: 0.9871091478371332
Position 3018: 0.3657693104602534
Position 3474: 0.08582996786715424
Position 2160: 0.04740022644997011
Position 2868: 0.02388827153238619
Position 3528: 0.021667337107140115
Position 2117: 0.01937275339699556
Position 1100: 0.011241115111350598
Position 2883: 0.007947570146341747
Position 3167: 0.00678876715798322
Position 3573: 0.00670328877880641
Position 3471: 0.004748741787636116
Position 2660: 0.002434610536731165
Position 806: 0.0023772344219538865
Position 3394: 0.0020857019006418074
Position 2872: 0.0016306923271740606
Position 3678: 0.001230980974705463
Position 1103: 0.0011245634176176068
Position 1050: 0.0011037019964259102
Position 3478: 0.0010607549382052788
Position 1114: 0.0009294469214878818
Position 2705: 0.000843098022323559
Position 42: 0.0008078148506791744
Position 3608: 0.0007963668049911897
Position 3569: 0.0006692921476314114
Position 198: 0.0006010857400667135
Position 2544: 0.0005942365760726526
Position 1082: 0.0005911323253811181
Position 423: 0.0005499456727610544
Position 315: 0.0004962060576270728
Position 3311: 0.00048699612132030093
Position 1417: 0.00044070171259811164
Position 2060: 0.00042321272767234665
Position 812: 0.0003161321374164049
Position 2719: 0.0002993444235467336
Position 2722: 0.00029861630327509766
Position 2334: 0.0002767298227704045
Position 2507: 0.00026328182300878415
Position 2328: 0.0002507878563949019
Position 2981: 0.00024675474976170857
Position 2198: 0.0002368217777796885
Position 2100: 0.00019151590444886887
Position 2257: 0.0001782752227748059
Position 3562: 0.00017192024266472295
Position 3542: 0.00016874600828194975
Position 2946: 0.00015536352428699858
Position 3282: 0.00015105570225992817
Position 661: 0.00014949319605467147
Position 531: 0.00013182909147646643
Position 1836: 0.00012810629233185237
Position 1470: 0.00012267266804058394
Position 1085: 0.00011903327521165357
