Gene = DCTN5-p25
index = 1120
Annotated 5SS: [140 528]
Annotated 3SS: [227 584]
SMsplice 5SS: [528]
SMsplice 3SS: [584]
top_k =  500
Partition function (log Z): -2.6731972748766424

Sorted 5' Splice Sites (High to Low Probability):
Position 528: 0.9967357858570517
Position 243: 0.0478823536892762
Position 235: 0.02673111026185009
Position 144: 0.0025150007843402
Position 31: 0.001749921440662751
Position 503: 0.0016221401906804322
Position 442: 0.0008232909749186673
Position 13: 0.0005765288908077484
Position 131: 0.0005416215870073538
Position 780: 0.0004274170786673303
Position 36: 6.76089702918128e-05
Position 361: 5.0337142350620924e-05
Position 297: 4.758133264573552e-05
Position 258: 3.9037784565864254e-05
Position 363: 2.893607663162087e-05
Position 69: 2.0041858960170268e-05
Position 501: 1.2772890694528082e-05
Position 761: 1.067661464465001e-05
Position 220: 9.91878063724491e-06
Position 713: 7.207177914535667e-06
Position 438: 6.578859576414446e-06
Position 670: 4.444068878648925e-06
Position 303: 3.998209021463003e-06
Position 265: 3.6430915560384152e-06
Position 342: 2.6083439257796647e-06
Position 395: 2.540149703990224e-06
Position 381: 2.111425289381784e-06
Position 615: 1.8057817299789512e-06
Position 545: 1.2988905145595742e-06
Position 697: 1.186825489900873e-06
Position 247: 8.72613284338895e-07
Position 471: 5.75279831573676e-07
Position 556: 5.037622436423377e-07
Position 456: 4.796128112877029e-07
Position 268: 4.7324901532293857e-07
Position 474: 2.3381040085870275e-07
Position 595: 1.5014005701980658e-07
Position 597: 1.1756287350440666e-07
Position 720: 1.0151174539255058e-07
Position 654: 4.283714270351619e-08
Position 450: 3.864173070641941e-08
Position 589: 2.422756330852327e-08
Position 613: 5.2205711363842455e-09
Position 656: 2.6864425515117673e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 584: 0.9995809074330042
Position 296: 0.06246891871761755
Position 308: 0.011675147222704775
Position 227: 0.004191786382225513
Position 69: 0.0004511841132095691
Position 837: 0.0004480314083722149
Position 606: 0.00026756045695297206
Position 117: 0.0002495461784182184
Position 409: 0.00020461244531498412
Position 181: 0.00019029769182796495
Position 355: 4.096862742512541e-05
Position 661: 3.929009700529052e-05
Position 645: 2.3043341570672445e-05
Position 413: 1.9790781709341448e-05
Position 374: 1.9180242766218003e-05
Position 134: 1.4839958624628191e-05
Position 465: 1.2692783538328036e-05
Position 737: 9.81653107607893e-06
Position 468: 8.962801931887115e-06
Position 122: 3.7546501429932003e-06
Position 247: 3.4115363446903746e-06
Position 243: 3.0331804823261155e-06
Position 471: 2.955867401833787e-06
Position 515: 1.3390870284720887e-06
Position 761: 7.037009073266315e-07
Position 188: 6.236490545486087e-07
Position 792: 4.0835499291464415e-07
Position 784: 1.6481671376907971e-07
Position 623: 5.4118347111328694e-08
Position 704: 3.3048767219829053e-08
Position 190: 2.6749136003521682e-08
Position 144: 2.3643655137572334e-08
Position 695: 4.834314797706191e-09
Position 310: 4.402633276185273e-09
Position 773: 3.1546973182027933e-09
Position 682: 2.86478548625271e-09
Position 798: 1.2531628409536293e-09
Position 136: 5.81353599851515e-11
