Gene = Tsf2
index = 1570
Annotated 5SS: [ 173  674  887 1113 1624 1852]
Annotated 3SS: [ 245  752  951 1171 1686 1917]
SMsplice 5SS: [ 173  674  887 1113 1624 1852]
SMsplice 3SS: [ 245  752  951 1171 1686 1917]
top_k =  500
Partition function (log Z): 16.24246743827263

Sorted 5' Splice Sites (High to Low Probability):
Position 1624: 0.9994738226260439
Position 674: 0.9985035605507347
Position 1852: 0.9980986783928152
Position 173: 0.9786990117478345
Position 1113: 0.8587853881998377
Position 887: 0.8539607575177302
Position 2174: 0.13477656033884228
Position 490: 0.05722199463529599
Position 2727: 0.009934838301150422
Position 48: 0.008754985208065936
Position 2535: 0.0066185118302082
Position 798: 0.006028417605367821
Position 371: 0.004873667053363674
Position 2310: 0.004087540221776071
Position 1247: 0.0033606965827046907
Position 2632: 0.0023907429551587723
Position 2950: 0.002195887987063107
Position 30: 0.001805499617786448
Position 839: 0.0017699739196636343
Position 405: 0.0016371580518246688
Position 1082: 0.0015346554958364878
Position 2850: 0.0014741391109057503
Position 3229: 0.0012747863520243738
Position 1367: 0.0008994852138580153
Position 35: 0.0006262264025014112
Position 1864: 0.0005879344962404036
Position 2089: 0.0004632266323732469
Position 2112: 0.0004578534306917683
Position 635: 0.0004552211930021617
Position 335: 0.00041114354377301944
Position 830: 0.0003163722339974492
Position 651: 0.0002885642632699161
Position 2119: 0.00028056388165050104
Position 415: 0.0002764451982148719
Position 313: 0.00025285421463147546
Position 32: 0.0002197413926300562
Position 177: 0.0001932980100193301
Position 42: 0.00019052252406444634
Position 1778: 0.00018929109633354584
Position 77: 0.00017970000739381248
Position 1443: 0.00017602565304917134
Position 2278: 0.00016560011513095364
Position 54: 0.00014274672257557134
Position 620: 0.00014203348947110545
Position 832: 0.00013911963918467046
Position 2585: 0.0001358743566032073
Position 2367: 0.00013199609615545656
Position 678: 0.00012727876998323866
Position 2500: 0.00012281900835557614
Position 1350: 0.0001208270820780102
Position 1461: 0.00011815555258762631
Position 2743: 0.00010205061701025477
Position 2827: 8.832170408523523e-05
Position 284: 5.4265037226374635e-05
Position 1317: 4.570420833479364e-05
Position 1117: 3.8912985011722466e-05
Position 1628: 2.896811900746882e-05
Position 373: 2.4321509930250806e-05
Position 37: 2.0530170486821124e-05
Position 1261: 1.5460976067082564e-05
Position 289: 1.2720624704397634e-05
Position 473: 1.1679903424835298e-05
Position 837: 1.1539526690300291e-05
Position 696: 9.554486735352808e-06
Position 197: 8.075147664426817e-06
Position 957: 7.221323840901037e-06
Position 1038: 7.172382381744455e-06
Position 659: 6.181839916077914e-06
Position 1644: 4.226161783456577e-06
Position 286: 3.4639128292762257e-06
Position 2321: 3.3354440264810267e-06
Position 2307: 2.5183191920456346e-06
Position 2295: 1.9971932815721447e-06
Position 1245: 1.8168087675253437e-06
Position 777: 1.4424849119961734e-06
Position 2337: 1.3009555153074029e-06
Position 1740: 1.2594064504321626e-06
Position 1856: 1.2441280589222948e-06
Position 2732: 1.1832365324847584e-06
Position 622: 9.675232507403749e-07
Position 780: 8.513632586830444e-07
Position 1708: 8.250131069544968e-07
Position 703: 7.380579195814267e-07
Position 2954: 6.867718918643353e-07
Position 2348: 5.98033665273114e-07
Position 1572: 5.169254674182e-07
Position 2756: 4.691629469570005e-07
Position 560: 3.362602266519672e-07
Position 2122: 2.397933140472513e-07
Position 2091: 2.3350005820589668e-07
Position 1617: 1.5446816088595687e-07
Position 554: 1.3575651810847468e-07
Position 142: 1.3002305507827078e-07
Position 155: 1.2559356564542107e-07
Position 225: 1.2137064045356285e-07
Position 1488: 9.974364457637699e-08
Position 1587: 8.845086658188933e-08
Position 2082: 4.051805373293634e-08
Position 2071: 3.7718982504526006e-08
Position 1728: 3.7461849107609186e-08
Position 1810: 3.4300574947593645e-08
Position 133: 1.3455856350567218e-09
