Gene = Syx8
index = 1536
Annotated 5SS: [617]
Annotated 3SS: [669]
SMsplice 5SS: [617]
SMsplice 3SS: [669]
top_k =  500
Partition function (log Z): -5.83489382026209

Sorted 5' Splice Sites (High to Low Probability):
Position 617: 0.9432683558954924
Position 601: 0.0455267749976775
Position 621: 0.009134213095126882
Position 151: 0.002901130334535533
Position 375: 0.0011573810687853282
Position 544: 0.0011149349757211215
Position 195: 0.0008399768464798067
Position 265: 0.0005194070374964785
Position 797: 0.0003495911030157795
Position 449: 0.00011559916130680408
Position 747: 0.00011525258019651682
Position 14: 7.688694658621375e-05
Position 849: 7.127889358448537e-05
Position 386: 6.822116435616846e-05
Position 8: 4.654204452971137e-05
Position 114: 3.330266889132691e-05
Position 852: 2.368987845944785e-05
Position 268: 1.789679078588409e-05
Position 819: 1.7310707793067505e-05
Position 763: 1.074274083412017e-05
Position 484: 6.5773415425783116e-06
Position 715: 5.497104200029186e-06
Position 35: 4.847130912701606e-06
Position 825: 3.984062201241282e-06
Position 886: 3.0353372808655776e-06
Position 666: 2.796329759411575e-06
Position 416: 1.5094126930761384e-06
Position 783: 9.389778650222703e-07
Position 88: 9.140399122788678e-07
Position 816: 7.453916645874589e-07
Position 879: 6.892364554436543e-07
Position 199: 6.617876732567859e-07
Position 801: 2.0944602397953724e-07
Position 703: 1.9841770366885033e-07
Position 813: 1.6741627754111394e-07
Position 894: 9.891616860792159e-08
Position 561: 9.65163692258517e-08
Position 717: 4.227717998475635e-08
Position 38: 2.9556295421426028e-08
Position 400: 7.856205194600637e-09
Position 631: 3.3423956025369095e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 669: 0.998550725656461
Position 429: 0.0030557412562177938
Position 746: 0.0011898874253989454
Position 215: 0.0011368257018278774
Position 849: 0.00033510264300530324
Position 435: 0.0002598889885874682
Position 905: 0.0002178262938747679
Position 65: 0.00011781028353230786
Position 566: 9.6756566053995e-05
Position 354: 8.982599123101043e-05
Position 830: 6.042620757778035e-05
Position 264: 5.88916915368172e-05
Position 722: 5.549164825539834e-05
Position 792: 2.8054682898794858e-05
Position 501: 2.790620304646896e-05
Position 935: 2.640010191370085e-05
Position 734: 1.887237015228971e-05
Position 938: 1.3310838598514231e-05
Position 528: 1.0848494551810064e-05
Position 341: 9.718915749603195e-06
Position 588: 8.015780379668335e-06
Position 507: 7.231498994748585e-06
Position 212: 6.224526477133397e-06
Position 763: 5.478898370919822e-06
Position 255: 5.44542773020773e-06
Position 455: 5.2528033477438985e-06
Position 489: 4.865850777337448e-06
Position 222: 4.626549273380697e-06
Position 165: 4.125583038594105e-06
Position 232: 4.044934242864381e-06
Position 553: 3.8903554555115265e-06
Position 237: 3.6328466173812163e-06
Position 71: 2.6866257133569903e-06
Position 448: 2.5396996945679406e-06
Position 74: 2.4461960506392497e-06
Position 389: 2.0576579571799908e-06
Position 570: 1.8335312229761924e-06
Position 525: 1.7926210853070612e-06
Position 386: 1.2227001190879922e-06
Position 171: 1.0906643040649235e-06
Position 631: 8.105869220993854e-07
Position 375: 4.2885566644739904e-07
Position 498: 3.6084692909234224e-07
Position 294: 3.377668967566668e-07
Position 246: 2.4365336353050776e-07
Position 174: 1.5439399359535156e-07
Position 312: 1.1525971855883705e-07
Position 513: 8.793444202311296e-08
Position 612: 7.259340678450108e-08
Position 195: 2.4100511556300877e-08
Position 144: 2.0333465062611097e-08
Position 114: 1.8899437155348876e-08
Position 321: 1.6436464771420094e-08
Position 234: 1.6177412870358248e-08
Position 363: 6.966859816738559e-09
Position 600: 3.963606297800007e-09
Position 120: 5.83661416830131e-12
Position 306: 2.4130051200544875e-12
Position 76: 6.335496854000742e-13
Position 185: 7.762048810671381e-14
Position 129: 1.6700947955485488e-16
Position 191: 2.4252533592646192e-17
