Gene = Mob2
index = 1282
Annotated 5SS: [ 9404 20456 35052 36654]
Annotated 3SS: [19398 34890 36556 36719]
SMsplice 5SS: [  340 35052 36654]
SMsplice 3SS: [34890 36556 36719]
top_k =  500
Partition function (log Z): -6.1897982193781615

Sorted 5' Splice Sites (High to Low Probability):
Position 340: 1.0
Position 36654: 0.9996246969002437
Position 35052: 0.9992664460584626
Position 36811: 0.030406116551139853
Position 37478: 0.008078884667741456
Position 36921: 0.005583270493570347
Position 38884: 0.005476071095122725
Position 37471: 0.003435614975253852
Position 38374: 0.0021192971156343983
Position 37376: 0.0017969663076905903
Position 38763: 0.0015450780771705725
Position 36907: 0.0014132231246656887
Position 38228: 0.0012636994976282486
Position 37463: 0.001171004548774076
Position 37842: 0.0007843361529023086
Position 37490: 0.00045745784051338235
Position 37852: 0.0003945592923599482
Position 37469: 0.00027806625566855516
Position 37475: 0.0001335993977329371
Position 36864: 6.495587614478738e-05
Position 37088: 6.140136214379931e-05
Position 8115: 4.070783892253685e-19
Position 710: 3.453643263887982e-19
Position 3962: 3.2191023892804575e-19
Position 8481: 1.7466831471979502e-19
Position 9809: 1.1633259695765764e-19
Position 8156: 1.0991349212318553e-19
Position 7849: 7.588186752481223e-20
Position 1730: 5.79848289251932e-20
Position 7494: 3.292893187094081e-20
Position 1344: 2.4058561616189338e-20
Position 7319: 1.3080475592700462e-20
Position 5379: 1.1906958721964398e-20
Position 1368: 7.446973035856348e-21
Position 1364: 6.2545034909734556e-21
Position 389: 2.247247365831705e-21
Position 75: 1.977425511382495e-21
Position 369: 1.9553381196382033e-21
Position 1627: 1.030914632238176e-21
Position 7372: 8.790497692440194e-22
Position 219: 6.186000281050303e-22
Position 174: 5.444877834468492e-22
Position 178: 5.273215222395369e-22
Position 4693: 4.682716332550083e-22
Position 215: 4.0117818642642256e-22
Position 166: 3.3792772971465867e-22
Position 162: 2.50514966571027e-22
Position 1326: 2.4344449010168915e-22
Position 1038: 2.354020116957341e-22
Position 349: 2.2371764796018546e-22
Position 421: 1.420183319980626e-22
Position 1008: 6.206621770903147e-23
Position 156: 6.130839219020573e-23
Position 170: 5.637963885165226e-23
Position 187: 4.989891229834705e-23
Position 197: 3.7521087969896544e-23
Position 344: 3.4904784162733204e-23
Position 223: 3.206016533010832e-23
Position 191: 3.125234911327519e-23
Position 1252: 2.947006787669573e-23
Position 7: 2.854572601680994e-23
Position 387: 2.6175885117932786e-23
Position 1348: 2.3315072468113734e-23
Position 1330: 1.9199824542307335e-23
Position 124: 1.8429666147216402e-23
Position 43: 1.2158052293168686e-23
Position 751: 1.1707596736768146e-23
Position 201: 1.1616962273700472e-23
Position 714: 9.894179359109833e-24
Position 831: 8.886489639030081e-24
Position 1059: 8.395816581498257e-24
Position 217: 8.007565435130065e-24
Position 948: 5.8547275049301005e-24
Position 122: 5.495036872885233e-24
Position 205: 4.3868580605325025e-24
Position 2243: 3.700830127792827e-24
Position 81: 3.496426992449786e-24
Position 144: 3.07646187701374e-24
Position 1022: 2.8469280046250707e-24
Position 128: 2.0384670743513734e-24
Position 172: 1.471994008025414e-24
Position 1905: 1.2933033058800432e-24
Position 93: 1.2817683998950784e-24
Position 36: 1.0819644643401662e-24
Position 116: 1.0665266414331274e-24
Position 138: 7.161531376341256e-25
Position 323: 6.693193052785385e-25
Position 119: 4.810741091734145e-25
Position 620: 3.366203701673159e-25
Position 535: 2.8727427192654067e-25
Position 111: 2.8445823886991018e-25
Position 506: 1.6440459885074685e-25
Position 182: 1.3699058982042244e-25
Position 849: 7.153483563060907e-26
Position 733: 5.319953797593736e-26
Position 1145: 5.148559549717813e-26
Position 284: 4.930869735719497e-26
Position 1034: 3.5811122282370166e-26
Position 1030: 3.311685156286445e-26
Position 189: 3.241403976083918e-26
Position 874: 2.3202756257957114e-26
Position 195: 1.8430500749255023e-26
Position 1032: 7.311279385859838e-27
Position 743: 6.288036489415473e-27
Position 671: 6.0693193799924895e-27
Position 833: 1.2519666740420584e-29
Position 959: 2.241145945564982e-30
Position 967: 2.021135974732374e-30
Position 899: 1.6807813785940635e-30
Position 974: 1.535054562594805e-30
Position 951: 1.3676347806795919e-30
Position 852: 1.181973264473486e-30
Position 566: 9.826572023641615e-31
Position 881: 9.658609497180812e-31
Position 472: 6.03298422097096e-34
Position 432: 4.239726176863116e-34
Position 264: 3.8637770309147123e-35
Position 393: 8.646106644421961e-37

Sorted 3' Splice Sites (High to Low Probability):
Position 34890: 0.9999999999999982
Position 36556: 0.9891069864288748
Position 36719: 0.9667374838918348
Position 38437: 0.015864752438619602
Position 36744: 0.01347304851410251
Position 38051: 0.012274905899379086
Position 38689: 0.009631714692938054
Position 38393: 0.0058990642005177655
Position 35642: 0.005653078334194822
Position 38942: 0.0054760710951227195
Position 37929: 0.0053644634592504075
Position 39037: 0.004182082747142569
Position 36700: 0.003935192200446639
Position 37547: 0.002917469773826536
Position 38403: 0.002600391414229608
Position 36938: 0.0024049330710043033
Position 35526: 0.002384789710130106
Position 38987: 0.002379564408849558
Position 35201: 0.0020691503757633064
Position 38748: 0.0018392446071764353
Position 39150: 0.001745547895206819
Position 38462: 0.0012265569542101575
Position 38663: 0.0010037623853200962
Position 37032: 0.0008855271848886566
Position 36913: 0.0008224182682852394
Position 37035: 0.0006427082780781514
Position 38613: 0.0006412479589296139
Position 39175: 0.0005838896422164056
Position 37950: 0.00042921561222124456
Position 37155: 0.00025323241671906197
Position 37972: 0.00016673606815501027
Position 36807: 0.00016027016002964658
Position 37904: 0.0001312127507588302
Position 37638: 0.00010111396840502885
Position 37438: 9.243997899006293e-05
Position 36766: 9.097695854827788e-05
Position 37327: 8.521097627208857e-05
Position 36885: 5.34836360506858e-05
Position 36804: 4.480723387524285e-05
Position 17196: 1.2408928437601984e-15
Position 12171: 7.303783180832086e-18
Position 8114: 1.3924134904633166e-18
Position 11888: 1.3653616457262384e-18
Position 9586: 7.723523694712197e-19
Position 8530: 4.906227740302169e-19
Position 586: 2.857506161562797e-19
Position 9914: 2.814320645498603e-19
Position 10601: 2.6366032179309906e-19
Position 7178: 2.5470820357265925e-19
Position 7714: 2.0911936486393587e-19
Position 8542: 1.6857832919889798e-19
