Gene = aos
index = 1610
Annotated 5SS: [  970 11830 12071]
Annotated 3SS: [11275 11898 12138]
SMsplice 5SS: [  970 11830 12071]
SMsplice 3SS: [11275 11898 12138]
top_k =  500
Partition function (log Z): 6.170237581703735

Sorted 5' Splice Sites (High to Low Probability):
Position 12071: 0.9991449739414967
Position 11830: 0.9989771577385728
Position 970: 0.9890103112878483
Position 11449: 0.17217972785871527
Position 12783: 0.1602341265779601
Position 14: 0.054375002112022966
Position 12935: 0.054281176025595
Position 5512: 0.05284764525932334
Position 12329: 0.05131372238722214
Position 12759: 0.04059582687348438
Position 2985: 0.02004723651324788
Position 335: 0.010512372824413358
Position 12634: 0.009731564279726455
Position 10129: 0.00909887121693914
Position 1794: 0.007478751208129844
Position 8170: 0.0073379017204391
Position 2122: 0.007248587227867126
Position 10215: 0.0067080378657528045
Position 228: 0.004359613077363637
Position 785: 0.004021034057434524
Position 964: 0.0031923776670547115
Position 2259: 0.0030697489897089335
Position 12280: 0.0023896627284794958
Position 13055: 0.0021664460678899374
Position 361: 0.0019838328601834007
Position 178: 0.0019072378055800645
Position 12418: 0.0013080733445818722
Position 169: 0.0010503474013808032
Position 12352: 0.001026970090287275
Position 53: 0.0009021910638841473
Position 183: 0.0007900673184301586
Position 101: 0.000743362393354633
Position 820: 0.0006532201324797801
Position 176: 0.000650391516558253
Position 790: 0.0006009247702501192
Position 12181: 0.00043610346536485697
Position 12403: 0.0003868048616105971
Position 558: 0.0003619387385190367
Position 2162: 0.0003600378698431447
Position 12909: 0.0003269994017839928
Position 720: 0.00030136001323028473
Position 12479: 0.00028767870366493186
Position 12211: 0.00027635289056463343
Position 12075: 0.0002608467306212048
Position 667: 0.0002581893725455655
Position 323: 0.0002540628181406565
Position 307: 0.00021023828510105343
Position 2233: 0.0002027668530287696
Position 91: 0.00020068962078926338
Position 13103: 0.0001904405934731915
Position 325: 0.00018140095888420098
Position 321: 0.00016602697723199763
Position 12700: 0.00012250588246508562
Position 13108: 0.00011958408168310978
Position 12469: 0.00011509552568796033
Position 4227: 0.00010381984846225694
Position 18: 9.652213944123153e-05
Position 775: 8.585927089724815e-05
Position 713: 8.0963642325226e-05
Position 12624: 7.706906552075869e-05
Position 12296: 7.343135266244107e-05
Position 254: 6.292495428477617e-05
Position 12567: 6.055486226434735e-05
Position 1464: 5.375960763490231e-05
Position 12673: 4.3680567947448025e-05
Position 11505: 4.32494889662454e-05
Position 12680: 4.030882717513649e-05
Position 12920: 3.9515394055831995e-05
Position 11639: 3.9030694623455154e-05
Position 669: 3.367211021849653e-05
Position 11807: 3.138173831682604e-05
Position 448: 3.097458273772325e-05
Position 12900: 2.9566748042330886e-05
Position 12049: 2.4754651860950964e-05
Position 730: 1.9852574189435974e-05
Position 12804: 1.8714623188945815e-05
Position 564: 1.7704024151465504e-05
Position 985: 1.6540500042838768e-05
Position 281: 1.5420503277451826e-05
Position 2166: 1.4237400147196332e-05
Position 1452: 1.2204382179520582e-05
Position 946: 1.1629858642048404e-05
Position 817: 1.1496071003480471e-05
Position 727: 1.1155305764561584e-05
Position 11990: 1.0280134787924206e-05
Position 1424: 8.924933808931503e-06
Position 302: 8.30381379735276e-06
Position 11435: 5.0935286411491986e-06
Position 12599: 4.6543953134978285e-06
Position 1270: 3.126001233722152e-06
Position 12601: 3.0947044032542e-06
Position 1806: 1.9250790910561647e-06
Position 22: 1.9093349784197833e-06
Position 12260: 1.8718114248877837e-06
