Gene = yuri
index = 1936
Annotated 5SS: [ 923 1361 1723 2318 2623 2781 2975 5911 6189 6520 6894]
Annotated 3SS: [1027 1563 2065 2387 2679 2851 5753 5982 6250 6586 7105]
SMsplice 5SS: [ 231  923 1361 1723 2318 2623 2781 2975 5911 6520 6894]
SMsplice 3SS: [ 377 1027 1563 2065 2387 2691 2851 5753 5982 6586 7105]
top_k =  500
Partition function (log Z): 16.534191708446507

Sorted 5' Splice Sites (High to Low Probability):
Position 2781: 0.9966808993945793
Position 5911: 0.979115709984044
Position 6894: 0.9740428828056064
Position 1723: 0.9528952513252441
Position 2975: 0.872058451943529
Position 2623: 0.8237779000549701
Position 231: 0.7667169452910695
Position 923: 0.7489335921829556
Position 1361: 0.7138855525876002
Position 2318: 0.6417894171554267
Position 6520: 0.528384316690707
Position 5342: 0.5088096446790895
Position 6524: 0.4045611660775406
Position 4045: 0.3065405864523412
Position 4034: 0.19956177490809868
Position 2627: 0.11895862656570592
Position 949: 0.10155123088933386
Position 3260: 0.09943787820711113
Position 2292: 0.08579339749913872
Position 5674: 0.07241415460375389
Position 3596: 0.07179326322044559
Position 6194: 0.06485158415135801
Position 3228: 0.0642881458862279
Position 1411: 0.060551213904917446
Position 1200: 0.0558493754771643
Position 6189: 0.05407090076806626
Position 935: 0.05233310599825613
Position 6156: 0.04260837815374442
Position 1980: 0.03523112820772329
Position 542: 0.03068414039861005
Position 1169: 0.03030070197395464
Position 1155: 0.028721003128829446
Position 1474: 0.02798634488221802
Position 1395: 0.027430869023078917
Position 2388: 0.021881126027424518
Position 528: 0.01915831503217352
Position 6235: 0.015037239844186928
Position 5372: 0.014870829417993446
Position 5560: 0.012799782689100753
Position 1209: 0.012292665903552411
Position 50: 0.008781165661500967
Position 5657: 0.007671964853685904
Position 3800: 0.0062621968116780904
Position 1657: 0.00541852800575366
Position 5287: 0.005080329067389135
Position 4541: 0.004215898097901747
Position 2398: 0.004190992653499421
Position 1159: 0.0041467494529259736
Position 932: 0.0040814865986780885
Position 1221: 0.0038739432911410214
Position 912: 0.00361012095293967
Position 458: 0.0031722877664709837
Position 3393: 0.0027996319850956265
Position 111: 0.002428379746804887
Position 96: 0.002234304091466532
Position 444: 0.001706900550654112
Position 3580: 0.0016026023341592856
Position 4368: 0.001571976264289317
Position 539: 0.0013603962485361993
Position 3994: 0.001329333483651523
Position 1846: 0.0012116658854155445
Position 113: 0.001190795612876123
Position 3288: 0.0011512598829076398
Position 2913: 0.0011228616944134126
Position 1132: 0.0011148242375148907
Position 3309: 0.0009361004918479062
Position 1680: 0.0008135472230288442
Position 2594: 0.0007851655238797445
Position 2785: 0.0007547111541874427
Position 2777: 0.0006183156039788457
Position 6955: 0.0005748024991055916
Position 3464: 0.0005435363594327087
Position 2966: 0.0005320771079879517
Position 472: 0.0005154732729232021
Position 683: 0.00046430226330153307
Position 1423: 0.00037340965943748574
Position 6657: 0.000358278005198075
Position 3243: 0.0003373394482542729
Position 3433: 0.00029386053208472183
Position 1238: 0.00024715091720943136
Position 6865: 0.00023751041434003117
Position 2979: 0.00020790255212692246
Position 3585: 0.00020207338129204025
Position 345: 0.00019146119691169762
Position 3548: 0.00017455373556516236
Position 6062: 0.00016059419275062477
Position 1406: 0.00015445996324612205
Position 3297: 0.0001410957752977465
Position 3878: 0.00012726409514715776
Position 3264: 0.0001230073593623594
Position 1301: 8.601292084963458e-05
