Gene = nSMase
index = 1812
Annotated 5SS: [189]
Annotated 3SS: [274]
SMsplice 5SS: [189]
SMsplice 3SS: [274]
top_k =  500
Partition function (log Z): -8.317894047517838

Sorted 5' Splice Sites (High to Low Probability):
Position 189: 0.9780770918947528
Position 109: 0.019260910838178633
Position 474: 0.017461853112925654
Position 1544: 0.00329147953345326
Position 485: 0.003143877260379251
Position 644: 0.002008610893543122
Position 372: 0.0018548829885603514
Position 574: 0.0007186773579663988
Position 518: 0.0006824246531366108
Position 347: 0.0006634634147199466
Position 284: 0.0005311543444144549
Position 907: 0.00044281890627123307
Position 1098: 0.0003353516065992754
Position 522: 0.0002869160891198156
Position 1110: 0.0002747690313199111
Position 665: 0.0002591055012115741
Position 1521: 0.00024610330610840984
Position 948: 0.00023353297315113124
Position 466: 0.00022012259424529417
Position 1143: 0.00020701793944179087
Position 1072: 0.00019190168325292163
Position 930: 0.00018330380299278203
Position 792: 0.000153620800544984
Position 681: 0.00014651591412298122
Position 612: 0.0001450957986010273
Position 1569: 8.917822866840556e-05
Position 72: 6.261766893709346e-05
Position 123: 5.705593024597206e-05
Position 1550: 5.092764705877994e-05
Position 35: 4.9249551380292995e-05
Position 1678: 3.625284179052465e-05
Position 142: 2.4817698102485385e-05
Position 27: 2.110268788820449e-05
Position 1120: 1.4796426428640502e-05
Position 1613: 1.149322324031921e-05
Position 1645: 1.0760067293788589e-05
Position 98: 1.0439048376931384e-05
Position 1606: 1.0082054930346012e-05
Position 453: 8.160052962270935e-06
Position 1283: 7.996664280569817e-07
Position 374: 8.410130243054023e-08
Position 150: 6.786503594547397e-08
Position 295: 3.9004211102847377e-08
Position 479: 2.1442562143435982e-08
Position 263: 1.1318425321732593e-08
Position 541: 8.216966350654623e-09
Position 515: 4.9905474557264e-09
Position 506: 2.175263499745096e-09
Position 288: 2.040906632013956e-09
Position 420: 1.1275572946301066e-09
Position 560: 1.0730161074050922e-09
Position 290: 3.300613812032959e-10
Position 357: 2.622411436044052e-10
Position 359: 1.9765811645409578e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 274: 0.9337961862790286
Position 253: 0.05117709343444993
Position 548: 0.013601806667523336
Position 304: 0.005176933072022088
Position 1733: 0.0044619058664764465
Position 717: 0.0039044831378304964
Position 368: 0.0028655849674435988
Position 1304: 0.0023520395073425757
Position 1611: 0.0021284655353364205
Position 743: 0.001872863000853766
Position 1333: 0.0014803458948665369
Position 689: 0.0013614738730712615
Position 448: 0.0011772564777303778
Position 1502: 0.0007302156363133164
Position 1252: 0.0006833154616900499
Position 573: 0.0006602561435674481
Position 963: 0.0006053271812707512
Position 776: 0.0005624092403744899
Position 608: 0.0003291488741986823
Position 724: 0.00029980158151973724
Position 1272: 0.00028727108277320574
Position 433: 0.00027629118167738116
Position 1421: 0.00021758619160452484
Position 407: 0.00016706826024706184
Position 1167: 0.00016021321236966404
Position 812: 0.00015881161237454424
Position 791: 0.00012567915564738754
Position 332: 0.00011260293040028399
Position 823: 0.00010210325648376483
Position 371: 0.00010061234762800629
Position 162: 7.758009373188548e-05
Position 329: 7.632885110988948e-05
Position 881: 7.365369144768406e-05
Position 1645: 5.5404509728874615e-05
Position 1012: 5.257798176787213e-05
Position 1138: 5.225992391394067e-05
Position 198: 4.366098793041825e-05
Position 1577: 3.4624693389983505e-05
Position 1753: 2.6184291467832653e-05
Position 644: 2.4373545954028607e-05
Position 1742: 1.966897114356711e-05
Position 113: 4.536380497168366e-06
Position 142: 1.5610797910487953e-06
Position 139: 8.410953916581629e-07
Position 72: 1.009696179280086e-07
Position 213: 4.545986748853457e-08
Position 295: 2.3390335202932773e-08
Position 340: 1.2527213385478124e-09
Position 416: 5.166691237459963e-10
Position 485: 3.760548746303553e-10
Position 193: 4.705024323016261e-11
Position 223: 2.5758183028093587e-12
Position 347: 2.1941060225589573e-12
Position 195: 3.3297351394712074e-14
