Gene = ppl
index = 1847
Annotated 5SS: [322 656]
Annotated 3SS: [376 716]
SMsplice 5SS: [322 656]
SMsplice 3SS: [376 716]
top_k =  500
Partition function (log Z): 1.9777124095763925

Sorted 5' Splice Sites (High to Low Probability):
Position 656: 0.9915721488544913
Position 322: 0.9853697558183936
Position 589: 0.006855821750902686
Position 103: 0.0018025107632168233
Position 105: 0.000918697339727449
Position 804: 0.0008447923311282647
Position 153: 0.0005708618189426066
Position 871: 0.0003839199467154844
Position 577: 0.00038380885362453035
Position 98: 0.00032129871155853147
Position 436: 0.00016495632253941232
Position 565: 0.00015800796847773667
Position 877: 9.07615144786265e-05
Position 530: 6.488640203543725e-05
Position 47: 6.296021951718501e-05
Position 610: 5.2826676963673756e-05
Position 781: 3.687396060131472e-05
Position 667: 3.311156171544324e-05
Position 402: 3.243453288618028e-05
Position 24: 2.6681652959943033e-05
Position 412: 1.5901389746705757e-05
Position 547: 1.1271126353680995e-05
Position 855: 1.0860617963727986e-05
Position 107: 8.762706568904332e-06
Position 641: 8.679370786125271e-06
Position 207: 8.580852392926743e-06
Position 415: 5.9732119510299355e-06
Position 14: 3.2473442195782196e-06
Position 567: 2.5594578266893102e-06
Position 731: 1.991068183820108e-06
Position 631: 1.968302769941831e-06
Position 363: 1.470264677519608e-06
Position 109: 1.3161984227980547e-06
Position 475: 8.370714857926234e-07
Position 333: 5.101639853833454e-07
Position 186: 3.461387529626428e-07
Position 887: 3.307453565620592e-07
Position 177: 3.1683066166117965e-07
Position 406: 1.666201471447188e-07
Position 581: 1.2908862990352332e-07
Position 478: 1.066515088107996e-07
Position 480: 6.066983672992691e-08
Position 4: 4.7522666512005325e-08
Position 259: 3.1835926883387235e-08
Position 279: 2.635729680282655e-08
Position 261: 1.4068078142760555e-08
Position 129: 3.501584444190679e-09
Position 700: 8.188053196190127e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 716: 0.9977877095507068
Position 376: 0.9838480989964191
Position 177: 0.0030064974577685903
Position 730: 0.0015924618609878816
Position 858: 0.000787091711841549
Position 496: 0.0005661116462948629
Position 229: 0.0004930562248696176
Position 962: 0.0004874617968006238
Position 425: 0.00038926161386405725
Position 459: 0.0002394030800732002
Position 449: 9.210637166896029e-05
Position 439: 6.60734455401231e-05
Position 638: 6.426709297726108e-05
Position 581: 5.586971068468899e-05
Position 894: 5.538630698697263e-05
Position 101: 5.0276275628324856e-05
Position 242: 4.529916931940395e-05
Position 881: 4.19942806260713e-05
Position 402: 2.5764316103916472e-05
Position 986: 2.2615564567592755e-05
Position 436: 1.7378871441206053e-05
Position 641: 1.2298404932876997e-05
Position 284: 1.1881286982488672e-05
Position 588: 1.1881196006735026e-05
Position 654: 1.0881507552956884e-05
Position 516: 9.747313207367399e-06
Position 844: 7.625320691762048e-06
Position 742: 5.275549923459081e-06
Position 519: 4.614050711954207e-06
Position 345: 3.830789830895127e-06
Position 801: 3.60500284810275e-06
Position 254: 3.4520263401748284e-06
Position 751: 3.4326683644458152e-06
Position 609: 3.087199108720172e-06
Position 259: 2.091437489750607e-06
Position 631: 8.412903475919129e-07
Position 600: 7.785994162422305e-07
Position 462: 5.329397021377262e-07
Position 651: 5.325232785078751e-07
Position 871: 3.4178773547733566e-07
Position 315: 3.2369688842082265e-07
Position 781: 2.711694548269054e-07
Position 411: 2.1829067129759283e-07
Position 660: 1.7856047390569813e-07
Position 761: 1.6010767403585128e-07
Position 804: 1.4500531942375135e-07
Position 307: 1.4333744368395777e-07
Position 553: 9.77835269883677e-08
Position 543: 7.123113615157103e-08
Position 672: 6.696850452383756e-08
Position 560: 1.90573406296709e-08
Position 615: 7.469520490687572e-09
Position 826: 4.582579647724293e-09
Position 54: 2.6756813084260894e-09
Position 321: 2.0858485709295266e-12
Position 326: 1.5286165928469676e-12
