Gene = vri
index = 1930
Annotated 5SS: [17223 18969]
Annotated 3SS: [18620 19076]
SMsplice 5SS: [  566 18969]
SMsplice 3SS: [18620 19076]
top_k =  500
Partition function (log Z): -4.304516569513773

Sorted 5' Splice Sites (High to Low Probability):
Position 18969: 0.9992172018943114
Position 566: 0.963144474555934
Position 13324: 0.4709787210555764
Position 19649: 0.27883194158717256
Position 11801: 0.18867001274650858
Position 13521: 0.1774487569540544
Position 10502: 0.17384801807039635
Position 10808: 0.07760089445610426
Position 21373: 0.07171494942162536
Position 6493: 0.0525209419498705
Position 10918: 0.040989397858646776
Position 20949: 0.03719207660191225
Position 19484: 0.03681722990847863
Position 21099: 0.02930007535249982
Position 8810: 0.029262300262625034
Position 11796: 0.02723325539971301
Position 600: 0.020695062574935797
Position 20213: 0.012874927924493556
Position 10846: 0.012789424459296955
Position 3192: 0.009738363937154031
Position 14150: 0.0091341751323583
Position 1307: 0.008889693654190525
Position 10812: 0.008740938941613595
Position 9820: 0.007739241402043172
Position 604: 0.0075911325713453525
Position 22102: 0.0067292584946873745
Position 6076: 0.006525416307545054
Position 615: 0.006154434702506392
Position 946: 0.0059245079674813935
Position 8674: 0.005465787215985211
Position 15115: 0.0047139399279308835
Position 10814: 0.004345752029440087
Position 12488: 0.003947259197923031
Position 20773: 0.003752376806301135
Position 21391: 0.0027781881095761884
Position 13490: 0.0026156940294419354
Position 20684: 0.002567534384849146
Position 6357: 0.002543699488381111
Position 20933: 0.0024323107125524667
Position 926: 0.002106507954555843
Position 9824: 0.0019852951105146857
Position 13858: 0.001920961340774584
Position 19712: 0.001814177926435102
Position 13463: 0.0017841961318604848
Position 2115: 0.0016632731736212155
Position 6092: 0.0016265200158342861
Position 6082: 0.0015998958849726766
Position 6388: 0.0015824653096580606
Position 13450: 0.0015577044743422485
Position 4317: 0.0015215220107025545
Position 10149: 0.0015165238049651432
Position 13690: 0.001445066082765863
Position 13785: 0.0011392657468923522
Position 389: 0.0010699490649731358
Position 1148: 0.0010533050194915215
Position 6072: 0.0010417041509681521
Position 204: 0.001023849172932467
Position 9187: 0.0009783175247848684
Position 21192: 0.0006137541088439068
Position 21095: 0.0004182081577284121
Position 18975: 0.0003964776480679873
Position 19629: 0.0003461621192090662
Position 20189: 0.00032718917300396367
Position 20937: 0.00031103781252008806
Position 2814: 0.0002948771752427202
Position 19976: 0.0002291089034706957
Position 2333: 0.0002032850743436428
Position 2729: 0.00012551700901817318
Position 2818: 9.430198329434222e-05
Position 579: 6.583764557897496e-05
Position 624: 6.479672518125316e-05
Position 2796: 6.224385604955673e-05
Position 20078: 5.5157052989784e-05
Position 2835: 3.543863871649571e-05
Position 2459: 2.5416401334911846e-05
Position 3527: 1.7740875771644487e-05
Position 331: 1.5598111606736116e-05
Position 2620: 1.3398996597277926e-05
Position 1570: 9.060381140142682e-06
Position 2668: 8.629169709055384e-06
Position 827: 8.16066996392565e-06
Position 651: 8.04413945150088e-06
Position 860: 7.330946094694031e-06
Position 964: 5.912768716439975e-06
Position 456: 5.611140558915136e-06
Position 19914: 5.37579524982767e-06
Position 1753: 5.177517861249894e-06
Position 572: 3.153722442989352e-06
Position 1424: 2.6988584565080594e-06
Position 972: 2.386559680180979e-06
Position 1389: 2.1512699603551757e-06
Position 588: 1.2290165780908752e-06
Position 1048: 1.185117764593184e-06
Position 1129: 1.1652160175971026e-06
Position 69: 8.433380815082879e-07
Position 175: 8.174827284672047e-07
Position 215: 7.402676759954146e-07
Position 1035: 7.288951907599298e-07
Position 570: 6.079165610001693e-07
Position 446: 2.786259932068866e-07
Position 240: 2.268720607405388e-07
Position 1009: 2.2406009903742917e-07
Position 162: 1.9197620526359205e-07
Position 311: 1.1786801861603094e-07
Position 19209: 4.397209437784288e-08
Position 96: 3.485530504321733e-08
Position 393: 3.449854579423066e-08
Position 561: 1.778436662732633e-08
Position 118: 9.465208609091753e-09
Position 381: 5.3637859642265905e-09
Position 998: 4.170511681740545e-09
Position 116: 4.1420974536891515e-09
Position 338: 2.8788675333299818e-09
Position 106: 9.429347494233139e-11
Position 4: 8.552813199526033e-11
Position 50: 7.662284767319118e-11
Position 11: 5.98834350988743e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 18620: 0.9997737537275052
Position 19076: 0.9536619520015175
Position 10570: 0.2599186444929431
Position 13166: 0.21226347333004908
Position 13376: 0.19731775880572036
Position 21020: 0.15654368264453722
Position 10369: 0.14466511959090192
Position 21555: 0.13172139520393494
Position 21841: 0.112591178591287
Position 11173: 0.09522137784233745
Position 12421: 0.0681042085696948
Position 12881: 0.0603094031253861
Position 11871: 0.05944418628741258
Position 19032: 0.03971407997668574
Position 11921: 0.03786746600569031
Position 9636: 0.034419046748206346
Position 8598: 0.0325506287213589
Position 13049: 0.020222160001811654
Position 6443: 0.01966443988406695
Position 22272: 0.012511096888905606
Position 6141: 0.012252783479946933
Position 22168: 0.010753265584331179
Position 21257: 0.009958280129028647
Position 726: 0.009833540229728203
Position 21155: 0.009756246411725232
Position 19975: 0.00941987735978325
Position 5432: 0.008761182144588006
Position 6304: 0.008721424882612122
Position 5479: 0.008661062758786746
Position 21261: 0.008021851896202086
Position 21479: 0.0071544488179402475
Position 11195: 0.006732554176722907
Position 22221: 0.0064589605232384705
Position 19774: 0.0064516745653575005
Position 6398: 0.005535775885185888
Position 10634: 0.005416046247580042
Position 699: 0.005207701735457219
Position 12487: 0.004864660427919376
Position 9668: 0.004698969874000418
Position 2541: 0.004058415351466253
Position 21583: 0.0037020802042090854
Position 12154: 0.003700471783772855
Position 2866: 0.0024220200394729423
Position 14200: 0.002405160112282971
Position 11131: 0.0022034096280237597
