Gene = Charon
index = 1069
Annotated 5SS: [ 783 1092 1776]
Annotated 3SS: [ 891 1161 1848]
SMsplice 5SS: [ 783 1092 1776]
SMsplice 3SS: [ 891 1161 1848]
top_k =  500
Partition function (log Z): 2.873078614946178

Sorted 5' Splice Sites (High to Low Probability):
Position 1092: 0.9876904899120333
Position 783: 0.9773325435413038
Position 1776: 0.9744799947775344
Position 1989: 0.3038527922243038
Position 1394: 0.01679159909092898
Position 463: 0.010787862401207717
Position 826: 0.007366368340036813
Position 793: 0.005240664770425697
Position 806: 0.004399205276863745
Position 1780: 0.004131688360638957
Position 195: 0.0033345100498453997
Position 472: 0.0015625803024890128
Position 172: 0.0012049316559198991
Position 787: 0.0010792168821798485
Position 56: 0.001047662621457543
Position 444: 0.0006512881141526823
Position 238: 0.0004985059527238752
Position 143: 0.0004602753974789219
Position 1479: 0.0004128702197250613
Position 405: 0.00038746032753644833
Position 1096: 0.00036045683563550783
Position 1319: 0.0003406495155778701
Position 1968: 0.00032199523848579225
Position 809: 0.00028388354778693617
Position 833: 0.00027463534796745353
Position 627: 0.0001785952717231928
Position 1794: 0.00017663368055566216
Position 812: 0.0001517610236761496
Position 1636: 0.00014925454125378434
Position 267: 0.0001279657381181259
Position 255: 0.00012241708344560317
Position 74: 0.00010046870278716009
Position 604: 9.47029904296594e-05
Position 1209: 8.069546813593056e-05
Position 492: 5.90444181509181e-05
Position 750: 5.668755158428845e-05
Position 51: 3.803972611540584e-05
Position 18: 3.571429024732388e-05
Position 1502: 3.33959435141648e-05
Position 1487: 3.2738448979123e-05
Position 241: 2.6232722178762906e-05
Position 1977: 2.4810819939608744e-05
Position 332: 2.2413356062408335e-05
Position 282: 2.0737814752170676e-05
Position 1417: 1.8428887091798622e-05
Position 658: 1.700351481136592e-05
Position 476: 1.652886199552788e-05
Position 1074: 1.6318494891855095e-05
Position 1455: 1.4595743126326013e-05
Position 8: 1.26517125776896e-05
Position 44: 1.009432172493179e-05
Position 687: 9.580397036587902e-06
Position 165: 8.486001223343719e-06
Position 1129: 7.964177867634345e-06
Position 103: 7.373536537717783e-06
Position 1786: 7.1803840749461285e-06
Position 307: 6.211133114452167e-06
Position 598: 5.258535006897282e-06
Position 1925: 4.996192639230213e-06
Position 642: 4.287012965005186e-06
Position 1062: 4.116067547018053e-06
Position 24: 3.5752425089536457e-06
Position 1802: 3.2087800152781306e-06
Position 88: 3.0636798779982852e-06
Position 271: 2.598920191467081e-06
Position 53: 2.4361761581270827e-06
Position 249: 2.34209336664134e-06
Position 345: 2.189543539275617e-06
Position 483: 2.1613168803530728e-06
Position 1202: 1.467495408500569e-06
Position 994: 1.456890819682989e-06
Position 937: 1.429859780211257e-06
Position 1432: 1.3989714713771355e-06
Position 1612: 1.3278469779778702e-06
Position 231: 7.629516789424969e-07
Position 1545: 7.126043732442245e-07
Position 228: 6.632729868952417e-07
Position 1949: 5.075866009129752e-07
Position 1220: 4.787635994086709e-07
Position 1193: 4.672617735285654e-07
Position 1678: 3.6719513702279683e-07
Position 1576: 2.7622625610290355e-07
Position 1760: 2.3731905575323424e-07
Position 1805: 1.797709998259343e-07
Position 777: 1.1572658830303814e-07
Position 6: 9.141938643411633e-08
Position 690: 8.90481489400179e-08
Position 1574: 3.681088285228915e-08
Position 1647: 2.5175956956610105e-08
Position 1692: 2.4661888636178627e-08
Position 984: 1.4241272609704542e-08
Position 969: 1.6574863392829005e-10
Position 1222: 8.518635266550495e-12
Position 957: 2.833889325754996e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1848: 0.9764239187558386
Position 891: 0.9604875075029562
Position 1161: 0.9490634593374014
Position 2043: 0.3050087844386401
Position 918: 0.03803803350936928
Position 1455: 0.010524850735991142
Position 1550: 0.007602107926374976
Position 1545: 0.006819146769965898
Position 686: 0.006766344281730081
Position 1440: 0.006499151138336868
Position 1263: 0.006176405614040061
Position 1502: 0.004930634527146437
Position 1207: 0.0036849982666687297
Position 1832: 0.0030900554336773522
Position 630: 0.0025119572839237513
Position 1487: 0.002088917113654878
Position 1415: 0.0018725381206646486
Position 267: 0.0016465383040382593
Position 1213: 0.001572021626187634
Position 1581: 0.0015114778795584532
Position 573: 0.001394666636070951
Position 124: 0.0009729044132868669
Position 1516: 0.0007478862885932785
Position 653: 0.0007351395019360297
Position 297: 0.0005338991814101248
Position 627: 0.0005108089142328656
Position 895: 0.0005056981500984397
Position 1584: 0.0004848796233120741
Position 527: 0.0004276719995789225
Position 384: 0.0003887540215085422
Position 1702: 0.00030820138074932055
Position 661: 0.0002863533953209271
Position 228: 0.0002694226111879742
Position 326: 0.0002317183081937124
Position 1379: 0.00022848703960587789
Position 146: 0.00019703124462561988
Position 403: 0.00017839180565719115
Position 307: 0.0001639633092130276
Position 567: 0.00015067969458497084
Position 1425: 0.00014443082144188855
Position 1624: 0.00010363096299679135
Position 238: 9.255593255334742e-05
Position 492: 6.245197632050344e-05
Position 1824: 5.1608550889900135e-05
Position 642: 4.574890625873029e-05
Position 984: 4.521775850770987e-05
Position 215: 4.5052134387141275e-05
Position 1174: 4.3567756315665144e-05
Position 443: 3.572731502618286e-05
Position 598: 3.4556854688432616e-05
Position 241: 3.154282085245741e-05
Position 210: 3.1160087201162564e-05
Position 665: 3.0467312995723928e-05
Position 1636: 2.7842029816152638e-05
Position 1687: 2.4624268429251964e-05
Position 2019: 2.2621700626909254e-05
Position 580: 1.2825325534139016e-05
Position 1010: 1.2005426565137104e-05
Position 702: 9.893846320555395e-06
Position 341: 9.090697805678279e-06
Position 1058: 8.28953732250036e-06
Position 1895: 8.196839030797622e-06
Position 1107: 7.894276802382958e-06
Position 1561: 7.692234905957326e-06
Position 1898: 7.057980890013164e-06
Position 390: 5.81919788690739e-06
Position 1594: 5.122199829297711e-06
Position 1598: 4.9341957138580665e-06
Position 604: 3.991947370419451e-06
Position 722: 1.7256709702231872e-06
Position 586: 1.4744076900165059e-06
Position 165: 1.3743343655028254e-06
Position 191: 1.3689842757464634e-06
Position 1666: 1.3003438867534644e-06
Position 1084: 1.2659475242195717e-06
Position 194: 1.2639155256089804e-06
