Gene = Nfs1
index = 1317
Annotated 5SS: [201]
Annotated 3SS: [258]
SMsplice 5SS: [201]
SMsplice 3SS: [258]
top_k =  500
Partition function (log Z): -7.04708051390886

Sorted 5' Splice Sites (High to Low Probability):
Position 201: 0.9982391413860774
Position 614: 0.012407474292137424
Position 546: 0.00289977767610685
Position 276: 0.00253435301414159
Position 756: 0.0016817691207537504
Position 430: 0.0013952897404461639
Position 588: 0.0010062675109369082
Position 360: 0.0008794460294001334
Position 310: 0.00047245180814055234
Position 774: 0.0004011093387751444
Position 852: 0.0003964682812258849
Position 143: 0.00018154469144388927
Position 1081: 0.00017856314879116284
Position 553: 0.0001718042512562703
Position 861: 0.0001551703068185085
Position 358: 0.00013595688460863877
Position 471: 8.427059179454385e-05
Position 1174: 8.331936482488221e-05
Position 18: 5.6954276850864496e-05
Position 6: 5.377359972169844e-05
Position 562: 4.390368312822915e-05
Position 251: 3.3927379782771545e-05
Position 415: 3.100193638058115e-05
Position 1198: 2.3012876786948583e-05
Position 1470: 2.1608173340167548e-05
Position 27: 2.06813792683544e-05
Position 1460: 1.425862844537063e-05
Position 934: 1.3209117140086246e-05
Position 140: 1.266357826834658e-05
Position 443: 1.2520747541307922e-05
Position 450: 9.08673961178741e-06
Position 936: 8.467748215755809e-06
Position 1519: 8.361037064651993e-06
Position 530: 7.526096545707996e-06
Position 104: 1.1173147875039906e-06
Position 80: 1.316677320717062e-07
Position 245: 1.03210595655249e-07
Position 226: 9.737483883758421e-08
Position 255: 1.6407373101208472e-08
Position 618: 1.5760772217028828e-08
Position 634: 8.412491038301628e-09
Position 660: 5.468733503899624e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 258: 0.949601626306294
Position 642: 0.01911444255487425
Position 675: 0.012788857308547235
Position 453: 0.010087995840821953
Position 302: 0.005157226096307281
Position 704: 0.0041556477700393805
Position 275: 0.0039330803939644455
Position 441: 0.0028877218216301795
Position 1256: 0.002541265552363417
Position 335: 0.002491521060903342
Position 932: 0.001999609568486502
Position 848: 0.0016147414583320067
Position 602: 0.0012877172032388826
Position 470: 0.001201548567480043
Position 293: 0.0009925951246472688
Position 991: 0.0006241891600554496
Position 546: 0.0004928916171965536
Position 961: 0.0004658329916785323
Position 578: 0.000344292559146017
Position 1354: 0.000324105159905518
Position 1138: 0.00029682101061973064
Position 1168: 0.00021530642274022335
Position 551: 0.0002077400932288291
Position 1533: 0.00014453241885680583
Position 500: 0.00013266754347898563
Position 313: 0.00012375575167929416
Position 69: 7.06370003674678e-05
Position 660: 6.641310717145986e-05
Position 308: 5.9927709987989845e-05
Position 1273: 4.380271773133488e-05
Position 58: 2.550098614387178e-05
Position 608: 2.4092079545620378e-05
Position 581: 2.2262252969643945e-05
Position 458: 2.048301847830456e-05
Position 503: 1.890057126149744e-05
Position 80: 1.7141973727065566e-05
Position 1566: 1.413992319793889e-05
Position 731: 1.1933700971501837e-05
Position 614: 1.1466458967555178e-05
Position 49: 8.985426276749438e-06
Position 200: 8.729793062667216e-06
Position 794: 6.312654524863317e-06
Position 1561: 4.717635325128542e-06
Position 103: 4.528435859745809e-06
Position 97: 4.27469395532203e-06
Position 1587: 3.168930639404911e-06
Position 168: 1.0219970221107238e-06
Position 134: 2.2674500085789608e-07
Position 147: 1.9842359355913392e-07
Position 154: 8.127014455435049e-09
Position 650: 8.125951619796509e-09
Position 173: 5.962484964513266e-09
Position 269: 3.1414519921772003e-09
Position 185: 3.058552804978896e-09
Position 205: 2.887574486359818e-09
Position 226: 8.352579071755442e-10
Position 218: 3.225085157773319e-10
Position 271: 3.572985055020121e-15
