Gene = ste14
index = 1896
Annotated 5SS: [355 794]
Annotated 3SS: [421 921]
SMsplice 5SS: [355 794]
SMsplice 3SS: [421 921]
top_k =  500
Partition function (log Z): 3.675937095127595

Sorted 5' Splice Sites (High to Low Probability):
Position 355: 0.9978732860473921
Position 794: 0.9955510690418914
Position 1289: 0.0293613885595362
Position 1072: 0.012965513496524654
Position 1280: 0.003580807561545815
Position 461: 0.002055850682809127
Position 811: 0.001162037497344921
Position 8: 0.0008813883274596801
Position 327: 0.0007853069971274415
Position 1274: 0.0005508882844976403
Position 801: 0.0005082567880408376
Position 152: 0.0004143860555649919
Position 746: 0.00036440751733103323
Position 1011: 0.00029932712208353117
Position 1309: 0.0002968901077299529
Position 798: 0.0001878445769898248
Position 1225: 0.00016455174391707863
Position 44: 0.0001394966557063929
Position 1005: 0.0001393367608720479
Position 1147: 0.00012733170224030617
Position 1201: 9.90922046240603e-05
Position 1014: 8.355364733482742e-05
Position 185: 7.665447629751617e-05
Position 668: 5.408756088947032e-05
Position 167: 4.132984048011842e-05
Position 265: 3.1324704106093214e-05
Position 588: 2.8844748383664556e-05
Position 1239: 2.4556405835898138e-05
Position 1209: 2.2891805227274593e-05
Position 1033: 2.277364800081775e-05
Position 670: 2.0643324176477087e-05
Position 1165: 2.035535985700829e-05
Position 117: 1.3623261220064422e-05
Position 133: 1.1234417579293165e-05
Position 1105: 1.1026545504218005e-05
Position 1342: 1.0890596869274841e-05
Position 1113: 1.0861871102440614e-05
Position 1083: 8.63357126079293e-06
Position 997: 8.39752780530714e-06
Position 990: 8.252453392491594e-06
Position 359: 8.191040271378005e-06
Position 550: 7.839120369964464e-06
Position 66: 7.661549686194152e-06
Position 165: 5.935810378343003e-06
Position 710: 4.80155081053321e-06
Position 1137: 4.7298999301993295e-06
Position 465: 4.528557726436806e-06
Position 529: 4.479399868637538e-06
Position 297: 4.415399436793581e-06
Position 467: 1.4842947282432734e-06
Position 112: 1.3246055279472257e-06
Position 645: 1.294100965141914e-06
Position 473: 1.2362127423680523e-06
Position 557: 1.1421297714946108e-06
Position 1299: 1.0323382511596551e-06
Position 617: 8.280012922130181e-07
Position 685: 6.969066172034895e-07
Position 719: 6.507654468509981e-07
Position 256: 4.902290716189645e-07
Position 119: 4.800752844679037e-07
Position 232: 3.400224511245374e-07
Position 253: 3.277307862904574e-07
Position 727: 3.2347098053080355e-07
Position 267: 2.9299415179411795e-07
Position 1232: 2.858423900495608e-07
Position 287: 2.5986551751847845e-07
Position 496: 2.422087241031035e-07
Position 68: 1.500357035964501e-07
Position 217: 1.3131682882938345e-07
Position 331: 1.241309954760772e-07
Position 277: 7.098191406608677e-08
Position 422: 1.8584883520923932e-08
Position 722: 9.465218599652798e-09
Position 655: 2.9571889518463257e-09
Position 890: 1.761562393202624e-09
Position 390: 7.64659425629162e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 421: 0.9975224972192281
Position 921: 0.9843852210437748
Position 1398: 0.013829852224193516
Position 1137: 0.01375389410822272
Position 1357: 0.011321177633099717
Position 1372: 0.009104487304021603
Position 886: 0.006865633117062297
Position 927: 0.005949312434881794
Position 685: 0.00096560087991141
Position 847: 0.000637430677398525
Position 81: 0.0006313395267936764
Position 588: 0.0005934567301677435
Position 211: 0.00047172675837692154
Position 1273: 0.0003117463169205469
Position 1076: 0.0002979774055771935
Position 665: 0.00025749927116756546
Position 112: 0.0002546704880216078
Position 951: 0.00015936904310063694
Position 962: 0.00012824775913552303
Position 1404: 0.00012032667826100158
Position 84: 0.00011294467499084801
Position 240: 0.00011119495406833451
Position 1161: 0.00010929516353257278
Position 641: 4.7073982117032185e-05
Position 432: 2.2186833283007083e-05
Position 550: 2.1546024009835932e-05
Position 390: 1.9269069114184456e-05
Position 1279: 1.697820210720803e-05
Position 691: 1.4281820288043966e-05
Position 502: 8.67035636962785e-06
Position 1113: 5.492491430141307e-06
Position 264: 5.29899674944661e-06
Position 1326: 4.521911549358848e-06
Position 667: 3.997927884330349e-06
Position 87: 3.495150915580288e-06
Position 1029: 2.957634645170198e-06
Position 1314: 2.667487994985818e-06
Position 1335: 2.5128199113516934e-06
Position 1209: 1.8842395499124615e-06
Position 217: 1.7594336847710518e-06
Position 645: 1.3391942342004127e-06
Position 465: 9.338707041619168e-07
Position 770: 5.136268885421102e-07
Position 933: 4.698899375739511e-07
Position 175: 3.880673285154403e-07
Position 1288: 2.3456892562628007e-07
Position 496: 1.9857604924723654e-07
Position 758: 1.8940472151947142e-07
Position 354: 1.548372833334566e-07
Position 754: 9.800465673537463e-08
Position 126: 7.28973237471802e-08
Position 185: 5.584053940100813e-08
Position 693: 3.703879953124013e-08
Position 133: 1.769519375557473e-08
Position 1110: 4.898442556924135e-09
Position 96: 4.457641222927688e-09
Position 128: 3.7113945271314614e-09
Position 161: 3.3875050480261945e-09
Position 371: 7.559269062139567e-10
Position 253: 3.366945358349912e-10
Position 798: 3.9882159741044225e-13
