Gene = Dysb
index = 1142
Annotated 5SS: [875]
Annotated 3SS: [932]
SMsplice 5SS: [875]
SMsplice 3SS: [932]
top_k =  500
Partition function (log Z): -3.136672891783285

Sorted 5' Splice Sites (High to Low Probability):
Position 875: 0.998996278947685
Position 506: 0.0282187962278211
Position 1096: 0.00842281383560318
Position 596: 0.0076224004204508596
Position 199: 0.0029183848936801694
Position 647: 0.0021840386038885265
Position 275: 0.001657262191172154
Position 1102: 0.0009282401623995815
Position 1272: 0.0008849714129056723
Position 233: 0.000661295925047646
Position 518: 0.0002954850980370659
Position 1082: 0.000223738595090058
Position 571: 0.00018674107049141444
Position 879: 0.00015004038136233182
Position 849: 0.00014763882286212944
Position 1042: 8.801987935915609e-05
Position 1354: 4.428174282847488e-05
Position 1072: 3.7042164234142984e-05
Position 992: 3.352164833221154e-05
Position 221: 3.2459225522722224e-05
Position 160: 3.196283174566291e-05
Position 1094: 2.9733875773604954e-05
Position 645: 2.865778989598787e-05
Position 540: 2.7932262549887443e-05
Position 203: 2.773731083767558e-05
Position 660: 2.7447091196463155e-05
Position 678: 2.0507940017927178e-05
Position 1348: 1.8920124951099565e-05
Position 296: 1.4743654947847295e-05
Position 337: 8.22991995256882e-06
Position 1175: 5.539131736516657e-06
Position 365: 5.297539653836347e-06
Position 521: 4.317897374265828e-06
Position 140: 4.24695726536921e-06
Position 1266: 3.3183898412271054e-06
Position 197: 2.8286445776741257e-06
Position 79: 1.817150621392674e-06
Position 1379: 1.4703896771579135e-06
Position 371: 1.3439938149197575e-06
Position 355: 1.295421851317749e-06
Position 726: 1.045147515502828e-06
Position 111: 1.032331366892309e-06
Position 1327: 8.209924711902979e-07
Position 279: 1.9131941157381673e-07
Position 311: 1.8729982707634456e-07
Position 971: 1.485005124349159e-07
Position 282: 1.241612484548772e-07
Position 1377: 1.1139572035684755e-07
Position 1342: 7.038478663707764e-08
Position 955: 3.721425366625934e-08
Position 344: 1.0850449520235611e-08
Position 98: 4.513869815242856e-09
Position 814: 7.315815005799073e-10
Position 603: 7.659330870840778e-11
Position 974: 1.3446861393168587e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 932: 0.9951626342496354
Position 563: 0.019538126761702475
Position 768: 0.01695137117329462
Position 1194: 0.0066755185630328
Position 948: 0.004588473583156435
Position 1365: 0.0024085659279481195
Position 324: 0.001571752399015203
Position 570: 0.0009287612999359445
Position 675: 0.0008135825034112898
Position 774: 0.0007535681088769593
Position 726: 0.0005782196255476672
Position 1311: 0.000532838816305464
Position 1377: 0.0005185747333786264
Position 1272: 0.00030804195582181563
Position 609: 0.0002506298937242266
Position 1425: 0.00023668517792521475
Position 547: 0.00020334208420610072
Position 777: 0.0001583413454067982
Position 1248: 0.0001479885392069554
Position 588: 0.000142470079887519
Position 405: 9.962151320465546e-05
Position 371: 9.919710385253155e-05
Position 798: 9.53981089043385e-05
Position 402: 9.535623794459893e-05
Position 699: 9.451126000902137e-05
Position 344: 8.851212236392303e-05
Position 742: 7.39039021649571e-05
Position 780: 7.16767747188227e-05
Position 290: 6.657651096299724e-05
Position 275: 6.26014406721746e-05
Position 361: 6.111024807519225e-05
Position 287: 5.5323112998874796e-05
Position 311: 5.148706312119392e-05
Position 678: 4.833135817153359e-05
Position 735: 4.739634944525955e-05
Position 684: 4.693860271014575e-05
Position 1342: 4.031726818915737e-05
Position 747: 3.97015056320118e-05
Position 293: 3.215544614578447e-05
Position 723: 2.984885872696459e-05
Position 1327: 2.9543087227873553e-05
Position 705: 2.866140599455251e-05
Position 603: 2.2274587358867558e-05
Position 792: 2.214032087974732e-05
Position 1348: 1.444053664810921e-05
Position 447: 1.0795298310475247e-05
Position 600: 1.0377000124700515e-05
Position 1061: 1.0084809450561522e-05
Position 1212: 9.694271459658943e-06
Position 624: 9.640337744805267e-06
Position 475: 9.445027215634304e-06
Position 426: 8.870131753889804e-06
Position 621: 7.70766143592863e-06
Position 1354: 7.3560334174885135e-06
Position 810: 6.196045269539653e-06
Position 480: 3.938191052841438e-06
Position 645: 2.887082007909349e-06
Position 1094: 2.87732877623249e-06
Position 1082: 2.8533564046405864e-06
Position 521: 2.5070881516600847e-06
Position 390: 1.8177698423845272e-06
Position 337: 1.8148448347409605e-06
Position 658: 1.5289985274001142e-06
Position 438: 1.436388274194171e-06
Position 224: 1.2545027096148881e-06
Position 955: 7.71467350781915e-07
Position 296: 7.144258675635638e-07
Position 1003: 6.780813399089036e-07
Position 642: 5.092427056487049e-07
Position 983: 4.4629301803441415e-07
Position 140: 3.8545762877692354e-07
Position 492: 3.036572583435965e-07
Position 132: 2.1145212336302265e-07
Position 183: 2.0487001477885614e-07
Position 518: 1.898134986165495e-07
Position 992: 1.7959066743762113e-07
Position 195: 1.387086325992855e-07
Position 137: 1.2660632878236591e-07
Position 858: 6.57101102572604e-08
Position 129: 6.227584379161e-08
Position 221: 5.790929046776199e-10
Position 497: 4.897538789545755e-10
Position 435: 4.6382000918759656e-10
Position 967: 4.161823176714347e-10
Position 150: 3.520371035748071e-10
Position 203: 3.0181025271002333e-10
Position 299: 2.824867590205538e-10
Position 911: 2.4823177076275126e-10
