Gene = Fic
index = 1167
Annotated 5SS: [1071 1334]
Annotated 3SS: [1129 1392]
SMsplice 5SS: [1071 1334]
SMsplice 3SS: [1129 1392]
top_k =  500
Partition function (log Z): 3.291203842044493

Sorted 5' Splice Sites (High to Low Probability):
Position 1334: 0.9989150097443373
Position 1071: 0.9986483892126635
Position 257: 0.4283639723246714
Position 30: 0.026398037912278707
Position 1961: 0.003962266762707818
Position 1695: 0.002901662097513658
Position 1226: 0.002745286059708317
Position 121: 0.00239027318333345
Position 1508: 0.0017784876431499977
Position 46: 0.0014845076764563234
Position 1918: 0.0014458490072144332
Position 1224: 0.0011824670815625972
Position 1555: 0.0011328736090630285
Position 573: 0.0011091074470345062
Position 364: 0.0010889707286022914
Position 1537: 0.0010280142637901703
Position 128: 0.0008332872040700638
Position 1738: 0.0007014240202221636
Position 1530: 0.00047113545416798503
Position 1044: 0.0004494730907675037
Position 1837: 0.00044633468597181673
Position 1818: 0.0003448519205964952
Position 919: 0.00034470343833250573
Position 1063: 0.0002797013299070045
Position 1591: 0.00023924920694624706
Position 1216: 0.00022848624571857425
Position 6: 0.00021770291001699057
Position 649: 0.00019342683897366348
Position 1783: 0.00018357622832600358
Position 336: 0.00017963217230297762
Position 1853: 0.00017526068621355804
Position 144: 0.00016709726371631173
Position 37: 0.00014925938879664974
Position 435: 0.00014495445109659246
Position 669: 0.00012792872365389278
Position 34: 9.831357256028021e-05
Position 298: 9.695518274934746e-05
Position 1338: 8.836329125338664e-05
Position 1863: 6.708585037749781e-05
Position 858: 6.0903832429407234e-05
Position 1417: 5.116238856665811e-05
Position 1586: 3.60664906250211e-05
Position 1483: 3.513541375897961e-05
Position 419: 3.070006578658933e-05
Position 1292: 2.968897942310268e-05
Position 1058: 2.7174527456685934e-05
Position 1926: 2.5684800361628054e-05
Position 1312: 1.0865848707930564e-05
Position 1252: 1.00147986619499e-05
Position 484: 9.509658049254686e-06
Position 605: 8.810514368203103e-06
Position 787: 8.727032772551682e-06
Position 960: 8.210327052899253e-06
Position 1727: 7.830136600966149e-06
Position 159: 7.462763286888632e-06
Position 784: 7.409231895154022e-06
Position 108: 7.356697938407184e-06
Position 426: 7.168303015180506e-06
Position 1237: 7.0857524578279135e-06
Position 711: 6.600537966941458e-06
Position 1075: 5.62447626869835e-06
Position 1887: 5.066246884856756e-06
Position 98: 4.4102373122065e-06
Position 1717: 4.235587173732981e-06
Position 1208: 4.022401139852659e-06
Position 1099: 3.663474954958222e-06
Position 137: 2.081338629278842e-06
Position 1230: 2.036872511055782e-06
Position 1633: 1.9539959872401684e-06
Position 139: 1.857345457106661e-06
Position 1900: 1.7137485328927885e-06
Position 1173: 8.886911445977776e-07
Position 1841: 5.355205921604045e-07
Position 215: 5.214582377851144e-07
Position 985: 4.746371919065525e-07
Position 767: 1.992457645793533e-07
