Gene = Su(P)
index = 1530
Annotated 5SS: [ 837 1308]
Annotated 3SS: [ 900 1369]
SMsplice 5SS: [ 837 1308]
SMsplice 3SS: [ 900 1369]
top_k =  500
Partition function (log Z): -2.4828993400160035

Sorted 5' Splice Sites (High to Low Probability):
Position 837: 0.977535416476465
Position 1308: 0.9672769904078112
Position 592: 0.21416274974705418
Position 496: 0.05648999409136164
Position 1317: 0.01673828777731763
Position 601: 0.01657216024180233
Position 446: 0.013786345921561284
Position 583: 0.00742752859973019
Position 579: 0.002298553525321899
Position 1147: 0.001936498296531508
Position 403: 0.0013295501253691292
Position 152: 0.0012985981281118553
Position 640: 0.0012022161449028444
Position 441: 0.0005857128823984845
Position 856: 0.0005425343218372692
Position 841: 0.0004478122108605654
Position 55: 0.00043038289917058227
Position 1138: 0.0004160095238372463
Position 289: 0.0003127656614031243
Position 30: 0.00026666425169556896
Position 1433: 0.00022895790630262112
Position 1021: 0.0002028793642383994
Position 631: 0.00017668605510515946
Position 457: 0.00016838009731314963
Position 223: 0.00015634041501535337
Position 124: 0.00011898881915370764
Position 817: 9.20308066175269e-05
Position 1084: 6.396910151341395e-05
Position 1269: 6.133780484021383e-05
Position 913: 6.033811276853338e-05
Position 544: 5.855062902791094e-05
Position 535: 5.473744086771275e-05
Position 851: 3.7667521210311575e-05
Position 1061: 3.657992957769093e-05
Position 1133: 3.37897168165889e-05
Position 792: 3.107841057927685e-05
Position 1068: 2.9945450099977294e-05
Position 73: 2.645777860376233e-05
Position 468: 2.6096964012732934e-05
Position 210: 2.591555439467636e-05
Position 310: 2.5583051431759373e-05
Position 576: 2.5155690495550405e-05
Position 1221: 2.1280589465773257e-05
Position 1071: 2.020055321484507e-05
Position 424: 1.9116067605539115e-05
Position 312: 1.8654557951173434e-05
Position 889: 1.6326711554766073e-05
Position 477: 1.620289541812573e-05
Position 538: 1.5534849533152322e-05
Position 650: 1.223068407410634e-05
Position 217: 1.1420140337652089e-05
Position 1287: 1.1227920969416117e-05
Position 1028: 1.1032127530214698e-05
Position 61: 1.0385868267407106e-05
Position 1000: 1.001704110011549e-05
Position 321: 8.539056356322787e-06
Position 553: 8.107869708854798e-06
Position 330: 7.990144721280886e-06
Position 1238: 7.478523174218872e-06
Position 941: 6.574378190264436e-06
Position 479: 5.475389081378901e-06
Position 462: 5.151980424857614e-06
Position 1276: 5.139305368896257e-06
Position 16: 5.128365153257904e-06
Position 1003: 3.1688554094364216e-06
Position 1267: 2.923403023841332e-06
Position 1247: 2.8572603471153146e-06
Position 717: 2.7661910549499464e-06
Position 8: 2.762788300393302e-06
Position 89: 1.8824091656153822e-06
Position 488: 1.6614766104969101e-06
Position 1412: 1.467967644926451e-06
Position 168: 5.569201248110217e-07
Position 274: 4.984420343123014e-07
Position 1370: 4.0323798030346775e-07
Position 963: 4.0228716836522884e-07
Position 1335: 3.2643960755520866e-07
Position 1113: 3.0246270985591097e-07
Position 1330: 1.878845249216323e-07
Position 1395: 1.647325855593537e-07
Position 1419: 1.405310484487051e-07
Position 982: 1.341146822914858e-07
Position 1165: 1.2744168065941755e-07
Position 1399: 2.7336166553118626e-08
Position 102: 7.454909306475835e-09
Position 128: 2.31533717211382e-09
Position 84: 7.047518270368159e-10
Position 112: 2.345726107995954e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1369: 0.9872663221942499
Position 900: 0.9564167222139511
Position 670: 0.23646575469223866
Position 684: 0.052100845429972856
Position 564: 0.02108165163871628
Position 970: 0.017960793124647188
Position 495: 0.00414729941648662
Position 1216: 0.0013904938558024138
Position 913: 0.0012828519922001595
Position 1094: 0.0011835569278356671
Position 618: 0.0005363701818364545
Position 468: 0.00043323257170781263
Position 887: 0.000376049666252583
Position 1125: 0.0003675999245625835
Position 615: 0.0002529115226711138
Position 1491: 0.00023908193310691954
Position 100: 0.00020346816395540752
Position 544: 0.00019054080889595377
Position 121: 0.00015382406067641658
Position 921: 0.0001378801592642065
Position 1392: 0.00012894933979514152
Position 690: 0.00011309370090931738
Position 1013: 9.052617396477413e-05
Position 474: 8.784813542179229e-05
Position 1257: 6.207476747260369e-05
Position 1165: 5.9145298563086306e-05
Position 717: 5.796253316325165e-05
Position 210: 5.39696205290925e-05
Position 636: 3.92261789976153e-05
Position 989: 3.088945488128915e-05
Position 292: 2.810099779086452e-05
Position 933: 2.594811862614832e-05
Position 1137: 2.0731639611065418e-05
Position 142: 1.7913522019249373e-05
Position 1188: 1.0211074292692825e-05
Position 762: 9.86212164175912e-06
Position 918: 9.311990664512354e-06
Position 274: 8.106064169548683e-06
Position 1221: 5.264844896932436e-06
Position 591: 5.236174744175254e-06
Position 588: 5.115059586859106e-06
Position 327: 2.307585996550024e-06
Position 1099: 2.0907458144966435e-06
Position 337: 1.9568534356823067e-06
Position 1048: 1.8551577009478205e-06
Position 1407: 1.5640868441153037e-06
Position 267: 1.5590012918922803e-06
Position 650: 1.2592818739339023e-06
Position 220: 1.1800512432611913e-06
Position 813: 1.1058893360612082e-06
Position 759: 9.481268518726851e-07
Position 435: 8.013658589372567e-07
Position 355: 2.594703689702472e-07
Position 1456: 2.56768777628221e-07
Position 1419: 1.551399782030306e-07
Position 363: 9.475622384330535e-08
Position 242: 8.928736399931971e-08
Position 55: 1.4086625045166958e-09
Position 61: 1.2091825546891977e-09
Position 146: 1.1998257461252055e-09
Position 366: 3.915914236566068e-10
Position 403: 2.2967139386786558e-10
Position 372: 2.1846084416059268e-10
Position 246: 1.5817924749601337e-11
