Gene = vito
index = 1927
Annotated 5SS: [130]
Annotated 3SS: [188]
SMsplice 5SS: [130]
SMsplice 3SS: [188]
top_k =  500
Partition function (log Z): -5.9720685043766695

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.9336346441439378
Position 134: 0.06463910846073438
Position 418: 0.0017111665492325517
Position 295: 0.0011537042104298636
Position 104: 0.0010411978640483825
Position 36: 0.0004531520554471678
Position 5: 0.00035972809376958305
Position 837: 0.00031296110500174986
Position 880: 3.8037597511594126e-05
Position 872: 2.2756424131202124e-05
Position 590: 2.1228026127400916e-05
Position 412: 1.7795648899677482e-05
Position 633: 5.64667062899736e-06
Position 107: 5.160348224388642e-06
Position 427: 2.8591238444046763e-06
Position 50: 2.2583564180476006e-06
Position 27: 1.8643230748746743e-06
Position 808: 5.479884112641143e-07
Position 473: 5.390406254432487e-07
Position 468: 2.4424062650797473e-07
Position 192: 1.5846176134637192e-10
Position 200: 4.367156161151578e-11
Position 236: 2.2391649364034053e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 188: 0.9966631738992355
Position 200: 0.002468037608257546
Position 971: 0.0013105819043631919
Position 321: 0.0005047998827301221
Position 600: 0.0003994619232038728
Position 363: 0.00034861755381514317
Position 738: 0.0003092850795788059
Position 735: 0.00029327427666461987
Position 487: 0.00020368260770911578
Position 75: 0.00019375917377530263
Position 510: 0.00011634401004430127
Position 215: 8.438045919029366e-05
Position 693: 7.41059032030179e-05
Position 744: 6.761107358488981e-05
Position 720: 5.848910927225607e-05
Position 101: 3.554425755057335e-05
Position 357: 3.176491812475998e-05
Position 378: 2.6797356045650287e-05
Position 708: 2.170235258324278e-05
Position 606: 2.0373122019568968e-05
Position 741: 2.03409632262626e-05
Position 219: 1.9130240455454635e-05
Position 816: 1.4921201264722553e-05
Position 417: 1.4138186933381974e-05
Position 771: 1.2357630035305877e-05
Position 267: 1.1168500274155034e-05
Position 804: 1.0276578742388502e-05
Position 934: 7.419881084763054e-06
Position 273: 7.037676936445285e-06
Position 927: 6.316804853433425e-06
Position 291: 6.169924066965295e-06
Position 822: 5.8108510599201905e-06
Position 53: 4.851346766474627e-06
Position 831: 4.384396151309424e-06
Position 190: 3.832041227403055e-06
Position 103: 3.82593382899977e-06
Position 507: 3.036097245555758e-06
Position 121: 2.978993697312999e-06
Position 774: 2.905199929227779e-06
Position 939: 2.8531919411068303e-06
Position 551: 2.8207102086384415e-06
Position 381: 2.478718646705503e-06
Position 722: 2.386710168478381e-06
Position 759: 2.384798263270076e-06
Position 459: 2.084879731651894e-06
Position 504: 1.5460656430210237e-06
Position 891: 1.4224303965300388e-06
Position 768: 1.2135064259883873e-06
Position 147: 1.200388090715013e-06
Position 663: 1.1952230634772608e-06
Position 243: 1.028903768649412e-06
Position 423: 9.532624243561709e-07
Position 91: 8.646878515620736e-07
Position 192: 7.938963208061882e-07
Position 384: 7.799005304300744e-07
Position 354: 6.936715583921699e-07
Position 345: 6.158830229603594e-07
Position 489: 5.709609761027078e-07
Position 82: 5.369524027871154e-07
Position 828: 5.096367162328066e-07
Position 138: 4.846450827715776e-07
Position 855: 4.0247873319243265e-07
Position 756: 3.7680766084124753e-07
Position 494: 3.5213040006593324e-07
Position 369: 3.2605407192868415e-07
Position 870: 3.0703140703733805e-07
Position 624: 2.024012804818683e-07
Position 257: 2.0129452980526738e-07
Position 390: 1.7530416063840782e-07
Position 894: 1.2298312902895805e-07
Position 50: 2.572636274148151e-08
Position 300: 1.310086427080898e-10
Position 294: 8.797104807987419e-11
Position 279: 5.111753450335297e-11
Position 134: 4.9330233200350593e-11
Position 141: 1.1802931541220045e-11
Position 225: 9.747453608716175e-12
Position 372: 5.995011314879326e-13
Position 158: 3.714828142549875e-13
