Gene = mtgo
index = 1803
Annotated 5SS: [   423  14929 107897 112937]
Annotated 3SS: [ 12862 107726 112482 113007]
SMsplice 5SS: [   423 107897 112937]
SMsplice 3SS: [107726 112482 113007]
top_k =  500
Partition function (log Z): -135.65111320023928

Sorted 5' Splice Sites (High to Low Probability):
Position 423: 0.9982043267853349
Position 14929: 0.0018152799501136869
Position 74: 0.0016150710482055516
Position 15749: 0.0012408641374241464
Position 3807: 0.0004389037858667356
Position 143: 0.00025761931544668397
Position 327: 0.00011937503290820095
Position 305: 0.00011824284826001896
Position 120: 0.00010007238218926896
Position 4081: 6.675134322430152e-05
Position 178: 5.0842707207934465e-05
Position 1998: 2.2881178324456784e-05
Position 1631: 1.1158940212136954e-05
Position 1329: 4.302541611420916e-06
Position 309: 3.269249774291529e-06
Position 82: 3.105837141525982e-06
Position 961: 1.7355062243407487e-06
Position 323: 1.7219791977979607e-06
Position 1008: 1.7162936444353987e-06
Position 897: 1.6603897905291195e-06
Position 152: 9.647972468914846e-07
Position 3418: 5.104202933368015e-07
Position 159: 4.972051753976101e-07
Position 3189: 3.5495592692248615e-07
Position 1573: 3.115424412746311e-07
Position 1965: 2.28829742937995e-07
Position 1036: 2.2303382377937222e-07
Position 53: 2.021184511895561e-07
Position 2282: 1.4822481850875572e-07
Position 185: 1.4771870563013387e-07
Position 2091: 1.4407874356679392e-07
Position 188: 1.1793906413093025e-07
Position 8137: 1.1411543580322127e-07
Position 644: 1.107734546100516e-07
Position 1744: 1.0997330311539759e-07
Position 1085: 1.0659760409867559e-07
Position 1029: 9.643110760756063e-08
Position 3398: 9.612912505322741e-08
Position 8141: 9.526992196362117e-08
Position 1358: 9.009444721478744e-08
Position 101: 7.342923953732646e-08
Position 648: 7.342277319319855e-08
Position 311: 7.203157182972272e-08
Position 8523: 5.974001221393599e-08
Position 2782: 4.1491537132518874e-08
Position 8108: 3.4879611956011e-08
Position 447: 3.333130076612867e-08
Position 915: 3.1285410875179564e-08
Position 1338: 2.9257245562901923e-08
Position 192: 2.5914868293668462e-08
Position 968: 2.157053278239007e-08
Position 546: 2.1058535246505203e-08
Position 1040: 1.786589958309122e-08
Position 20: 1.704940571372519e-08
Position 255: 1.6928106235895802e-08
Position 1055: 1.4706633561320444e-08
Position 768: 1.2337952914653373e-08
Position 113: 1.127704626348193e-08
Position 684: 1.1172664130767073e-08
Position 1350: 1.053227813346797e-08
Position 652: 1.0259653920343789e-08
Position 640: 9.86795113315031e-09
Position 444: 9.62785530134835e-09
Position 773: 8.222109035351354e-09
Position 211: 7.1756527341538625e-09
Position 442: 5.259183874420603e-09
Position 598: 5.212571076875549e-09
Position 682: 4.559645138292074e-09
Position 331: 3.754531996951147e-09
Position 1034: 3.742884374936923e-09
Position 296: 3.4327214966858022e-09
Position 1188: 3.378829966380144e-09
Position 1082: 2.7990302956299226e-09
Position 89: 2.4499810288698877e-09
Position 321: 1.262295227712815e-09
Position 214: 1.1327251115625618e-09
Position 294: 7.406544403955267e-10
Position 315: 5.708712372753115e-10
Position 604: 4.903094695844764e-10
Position 633: 4.6046013551177754e-10
Position 636: 4.4448011957803564e-10
Position 313: 2.829584154437674e-10
Position 2125: 7.37350477917541e-12
Position 1969: 2.1270821955036426e-13
Position 1822: 1.8158908094204691e-13
Position 488: 1.7840501983450986e-13
Position 1590: 8.677901678695594e-14
Position 1944: 6.91632341137182e-14
Position 1690: 5.348091419255457e-14
Position 427: 3.88871912181737e-14
Position 548: 1.907431730647982e-14
Position 555: 2.120311067752218e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 22846: 0.993455819426506
Position 16057: 0.0036348618696766975
Position 15225: 0.0028610549215977673
Position 12862: 0.0017907324180587074
Position 17160: 0.0009916114372829576
Position 203: 0.0004412461514782017
Position 3674: 0.00041718222963421143
Position 13270: 0.00030353935586805304
Position 1470: 4.1997379049848466e-05
Position 2871: 3.178594782255e-05
Position 119: 2.6986585717682386e-05
Position 3730: 2.3485651666063227e-05
Position 3365: 1.66450333648695e-05
Position 255: 7.050699705519172e-06
Position 12989: 4.612266135043999e-06
Position 301: 4.57298367979082e-06
Position 3711: 3.7891296287832338e-06
Position 12729: 3.585587162490406e-06
Position 11668: 3.27954042165963e-06
Position 3369: 2.7821241713969105e-06
Position 407: 2.760507192502562e-06
Position 10894: 2.652601639165851e-06
Position 3896: 2.356389270656237e-06
Position 327: 1.8220130297732217e-06
Position 9341: 1.5439522286542276e-06
Position 8321: 1.2406874086468646e-06
Position 11605: 8.722053251186449e-07
Position 4012: 7.375211826018205e-07
Position 374: 7.244588733054057e-07
Position 252: 7.188590732113467e-07
Position 356: 6.374594029739005e-07
Position 10496: 3.1873400580329637e-07
Position 1658: 2.725786875120412e-07
Position 477: 2.5427396356159697e-07
Position 8065: 2.092249625366898e-07
Position 7770: 2.0022382637597591e-07
Position 9402: 1.0556722695696867e-07
Position 9492: 6.321383340452853e-08
Position 9265: 4.835815727978337e-08
Position 7325: 3.648414560031803e-08
Position 2200: 1.969496669880803e-08
Position 6570: 1.21086989297277e-08
Position 7707: 7.413158575242459e-09
Position 1498: 6.0881136389731864e-09
Position 4544: 5.736730752805008e-09
Position 3629: 4.668799629915122e-09
Position 2925: 3.557349388175303e-09
Position 3256: 3.4382795391173816e-09
Position 5105: 3.401730601278671e-09
Position 838: 3.3592059849381445e-09
Position 5612: 3.2496665794526836e-09
Position 3289: 2.9960008107376516e-09
Position 1216: 2.143913665735509e-09
Position 1188: 1.9971911576721736e-09
Position 4654: 1.8340807148169399e-09
Position 4743: 1.37638889988839e-09
Position 553: 1.1349413686262002e-09
Position 602: 8.239103183545089e-10
Position 4495: 7.852741123644015e-10
Position 5836: 6.629476278358152e-10
Position 1884: 5.651873871333169e-10
Position 4361: 5.35912475093482e-10
Position 1033: 4.277527610267359e-10
Position 5162: 3.0353992747613967e-10
