Gene = Ilp4
index = 1227
Annotated 5SS: [316]
Annotated 3SS: [376]
SMsplice 5SS: [316]
SMsplice 3SS: [376]
top_k =  500
Partition function (log Z): -4.6226198768561595

Sorted 5' Splice Sites (High to Low Probability):
Position 316: 0.9991565866203288
Position 790: 0.003170501424557731
Position 462: 0.0004884190757592215
Position 326: 0.00048267561368973993
Position 500: 0.0002860791800628157
Position 531: 0.00018848304004458815
Position 410: 0.00015110690106729185
Position 796: 0.00012163457065442051
Position 113: 0.00011702785583904142
Position 270: 0.00010138976834421395
Position 673: 9.035537939319326e-05
Position 313: 7.362444227210717e-05
Position 320: 7.211072566997681e-05
Position 705: 2.572529328035244e-05
Position 57: 1.8560585247419024e-05
Position 514: 1.297242689581601e-05
Position 239: 9.41587297159808e-06
Position 564: 9.414148643068808e-06
Position 37: 9.088633143794758e-06
Position 566: 8.28037043736045e-06
Position 816: 7.303051750567572e-06
Position 279: 6.220582130530089e-06
Position 521: 4.741373307780322e-06
Position 300: 3.662483020078576e-06
Position 394: 3.4517202739266194e-06
Position 206: 3.064498966687231e-06
Position 378: 1.7642355844058214e-06
Position 277: 1.6834327493560564e-06
Position 707: 1.2230421861927943e-06
Position 298: 7.674238968507234e-07
Position 133: 4.874487034247338e-07
Position 502: 1.3827105243897116e-07
Position 198: 1.0319159334874462e-07
Position 11: 5.182452962831197e-08
Position 219: 1.7254173269742694e-08
Position 200: 3.9751080312431024e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 376: 0.9555808406284373
Position 828: 0.015353268023893607
Position 420: 0.009599772616881134
Position 414: 0.008441778012643984
Position 858: 0.006436716846893037
Position 384: 0.004666693096048269
Position 423: 0.0016975455833369503
Position 444: 0.0010689011427725801
Position 392: 0.000619736687093345
Position 855: 0.0005934213445800524
Position 673: 0.00014733970295711024
Position 651: 0.00013530429498860246
Position 471: 3.8252184333182005e-05
Position 861: 3.375209116495643e-05
Position 658: 3.3290073918222666e-05
Position 163: 3.134866893110665e-05
Position 461: 2.706754296721157e-05
Position 215: 2.466691586574937e-05
Position 206: 2.4171761956538252e-05
Position 117: 1.8328035843257942e-05
Position 679: 1.2173285764595084e-05
Position 741: 1.1750197047604683e-05
Position 622: 1.0382755985567686e-05
Position 498: 7.897581209859524e-06
Position 474: 3.2563642562969314e-06
Position 304: 3.0678917234017986e-06
Position 468: 1.4565482757471532e-06
Position 843: 1.2560847914389224e-06
Position 576: 8.841331428520349e-07
Position 148: 7.476983903468906e-07
Position 531: 5.395716889073805e-07
Position 224: 5.26000580127654e-07
Position 495: 4.6686104431943816e-07
Position 573: 4.0608793748190694e-07
Position 521: 2.493450941433507e-07
Position 236: 2.3686243947942954e-07
Position 139: 1.4551924925101673e-07
Position 260: 1.353799839794045e-07
Position 83: 1.2463085124041078e-07
Position 91: 9.605016123069733e-08
Position 94: 3.387020666555199e-08
Position 699: 3.2136523692928645e-08
Position 313: 2.8451442509646244e-08
Position 310: 2.789923088101741e-08
Position 145: 8.291521907802633e-09
Position 67: 3.740906842136787e-09
Position 57: 9.652949208054095e-10
Position 74: 8.569802520564328e-10
Position 76: 8.527191721535473e-10
Position 85: 5.410882467600494e-10
Position 54: 3.672868131843753e-10
Position 133: 3.765517154759177e-11
Position 63: 3.3919745809674995e-11
Position 248: 4.408858108850582e-12
Position 154: 3.673564636619774e-12
Position 119: 1.3605998889821427e-12
Position 400: 1.7242803869728742e-13
Position 394: 1.6260819948690086e-13
Position 320: 5.304476198853972e-14
