Gene = dgt2
index = 1669
Annotated 5SS: [320]
Annotated 3SS: [376]
SMsplice 5SS: [320 620 837]
SMsplice 3SS: [376 696 904]
top_k =  500
Partition function (log Z): -5.4181495934607655

Sorted 5' Splice Sites (High to Low Probability):
Position 620: 0.7441302161470245
Position 320: 0.6747115976834777
Position 837: 0.46497147107846176
Position 430: 0.43538647468264485
Position 862: 0.15305419283817806
Position 313: 0.10833255634657143
Position 855: 0.07488261218436701
Position 302: 0.008913440662636085
Position 799: 0.001768435164168572
Position 328: 0.0013948421296336843
Position 604: 0.0009041735693069098
Position 62: 0.0007648291716474232
Position 166: 0.0006784650254990491
Position 211: 0.0006158644471009615
Position 892: 0.000243179166868687
Position 590: 0.00017708898142241458
Position 624: 0.00013179283008259558
Position 227: 5.7068427347878964e-05
Position 906: 4.7881274415958054e-05
Position 14: 4.364247163183134e-05
Position 335: 3.7958659123683054e-05
Position 3: 3.219744363058293e-05
Position 269: 3.0202700891067647e-05
Position 434: 2.810065437618763e-05
Position 351: 2.1464269106025884e-05
Position 8: 1.3818357924428218e-05
Position 909: 1.18031573050295e-05
Position 377: 9.88892300477467e-06
Position 444: 9.124231787930091e-06
Position 781: 6.605363617487756e-06
Position 256: 6.037076228419205e-06
Position 486: 5.354733769984733e-06
Position 184: 4.470715768814941e-06
Position 669: 3.360622758328343e-06
Position 712: 5.449930506344389e-07
Position 395: 7.915066832724106e-08
Position 507: 6.902755581185926e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 376: 0.7819266352729176
Position 696: 0.6402258043683365
Position 494: 0.43426641247274084
Position 904: 0.4036442717897212
Position 918: 0.17330213671865227
Position 933: 0.09894929282814979
Position 959: 0.0722071294127741
Position 669: 0.02756611023577812
Position 727: 0.017910389498187407
Position 724: 0.009830737574591037
Position 702: 0.0034876369203637567
Position 779: 0.002923751967059465
Position 968: 0.0015020208504431308
Position 528: 0.0011013055887068358
Position 130: 0.0007522660722061685
Position 426: 0.0004433799996078328
Position 555: 0.00023276391023908992
Position 269: 0.00016708195291857306
Position 395: 0.00012930996835836775
Position 351: 0.00012243580570187368
Position 1005: 0.00012226992632900937
Position 531: 9.212001980685493e-05
Position 348: 9.207613594736372e-05
Position 1034: 8.730748709775759e-05
Position 1008: 8.600992791646523e-05
Position 72: 6.648089061967764e-05
Position 756: 5.3067011034751806e-05
Position 642: 4.1454924035801434e-05
Position 981: 1.834641260104618e-05
Position 392: 1.3266778168091369e-05
Position 504: 1.2304644187610149e-05
Position 558: 1.1057472646032378e-05
Position 242: 1.0984077338849463e-05
Position 870: 1.087784841876093e-05
Position 386: 1.0725374098920505e-05
Position 624: 4.524048010490332e-06
Position 639: 2.583340958634234e-06
Position 156: 1.300715696537053e-06
Position 1016: 1.0303847225243098e-06
Position 507: 1.0016904047120695e-06
Position 227: 7.756197112592908e-07
Position 542: 1.0347463213766712e-07
Position 162: 1.0252178618772456e-07
Position 294: 6.821569915473226e-08
Position 573: 2.9370582068501263e-08
Position 165: 1.8461334528806917e-08
Position 312: 1.8203671063109556e-08
Position 306: 1.6552388634778534e-08
Position 288: 1.061910112284214e-08
Position 174: 9.114688613853471e-09
Position 335: 8.645483745151701e-09
Position 576: 8.417457870032089e-09
Position 200: 4.056136735130375e-09
Position 184: 3.36711311455282e-09
Position 323: 1.2019561705007629e-09
Position 244: 1.1928965217047087e-09
Position 309: 6.413119449434122e-10
Position 180: 2.427938700442759e-10
Position 298: 2.0140833280182037e-12
Position 195: 1.4785560344788257e-15
