Gene = bur
index = 1636
Annotated 5SS: [ 354 2113 2479 3013 3175 3677 3943 4404 4651]
Annotated 3SS: [2004 2173 2711 3077 3306 3749 4001 4458 4707]
SMsplice 5SS: [ 354 2113 2479 3013 3175 3677 3943 4404 4651]
SMsplice 3SS: [2004 2173 2711 3077 3306 3749 4001 4458 4707]
top_k =  500
Partition function (log Z): 25.645876564128372

Sorted 5' Splice Sites (High to Low Probability):
Position 4651: 0.9981879896548704
Position 4404: 0.9973698277390323
Position 2113: 0.9941749974808979
Position 3677: 0.9851005765776575
Position 3013: 0.983900340774426
Position 2479: 0.9656183145599935
Position 3175: 0.8580089007108894
Position 354: 0.6726622777582366
Position 3947: 0.5285493762007447
Position 1782: 0.43472246678934773
Position 3970: 0.26469890009789315
Position 1501: 0.2557184284529329
Position 2767: 0.1734595398003663
Position 1647: 0.14717695947086956
Position 3246: 0.06947014730484165
Position 203: 0.05467765830720252
Position 592: 0.05219712763737021
Position 1786: 0.03941308341381815
Position 1614: 0.03369930027610879
Position 3165: 0.021176437923697763
Position 1953: 0.020531569881408904
Position 3519: 0.019283258645906826
Position 199: 0.017153710272881574
Position 2833: 0.01619253473732016
Position 3502: 0.016057160783175137
Position 1035: 0.01316363840073115
Position 5106: 0.012583023927285338
Position 3621: 0.008937435124822292
Position 5134: 0.007320368325778571
Position 1488: 0.007053468497896418
Position 4174: 0.005836970598693773
Position 3007: 0.00557459830985028
Position 1955: 0.005160385545357794
Position 207: 0.005114315434281002
Position 3531: 0.00448037703794191
Position 3183: 0.004381539510355208
Position 2607: 0.004184741673895616
Position 4290: 0.003422434523985493
Position 3691: 0.003205427704161662
Position 2595: 0.0030947015360532817
Position 2189: 0.0029669031587148376
Position 3964: 0.002829059094845762
Position 2184: 0.002608760041358306
Position 598: 0.0024712753509673617
Position 286: 0.0021626796601770426
Position 3998: 0.0019598878870663965
Position 2103: 0.0019520026931802686
Position 2992: 0.001874350696252731
Position 666: 0.0017749236024510845
Position 2984: 0.0017294744851547052
Position 3137: 0.0017124222206612257
Position 5390: 0.0015979945135830603
Position 4764: 0.0014708734912170834
Position 4655: 0.0014026948865915553
Position 1433: 0.0013465431623569328
Position 2913: 0.001342915859857195
Position 1121: 0.0013145594496308905
Position 1268: 0.0013079564898554937
Position 891: 0.0011467888970207354
Position 5084: 0.0011152142483572113
Position 588: 0.000978191186050516
Position 2851: 0.0009778951946106743
Position 1907: 0.0009757532835286961
Position 201: 0.0008710544102730573
Position 3463: 0.0008072595268953936
Position 1278: 0.0007972854520885008
Position 2869: 0.0007171448671172718
Position 3108: 0.0006845709747884261
Position 2600: 0.0006494373499603797
Position 4813: 0.0005652892812633153
Position 4068: 0.0005368265439843163
