Gene = haf
index = 1721
Annotated 5SS: [   77  1787 45697 46784 47529 48501 49208 49757 50357]
Annotated 3SS: [ 1703 45486 45832 47192 47814 49068 49631 49969 51260]
SMsplice 5SS: [  625 26646 28371 45697 46784 47529 48501 49208 49757]
SMsplice 3SS: [25701 27783 45486 45832 46884 47814 49068 49631 51260]
top_k =  500
Partition function (log Z): -45.2078504441788

Sorted 5' Splice Sites (High to Low Probability):
Position 26646: 0.7059979545807861
Position 1787: 0.5604622051033689
Position 625: 0.5196969120664815
Position 77: 0.38769553688939556
Position 1360: 0.0893417450345796
Position 1320: 0.07706406170276545
Position 1338: 0.05264905926049105
Position 618: 0.03403233200999228
Position 81: 0.017101305175747455
Position 83: 0.013151046867127113
Position 713: 0.005114931597294645
Position 967: 0.00435479736793134
Position 792: 0.0025529972787983763
Position 335: 0.0021901523088590745
Position 874: 0.0021447927720101077
Position 908: 0.0015865679310268026
Position 108: 0.0012033276088781319
Position 568: 0.0010815315034702567
Position 85: 0.0009921430021416061
Position 314: 0.0006885357514984366
Position 87: 0.0004972761038675305
Position 711: 0.00034669208834230516
Position 582: 0.00020238037945476372
Position 864: 0.00019076802247230973
Position 988: 0.0001804495563905561
Position 97: 0.0001271663668740172
Position 1596: 0.00012205636768901461
Position 218: 0.00010974356024200803
Position 803: 8.761638638552626e-05
Position 368: 8.585853125463373e-05
Position 504: 5.110628417065214e-05
Position 849: 4.773763496695623e-05
Position 1041: 4.630885571066367e-05
Position 442: 4.528016077508989e-05
Position 445: 1.903957466445176e-05
Position 106: 1.8721731003197602e-05
Position 259: 1.223963803756807e-05
Position 201: 9.896860426301329e-06
Position 421: 9.782953483400496e-06
Position 99: 8.176535274919379e-06
Position 756: 7.840024712834587e-06
Position 112: 6.602906158359633e-06
Position 294: 5.381778087675259e-06
Position 9: 4.3398569197300855e-06
Position 337: 4.173281357439171e-06
Position 114: 2.4814440836471006e-06
Position 32: 2.179486028685129e-06
Position 299: 1.7391989515950984e-06
Position 402: 1.5196552696600005e-06
Position 724: 1.364334963420159e-06
Position 448: 1.0420862123216386e-06
Position 41: 9.361534634911544e-07
Position 451: 3.950560597702931e-07
Position 270: 3.6885673356353313e-07
Position 454: 1.9217600000653e-07
Position 409: 1.0568833534304023e-07
Position 457: 9.519114861347844e-08
Position 213: 8.74234403264047e-08
Position 471: 3.708859419613893e-08
Position 436: 2.1199815898528903e-08
Position 822: 1.0211074635214373e-08
Position 3819: 6.981413345225845e-09
Position 11608: 2.7362863266225896e-09
Position 7882: 1.9189497231059014e-09
Position 7094: 1.8221071062886736e-09
Position 3435: 8.389276019100323e-10
Position 1926: 6.538414169154826e-10
Position 2525: 4.0714312085790225e-10
Position 6765: 3.561804102752379e-10
