Gene = Rpb8
index = 1455
Annotated 5SS: [185]
Annotated 3SS: [255]
SMsplice 5SS: [185]
SMsplice 3SS: [255]
top_k =  500
Partition function (log Z): -5.174541982460683

Sorted 5' Splice Sites (High to Low Probability):
Position 185: 0.9759463456338259
Position 192: 0.023951930822131016
Position 680: 0.0004149602710000854
Position 527: 6.97215243124903e-05
Position 666: 6.014816132815321e-05
Position 158: 4.464114933308248e-05
Position 196: 3.2989172200668884e-05
Position 76: 1.4940463766386855e-05
Position 323: 8.800025997196787e-06
Position 482: 8.708094507251866e-06
Position 294: 8.461220374835097e-06
Position 536: 7.658471734425785e-06
Position 637: 5.966697993452983e-06
Position 353: 3.5523070441927174e-06
Position 425: 2.663482061619189e-06
Position 463: 1.9000735636282733e-06
Position 112: 1.036851820311726e-06
Position 531: 1.0119829051341454e-06
Position 333: 5.442292150503814e-07
Position 435: 4.246533337976395e-07
Position 66: 3.2629310552524945e-07
Position 362: 2.2675008900734906e-07
Position 331: 1.747229179542948e-07
Position 359: 1.1534705034240611e-07
Position 255: 4.748807716324429e-08
Position 270: 3.7449904691595596e-08
Position 395: 1.601526082325222e-08
Position 605: 7.811237676916702e-09
Position 603: 1.5977953183192331e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 255: 0.9988739010367116
Position 744: 0.0005206648929932169
Position 227: 0.0004956925381487908
Position 299: 0.0004531553891696027
Position 314: 7.923728337854692e-05
Position 635: 4.888850602100849e-05
Position 281: 2.811311252285516e-05
Position 553: 2.77651874903109e-05
Position 368: 1.987258974310674e-05
Position 413: 1.1917235845428627e-05
Position 270: 5.636705908855581e-06
Position 323: 4.867397253358298e-06
Position 148: 4.694051226791812e-06
Position 750: 4.640085294797071e-06
Position 475: 2.2860001158606807e-06
Position 174: 1.7411353037671831e-06
Position 545: 1.545419072076509e-06
Position 359: 6.143508005709523e-07
Position 122: 5.556356740194532e-07
Position 425: 3.174911632513339e-07
Position 503: 3.0825746146062614e-07
Position 695: 2.1897012858463524e-07
Position 497: 1.7293555243733266e-07
Position 581: 1.5430071465932314e-07
Position 112: 1.2276773928755907e-07
Position 674: 7.805877879667787e-08
Position 353: 4.8788921881373105e-08
Position 665: 4.5840782551355335e-08
Position 520: 3.5691861469165844e-08
Position 458: 1.6254281841047218e-08
Position 184: 1.557975333059074e-08
Position 527: 1.4349249596218463e-08
Position 482: 1.2912749173776691e-08
Position 570: 7.97783860301065e-09
Position 189: 3.422931014911752e-11
Position 205: 6.453417634184083e-15
