Gene = comm3
index = 1654
Annotated 5SS: [13581 15865]
Annotated 3SS: [14957 33739]
SMsplice 5SS: [563]
SMsplice 3SS: [33739]
top_k =  500
Partition function (log Z): -13.123555618564934

Sorted 5' Splice Sites (High to Low Probability):
Position 563: 0.9999999999997121
Position 8835: 4.849393765033261e-10
Position 15865: 4.399625809235882e-10
Position 792: 2.4684823579393765e-10
Position 1868: 1.6487267956563634e-10
Position 8981: 7.499966796179925e-11
Position 8110: 1.766708479960931e-11
Position 2720: 9.99265833901966e-12
Position 768: 9.739080215844069e-12
Position 5193: 8.897035619250854e-12
Position 1330: 7.992132022146771e-12
Position 1872: 5.3440431850600435e-12
Position 57: 2.9569859347669742e-12
Position 95: 1.239174058227918e-12
Position 128: 7.693206274024144e-13
Position 163: 6.768528994222301e-13
Position 80: 4.668318942768637e-13
Position 100: 3.936072524252675e-13
Position 9699: 1.7277319509923993e-13
Position 132: 4.3561986934356494e-14
Position 9479: 3.076328503859766e-14
Position 9061: 2.2690239434661722e-14
Position 518: 1.8573907946470278e-14
Position 322: 1.3234352974758576e-14
Position 6423: 1.0269690521063757e-14
Position 576: 9.336742846598495e-15
Position 7618: 6.248740089225342e-15
Position 448: 4.6710452642597e-15
Position 4793: 4.607678160975298e-15
Position 178: 4.050181966659679e-15
Position 30: 3.83262562551365e-15
Position 49: 2.792396809215601e-15
Position 3: 2.769808685491723e-15
Position 61: 2.095976456432963e-15
Position 160: 1.6671552547153742e-15
Position 206: 1.355007758033341e-15
Position 454: 1.0334603878470603e-15
Position 567: 9.615915363475368e-16
Position 2423: 9.46371104969968e-16
Position 6549: 8.518247319902225e-16
Position 6431: 8.204030844842896e-16
Position 196: 6.268828913951593e-16
Position 123: 5.178817659622426e-16
Position 169: 4.194400802264139e-16
Position 167: 4.091910463661076e-16
Position 35: 3.529015187358434e-16
Position 2277: 3.4673720638218104e-16
Position 5168: 3.1712959297102127e-16
Position 209: 2.399322752242163e-16
Position 199: 2.0083023688782e-16
Position 438: 1.857007662423332e-16
Position 1622: 1.782214058019771e-16
Position 992: 1.306365704579828e-16
Position 328: 1.207130864994851e-16
Position 2104: 8.970230501876621e-17
Position 7: 8.73106435093759e-17
Position 15: 8.122997309760159e-17
Position 1646: 5.708388908142053e-17
Position 385: 5.5297442711641333e-17
Position 229: 5.3803953874492257e-17
Position 854: 4.8528408224623845e-17
Position 2065: 4.5073030555631314e-17
Position 2281: 4.4919675285613964e-17
Position 461: 3.967444369856403e-17
Position 536: 3.742794918086844e-17
Position 5597: 3.4006688995623344e-17
Position 5588: 3.375377449088086e-17
Position 1632: 3.272287496833144e-17
Position 2372: 3.244426692060692e-17
Position 67: 2.78779319025628e-17
Position 376: 2.787654924064867e-17
Position 973: 2.7389159362049412e-17
Position 2137: 2.545749970571324e-17
Position 1337: 2.3497712718163232e-17
Position 920: 2.3325390082037555e-17
Position 456: 2.0062696549782167e-17
Position 985: 1.4575076525798216e-17
Position 1889: 1.2624393789898597e-17
Position 443: 1.0939064904882356e-17
Position 1857: 1.0126379338060766e-17
Position 2207: 1.0002576540441649e-17
Position 2017: 9.374286233142182e-18
Position 477: 9.366783804501169e-18
Position 1215: 8.008226213285089e-18
Position 1634: 6.9025873518991e-18
Position 1070: 6.768221720984084e-18
Position 1811: 6.6483704433000544e-18
Position 1636: 6.288206146166438e-18
Position 2836: 5.3243509729751145e-18
