Gene = Wnk
index = 1602
Annotated 5SS: [  375   904  2725  3129  6020  6208  8374  9051 10185 10370 10603]
Annotated 3SS: [  747  1334  2955  3189  6075  7539  8630  9124 10304 10430 10659]
SMsplice 5SS: [  904  2725  3129  3525  8374  9051 10185 10370 10603]
SMsplice 3SS: [ 1334  2955  3189  7539  8630  9124 10304 10430 10659]
top_k =  500
Partition function (log Z): 15.010293761894175

Sorted 5' Splice Sites (High to Low Probability):
Position 904: 0.9989822347578444
Position 10185: 0.9883535494517315
Position 10370: 0.9610294348836922
Position 10603: 0.9444482952212914
Position 3129: 0.9397817694994881
Position 8374: 0.9361982282414584
Position 2725: 0.8264748681926428
Position 6020: 0.7526732296216142
Position 6208: 0.6860695220126214
Position 3525: 0.5955444083432999
Position 6846: 0.5741315825534484
Position 8814: 0.34720208940544567
Position 590: 0.23869352250542306
Position 1291: 0.185980881829076
Position 548: 0.1626052961602267
Position 9884: 0.11754200211319703
Position 363: 0.10707161014364189
Position 375: 0.09732738631705234
Position 6700: 0.09625427226408474
Position 3470: 0.09295495701873625
Position 9308: 0.08259755770838595
Position 8850: 0.058396538487355286
Position 100: 0.05693622758319518
Position 3135: 0.050872322091262745
Position 6327: 0.033135649453714736
Position 9065: 0.03243789984318257
Position 3439: 0.03114696801615664
Position 3560: 0.02021994129253315
Position 2712: 0.018862078907484474
Position 6424: 0.018726532105281146
Position 8406: 0.014119657011389876
Position 2573: 0.012799975026541864
Position 140: 0.012586920991124994
Position 2905: 0.01197405210477761
Position 3411: 0.011886187984484172
Position 3460: 0.011332854196112241
Position 7313: 0.008842770478553443
Position 8766: 0.008543743503326786
Position 6535: 0.008143583192115193
Position 1613: 0.007959796490896252
Position 3464: 0.006415675983370319
Position 1060: 0.005006182686347219
Position 3224: 0.004942194531661994
Position 594: 0.004241671560993825
Position 7662: 0.0040663313917930185
Position 6872: 0.0038332745996112827
Position 9497: 0.0035949008005294013
Position 1196: 0.002665700103368911
Position 1762: 0.00255928130058644
Position 18: 0.0025291063280453415
Position 3865: 0.002379606138024243
Position 1282: 0.002291577297395671
Position 8534: 0.0020971774302865225
Position 3631: 0.002057556401954557
Position 674: 0.0019935659814747497
Position 8944: 0.0019248343363823584
Position 8673: 0.0019064016070674092
Position 465: 0.0016590120929726132
Position 254: 0.0015683475506296828
Position 1890: 0.0014349823047520248
Position 3596: 0.0013832632887652355
Position 2631: 0.0013438346685853047
Position 8743: 0.0012957673091245313
Position 8188: 0.001105625583747858
Position 8902: 0.0010630343235863854
Position 3162: 0.001025110073008302
Position 1285: 0.0008675071955286739
Position 3300: 0.0008173959953895363
Position 379: 0.0007578243585836357
Position 1400: 0.0007038693150268973
Position 2869: 0.000703761849994246
Position 6307: 0.0006233879481567126
Position 3611: 0.000607892788433355
Position 3342: 0.0006057030767797481
Position 3088: 0.0005767311612490042
Position 1035: 0.0005245117037803664
Position 4050: 0.0005196369379582669
Position 3312: 0.0004879620285940911
Position 1147: 0.00045175722633773887
Position 10427: 0.00042626310883229807
Position 1267: 0.000400964123033983
Position 596: 0.00038635982274259526
Position 2374: 0.0003792080503390824
Position 873: 0.0003609152034462195
Position 434: 0.00033673846987071205
Position 1253: 0.00026735830712595556
Position 1067: 0.0002611475509261121
Position 10580: 0.00024676606730193273
Position 1389: 0.00024283987331968622
Position 483: 0.00024190215541498197
Position 1064: 0.00023724968905440073
Position 10179: 0.00021852059755488195
Position 1756: 0.00020534732952787277
Position 3708: 0.00019992533849285012
Position 1966: 0.00019895873427148268
Position 2066: 0.00018460190523124904
Position 1085: 0.0001720501890561888
Position 2353: 0.00016086767165982338
