Gene = OS9
index = 1341
Annotated 5SS: [91]
Annotated 3SS: [149]
SMsplice 5SS: [91]
SMsplice 3SS: [149]
top_k =  500
Partition function (log Z): -4.967997641180623

Sorted 5' Splice Sites (High to Low Probability):
Position 91: 0.9910225507582272
Position 713: 0.26302909308144046
Position 668: 0.03414926110641146
Position 216: 0.009814820843905826
Position 459: 0.004924307389267109
Position 489: 0.00448732049661296
Position 612: 0.0024488858237923165
Position 555: 0.0023520839866191107
Position 590: 0.0018245105082911064
Position 723: 0.0010848193114391875
Position 648: 0.0005384684435436728
Position 586: 0.0005010423982403518
Position 620: 0.0004199301727133071
Position 543: 0.0004017043202596449
Position 258: 0.0004003101230847151
Position 706: 0.00030560784425108647
Position 578: 0.00028811638373447745
Position 330: 1.987220280483265e-05
Position 179: 1.4635714482243514e-05
Position 246: 1.3873929153416273e-05
Position 759: 1.283858579298095e-05
Position 70: 8.157718856572055e-06
Position 192: 7.4286080817095446e-06
Position 194: 6.364726064249844e-06
Position 3: 5.9107245284843386e-06
Position 462: 3.839022213875684e-06
Position 465: 1.0352945764249925e-06
Position 751: 6.600627238476598e-07
Position 24: 3.0375815405420094e-07
Position 64: 3.2840020901050854e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 149: 0.8871574302305035
Position 775: 0.32123007060233855
Position 426: 0.030863625797701435
Position 156: 0.024857982829541
Position 222: 0.018830558034522726
Position 179: 0.012681215879982395
Position 546: 0.009919931515832838
Position 743: 0.0063102563721994225
Position 313: 0.003313760146970036
Position 236: 0.0006104790563034665
Position 299: 0.0004422594577942717
Position 192: 0.00028768133506984527
Position 829: 0.00027382661109651786
Position 805: 0.0002146277485189534
Position 482: 0.00018904249724229646
Position 713: 0.00018235775837353174
Position 379: 0.00016041992499732258
Position 723: 0.0001369765552256915
Position 430: 0.000136964072874767
Position 802: 9.307845966835638e-05
Position 470: 5.5372938034402437e-05
Position 586: 3.670507154204507e-05
Position 323: 3.1731881354840406e-05
Position 450: 2.8676649586226868e-05
Position 551: 2.022771304791652e-05
Position 64: 5.732141885390016e-06
Position 751: 4.882295061380743e-06
Position 635: 3.9565341652360675e-06
Position 132: 2.8552892982625306e-06
Position 506: 1.8015923120668263e-06
Position 371: 1.250719424656017e-06
Position 435: 1.2199446364483249e-06
Position 598: 6.530923661361003e-07
Position 812: 1.2519833653883165e-07
Position 73: 3.6752364482951195e-08
Position 84: 1.1811251604103082e-08
Position 103: 9.350889895058886e-10
Position 269: 2.1748809832403517e-10
Position 554: 1.906075699890847e-10
Position 409: 1.1878990888839057e-10
Position 317: 1.0456096406298076e-10
Position 398: 9.789056990770607e-11
Position 95: 3.4244269377423296e-12
Position 386: 1.2747957144237615e-14
