Gene = Tg
index = 1557
Annotated 5SS: [  479 15079]
Annotated 3SS: [13111 15142]
SMsplice 5SS: [  479 15079]
SMsplice 3SS: [13111 15142]
top_k =  500
Partition function (log Z): -3.9538639460136022

Sorted 5' Splice Sites (High to Low Probability):
Position 15079: 0.9985647336484148
Position 479: 0.96143968672995
Position 1699: 0.2860544920442969
Position 7932: 0.12327574457991718
Position 15356: 0.08086399670627115
Position 8184: 0.057051928411455545
Position 9815: 0.056053226180735015
Position 239: 0.051700717493836465
Position 3870: 0.036081660873166055
Position 9875: 0.025132411975789352
Position 3024: 0.01393206458716998
Position 4493: 0.012390679438611827
Position 8300: 0.012231198423141396
Position 2825: 0.00707456771298629
Position 319: 0.005582254760904822
Position 12372: 0.004769610787830312
Position 1047: 0.004574483321854917
Position 1456: 0.003809370703004549
Position 268: 0.00352976987278589
Position 5871: 0.0032841049975800966
Position 8864: 0.002525662344533846
Position 15380: 0.00233137289409301
Position 7285: 0.002181740241457064
Position 15408: 0.0018911992134319482
Position 7231: 0.0014131949089131587
Position 286: 0.0013373033888058623
Position 7767: 0.0011756934492969835
Position 15387: 0.0011529677192944601
Position 775: 0.0010988308488064367
Position 1023: 0.0006606046093774391
Position 2415: 0.0005998102774109049
Position 2361: 0.0005253106150285904
Position 15390: 0.00045922567136463365
Position 15398: 0.00045240062952402996
Position 1415: 0.0004511344119875637
Position 3559: 0.0002388215220777592
Position 143: 0.00016551113805646307
Position 2419: 0.00016336688456755754
Position 750: 0.00012679974735400128
Position 1510: 0.00012259944465022827
Position 165: 0.00010948985134748179
Position 170: 0.00010057874282882169
Position 1747: 8.328017631031311e-05
Position 540: 7.180043612630637e-05
Position 483: 7.033817768216337e-05
Position 2401: 6.482557053723682e-05
Position 1656: 6.322817124441298e-05
Position 119: 6.317713896284504e-05
Position 197: 5.8567288550636825e-05
Position 849: 5.83179886729771e-05
Position 3000: 4.743188249644343e-05
Position 548: 4.683074071026257e-05
Position 323: 4.524098477323438e-05
Position 65: 4.40150287583819e-05
Position 1384: 3.6736651986772746e-05
Position 15405: 3.202062454269246e-05
Position 3762: 3.0211185233043184e-05
Position 1548: 2.802639996827803e-05
Position 773: 2.6875219897765323e-05
Position 13738: 2.490294869214866e-05
Position 4077: 2.4408874190974483e-05
Position 619: 2.3114698317968168e-05
Position 178: 2.1077959531678537e-05
Position 422: 2.0463022857981835e-05
Position 1370: 2.010174219806223e-05
Position 1727: 1.6664936661567855e-05
Position 656: 1.6250509056505294e-05
Position 15220: 1.2593306392364253e-05
Position 2579: 7.540084290166751e-06
Position 650: 6.3733068685008145e-06
Position 609: 5.431281775482925e-06
Position 321: 4.2924711808846e-06
Position 884: 4.108069252425892e-06
Position 16: 3.9668212824851404e-06
Position 2075: 3.363674088596116e-06
Position 326: 3.130050502769995e-06
Position 712: 2.7423113141084665e-06
Position 77: 2.2294485516971524e-06
Position 14183: 1.740588742108698e-06
Position 886: 1.3549284902836914e-06
Position 3: 1.1034887544931953e-06
Position 1172: 2.5781777368390884e-07
Position 369: 1.858772769926003e-07
Position 344: 6.99188163890605e-08
Position 679: 5.697663114204847e-08
Position 566: 3.321228853102956e-08
Position 689: 2.7615804448548674e-08
Position 389: 2.1161842753978183e-08
Position 411: 6.307424898673697e-09
Position 384: 3.268348343630279e-09
Position 387: 3.011164806906458e-09
Position 3338: 2.63898440567461e-12
Position 2298: 4.91508590453801e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 15142: 0.9941346926331899
Position 13111: 0.9620031270379836
Position 7656: 0.15245882154145768
Position 15460: 0.08722957594870165
Position 1548: 0.06726610768883061
Position 9637: 0.06308864048812457
Position 773: 0.05826410230220065
Position 2681: 0.046870937812128234
Position 846: 0.041976377275926034
Position 14055: 0.03154270905576862
Position 708: 0.028383008750051987
Position 369: 0.02114673868269052
Position 1615: 0.02058846825357777
Position 814: 0.020104782358480452
Position 7814: 0.017729537992293886
Position 326: 0.015431241786604369
Position 8749: 0.014810927865849945
Position 7687: 0.012552749192759696
Position 555: 0.012088787500589024
Position 4418: 0.0087158885922962
Position 1476: 0.00786788168309342
Position 1443: 0.007656503863248387
Position 3086: 0.005749640381834316
