Gene = vsg
index = 1931
Annotated 5SS: [ 76 300]
Annotated 3SS: [ 181 1422]
SMsplice 5SS: [300]
SMsplice 3SS: [1419]
top_k =  500
Partition function (log Z): -6.297121646807483

Sorted 5' Splice Sites (High to Low Probability):
Position 300: 0.9796887520307282
Position 131: 0.4216980600647924
Position 2388: 0.22368903586168118
Position 2680: 0.11706529149084861
Position 2135: 0.10628376362122184
Position 76: 0.10325374557953
Position 2585: 0.07587464996138485
Position 1991: 0.03370199786612765
Position 2377: 0.03218151419504013
Position 2609: 0.024794016413021053
Position 72: 0.011637110526306931
Position 2263: 0.010869999592859897
Position 108: 0.00793948915305599
Position 2320: 0.006640973315658492
Position 681: 0.005715080884879771
Position 2633: 0.0055165298485695315
Position 456: 0.005245122748230434
Position 2123: 0.004728890515206462
Position 478: 0.004637312681516484
Position 2258: 0.003588494048232353
Position 1358: 0.003319741278551272
Position 137: 0.003210045665993452
Position 460: 0.001799716125228955
Position 921: 0.0013446235235114311
Position 2649: 0.0012049000894038785
Position 111: 0.0009379589355616035
Position 634: 0.0008831217157741754
Position 1291: 0.0008049329429533702
Position 638: 0.0006473433196647762
Position 2674: 0.00043421354740647315
Position 2077: 0.00042349963235323686
Position 1366: 0.0004110370149593461
Position 2018: 0.000308696745464917
Position 1347: 0.00030724809686775
Position 1317: 0.00028815059870554443
Position 412: 0.0002427090553182932
Position 1500: 0.00019879745297742503
Position 464: 0.00019144803755118738
Position 162: 0.00018642186349700573
Position 1279: 0.0001618488106570881
Position 482: 0.0001456794345245415
Position 1250: 0.00014450982832162233
Position 770: 0.00014395944470317149
Position 484: 9.194398470322723e-05
Position 1986: 7.71874808438177e-05
Position 37: 7.663689450386181e-05
Position 1777: 6.837581031474459e-05
Position 24: 5.3886493675473546e-05
Position 289: 3.648251169114451e-05
Position 462: 2.410467335701124e-05
Position 689: 2.106652001173406e-05
Position 35: 1.892533554218915e-05
Position 5: 1.8632161039078323e-05
Position 1045: 1.6638827297678692e-05
Position 494: 1.5812575018437536e-05
Position 962: 1.0638221955580067e-05
Position 975: 8.805603370927233e-06
Position 957: 7.454389083415212e-06
Position 1139: 5.120592695947316e-06
Position 1150: 4.726140456788962e-06
Position 266: 2.9534807050752817e-06
Position 500: 2.5122802009280036e-06
Position 660: 2.2714135277431766e-06
Position 1002: 2.0870578807470195e-06
Position 1043: 1.7867080736887527e-06
Position 1054: 1.7317197071176678e-06
Position 1089: 1.5721075678016644e-06
Position 435: 1.2429635578655595e-06
Position 304: 1.1285591203891962e-06
Position 30: 1.11971941988383e-06
Position 1095: 7.572352403977483e-07
Position 32: 7.457182866838438e-07
Position 703: 2.426362734580363e-07
Position 716: 2.093295640260784e-07
Position 486: 1.0455489049307247e-07
Position 466: 8.432181301049728e-08
Position 439: 1.7545910604500533e-08
Position 468: 1.117528405453237e-08
Position 204: 9.828801802550234e-09
Position 446: 6.860540755223377e-09
Position 256: 6.0428767198787155e-09
Position 213: 3.338932614089341e-09
Position 198: 3.1087722488817756e-09
Position 488: 2.7664354945491474e-09
Position 416: 2.4230620071109304e-09
Position 418: 2.0758608102501713e-09
Position 195: 1.7459681359395423e-09
Position 952: 7.941851240630045e-10
Position 404: 5.035911075216723e-10
Position 574: 3.545551815556175e-10
Position 437: 6.982113537854244e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1419: 0.6100481189258881
Position 181: 0.5471190443043881
Position 2452: 0.40400919651222605
Position 2765: 0.34578341064879536
Position 1422: 0.1916405668474463
Position 841: 0.05336485039749305
Position 782: 0.009876361636584738
Position 2428: 0.00926387269124597
Position 2238: 0.007512571448900516
Position 2189: 0.004995708168148652
Position 2690: 0.0019078194623562514
Position 343: 0.001888927673927999
Position 603: 0.0017760634125233766
Position 2935: 0.0017610304491601269
Position 2460: 0.0017205878998894275
Position 3112: 0.0015493683963503438
Position 1605: 0.001502820395610987
Position 1386: 0.0012045273829728194
Position 2958: 0.0008977886394828128
Position 1366: 0.0006752068185047304
Position 1440: 0.0006243976659343646
Position 2800: 0.0005455783940373776
Position 128: 0.0004305052265087768
Position 1289: 0.0004043310592180577
Position 3186: 0.0003836955274889455
Position 2914: 0.0003778256842906047
Position 2363: 0.00035362549146722476
Position 1206: 0.0002255374591220494
Position 1845: 0.0002112083635416022
Position 211: 0.00018952864132762876
Position 238: 0.0001209045922986282
Position 587: 0.00011159167145608032
Position 724: 0.0001086718315638571
Position 1609: 7.637435774456689e-05
Position 1583: 7.08578816292718e-05
Position 2253: 6.226718682755555e-05
Position 614: 5.7755836810453774e-05
Position 1457: 5.383871156766332e-05
Position 1466: 5.00107799514997e-05
Position 1215: 4.260759290088738e-05
Position 921: 3.35502792669555e-05
Position 634: 1.955914637375564e-05
Position 791: 1.047819656964327e-05
Position 204: 4.431999227043988e-06
Position 1941: 5.017422962709741e-07
Position 108: 8.337511058889982e-09
Position 296: 3.5236660121830185e-09
Position 299: 9.013149570067994e-10
Position 91: 2.1009890087204655e-11
Position 80: 1.164421313987085e-14
