Gene = hale
index = 1722
Annotated 5SS: [314]
Annotated 3SS: [372]
SMsplice 5SS: [314]
SMsplice 3SS: [372]
top_k =  500
Partition function (log Z): -4.984069564869605

Sorted 5' Splice Sites (High to Low Probability):
Position 314: 0.9881799904035491
Position 489: 0.47351683598044947
Position 989: 0.01790572301616928
Position 307: 0.007915609271348883
Position 504: 0.0036757596484705483
Position 723: 0.0022859185290807645
Position 994: 0.0011636292567510568
Position 877: 0.0010811704748392437
Position 785: 0.0010471832023396545
Position 976: 0.0005966301952212925
Position 462: 0.0005823487932298959
Position 510: 0.0003739399780597525
Position 58: 0.00021988948995982938
Position 258: 0.00016582911894820514
Position 498: 0.0001374733163991586
Position 516: 9.539558877087959e-05
Position 872: 9.404114526556228e-05
Position 112: 7.31087144014498e-05
Position 342: 5.8573886042034335e-05
Position 775: 4.52346842470583e-05
Position 251: 3.0115608159397918e-05
Position 585: 2.2367745366971074e-05
Position 1017: 2.2239184880941507e-05
Position 764: 2.1833950547418367e-05
Position 936: 2.0675492102312934e-05
Position 281: 1.0554113725852306e-05
Position 137: 1.022492727669344e-05
Position 748: 6.8118197899207894e-06
Position 166: 6.597698807540708e-06
Position 931: 5.912650043530995e-06
Position 447: 5.380538327092928e-06
Position 37: 4.4361499885240595e-06
Position 79: 2.4419412570268026e-06
Position 298: 1.8090635137384012e-06
Position 296: 1.3945403099815337e-06
Position 3: 1.3420950002415989e-06
Position 25: 1.215420577508244e-06
Position 1343: 1.1153593725785247e-06
Position 661: 7.028086706424992e-07
Position 288: 4.4125137860544447e-07
Position 76: 3.729859199442477e-07
Position 86: 3.1177390501480526e-07
Position 740: 2.925999414765064e-07
Position 203: 2.7202707374441417e-07
Position 714: 2.686122427156888e-07
Position 386: 2.5156895031615174e-07
Position 588: 2.3659981539901497e-07
Position 597: 2.0654532085454327e-07
Position 240: 7.877848672703173e-08
Position 454: 7.043939830863367e-08
Position 179: 3.9400638244432295e-08
Position 95: 3.058954329865543e-08
Position 62: 2.3671587188804854e-08
Position 212: 1.1619025003986952e-08
Position 49: 7.276985895230596e-09
Position 227: 7.005107371666527e-09
Position 583: 1.1110702582320544e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 372: 0.9704124128352809
Position 556: 0.25454058335784907
Position 570: 0.18020505169600165
Position 844: 0.03384032662664017
Position 1052: 0.021044252467873562
Position 1070: 0.008227552549642235
Position 753: 0.00544072684013024
Position 1112: 0.004821389492719984
Position 625: 0.004167247759759072
Position 865: 0.00238094488289502
Position 593: 0.0021598008463031685
Position 583: 0.0019577890332445466
Position 973: 0.0016563157638110118
Position 444: 0.0012245383459529627
Position 474: 0.0010464065500439665
Position 805: 0.0008651085401346752
Position 823: 0.0007562068534411699
Position 764: 0.0007552505386762771
Position 454: 0.000720563375009727
Position 652: 0.0006350175250013398
Position 736: 0.0006106289968382612
Position 714: 0.0005209891526281858
Position 949: 0.00036027693086151713
Position 993: 0.00021082369188678838
Position 639: 0.00019833629929032743
Position 853: 0.000119642415932113
Position 1001: 8.233506147137991e-05
Position 107: 8.195421902535036e-05
Position 179: 6.872941638483639e-05
Position 691: 4.746627583001943e-05
Position 197: 4.64671603755884e-05
Position 820: 2.9160206860459912e-05
Position 671: 2.3916269309854903e-05
Position 185: 2.3632875618036496e-05
Position 146: 2.243579745008285e-05
Position 877: 1.5125983971878998e-05
Position 484: 1.1620594437078537e-05
Position 1017: 1.0521086933413964e-05
Position 1432: 9.44348607921569e-06
Position 958: 9.107179244098538e-06
Position 1206: 7.725551671440378e-06
Position 1279: 5.647240783132752e-06
Position 203: 5.406880612364498e-06
Position 674: 5.2951674396116745e-06
Position 251: 3.4485181752695315e-06
Position 84: 3.1104646736659553e-06
Position 62: 1.106321237854316e-06
Position 342: 1.0746707012491526e-06
Position 257: 8.230041283813134e-07
Position 86: 3.6336045931926595e-07
Position 303: 1.350764705297394e-07
Position 92: 1.3385012667167379e-07
Position 313: 8.5221822185727e-09
Position 494: 8.417356922598002e-10
Position 488: 7.785942660610255e-10
Position 109: 2.3461140231984003e-10
Position 305: 9.633009950912945e-11
Position 296: 5.777629353189114e-11
Position 116: 3.910228811098493e-11
