Gene = Hakai
index = 1206
Annotated 5SS: [ 468 1119]
Annotated 3SS: [ 570 1188]
SMsplice 5SS: [ 468 1119]
SMsplice 3SS: [ 597 1188]
top_k =  500
Partition function (log Z): -3.5590649057483468

Sorted 5' Splice Sites (High to Low Probability):
Position 468: 0.9982695666347838
Position 1126: 0.4767151344463792
Position 699: 0.21351923459891517
Position 1123: 0.01456999266249076
Position 720: 0.0024324847837981405
Position 1087: 0.0019169636908363482
Position 1083: 0.0014169423971675187
Position 815: 0.0003584239623280407
Position 801: 0.0003310756032263833
Position 1286: 0.0002604668087445848
Position 1277: 0.00025450896325092723
Position 752: 0.00022864575219191862
Position 1295: 0.00017075968929562745
Position 864: 0.00015774118260523506
Position 492: 0.0001500431139741224
Position 505: 0.0001345045223381312
Position 946: 0.00012657346338144327
Position 1777: 0.00011055386630687919
Position 472: 9.719401946817821e-05
Position 1729: 9.032463019209217e-05
Position 369: 7.267457910514042e-05
Position 1100: 5.224630942542474e-05
Position 1556: 5.1335460570251285e-05
Position 543: 4.725039691615695e-05
Position 1464: 4.069941471235545e-05
Position 905: 3.055735033632709e-05
Position 686: 2.2166817222060925e-05
Position 897: 2.2141781838344585e-05
Position 771: 2.028869542084574e-05
Position 1720: 1.9236745558215012e-05
Position 1470: 1.844762572885448e-05
Position 1040: 1.8189266711113195e-05
Position 440: 1.4807081788871805e-05
Position 1767: 1.4413351372004493e-05
Position 1019: 1.2939042700878721e-05
Position 428: 1.1370786558804488e-05
Position 841: 9.957176473247826e-06
Position 452: 8.783513943954186e-06
Position 899: 2.5535525407261243e-06
Position 922: 2.4901493655288017e-06
Position 873: 1.065622770721423e-06
Position 1775: 1.0648663534497338e-06
Position 883: 9.712207762054238e-07
Position 495: 5.757869875287256e-07
Position 267: 5.432791501959853e-07
Position 91: 2.797407462756089e-07
Position 119: 2.4960082881164777e-07
Position 249: 2.3843531723717824e-07
Position 299: 1.9956170519364906e-07
Position 97: 1.1449332666511852e-07
Position 383: 4.439395984907869e-08
Position 189: 4.003882445160283e-08
Position 186: 2.7784160993920015e-08
Position 144: 2.4345166824468457e-08
Position 171: 9.833862236383544e-09
Position 1298: 1.158402460447802e-09
Position 1474: 7.190249081596353e-10
Position 999: 4.125438980696504e-10
Position 1273: 3.161642604013181e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 597: 0.907626105725388
Position 1188: 0.6722060579237891
Position 977: 0.04241427688021719
Position 558: 0.03897477427783325
Position 570: 0.013548111567062295
Position 1025: 0.006082366583872021
Position 815: 0.0056583646105192505
Position 752: 0.004564657588092986
Position 1010: 0.004512239312927753
Position 1031: 0.002670509194592018
Position 1520: 0.00242962191212576
Position 1404: 0.002409684601104251
Position 994: 0.001675471900310427
Position 1312: 0.0014143769794630072
Position 629: 0.0008074889341106232
Position 881: 0.0006161747956032874
Position 1289: 0.00045839859726331915
Position 608: 0.0003643117782219957
Position 797: 0.00034359214432491843
Position 1618: 0.0003159622296986825
Position 1824: 0.00031595781102082234
Position 1298: 0.000284557704570643
Position 839: 0.00025053501074019164
Position 922: 0.00023888622143391575
Position 1382: 0.0002369909482710782
Position 1499: 0.00022448830200451844
Position 949: 0.00021845405840675852
Position 863: 0.0002175492929840863
Position 1037: 0.00015779527895433166
Position 1807: 0.00010927772903443219
Position 761: 7.647035975987175e-05
Position 1058: 6.99957134411902e-05
Position 698: 5.6396200131041297e-05
Position 719: 4.6949802978634486e-05
Position 1464: 3.339883293653994e-05
Position 1416: 2.6841686893790602e-05
Position 1496: 2.5160380395147022e-05
Position 1449: 2.4399336491346917e-05
Position 934: 2.3392666117298387e-05
Position 1786: 1.901158911746063e-05
Position 686: 1.2833035209396155e-05
Position 1446: 1.263943784863444e-05
Position 878: 1.0360575303527623e-05
Position 1567: 6.435849298431031e-06
Position 1112: 5.2063499602342525e-06
Position 841: 3.3590231326933757e-06
Position 1148: 3.2041282621759366e-06
Position 421: 3.0709840753314794e-06
Position 427: 2.0039472302411003e-06
Position 307: 2.981434661475508e-07
Position 436: 2.470698661721795e-07
Position 213: 1.3788057444802395e-07
Position 293: 1.3016192586846425e-07
Position 668: 3.063359208296797e-08
Position 501: 2.9376241867039358e-08
Position 377: 2.8385366174250748e-08
Position 246: 2.0041526809163093e-08
Position 230: 9.211401513615151e-09
Position 210: 7.959203458565212e-09
Position 153: 7.599407063844701e-09
Position 267: 3.887148363945935e-09
Position 319: 3.424783940674059e-09
Position 310: 3.237006840684688e-09
Position 352: 2.82420520898483e-09
Position 393: 2.4387140904638374e-09
Position 505: 7.742367167055973e-10
Position 410: 7.36342188731826e-10
Position 243: 6.893422975565714e-10
Position 440: 4.1401773308774296e-10
Position 196: 2.9802240115457473e-10
Position 380: 2.650423087338623e-10
Position 254: 1.1626448736743609e-10
Position 276: 1.1192863401114636e-10
Position 262: 2.1094262492882566e-11
Position 355: 2.97603490540492e-12
Position 179: 2.200777700797075e-12
Position 140: 1.0820361176431698e-12
Position 468: 4.714142948323188e-13
Position 716: 5.943899972515562e-14
