Gene = ND-B14.5B
index = 1299
Annotated 5SS: [321 544]
Annotated 3SS: [399 598]
SMsplice 5SS: [321 544]
SMsplice 3SS: [399 598]
top_k =  500
Partition function (log Z): 2.784677548676128

Sorted 5' Splice Sites (High to Low Probability):
Position 544: 0.9982225529009788
Position 321: 0.9582851687293469
Position 303: 0.039206106889900914
Position 10: 0.0012548608690111283
Position 126: 0.0011841514202913914
Position 710: 0.0005770649354961677
Position 349: 0.00036147609814019183
Position 8: 0.00032592530687490994
Position 537: 0.00023307857416893015
Position 344: 0.00020652048308148654
Position 686: 0.00019149029209119736
Position 817: 0.00015622424822991983
Position 823: 0.0001451998531390587
Position 689: 6.394118760306342e-05
Position 548: 6.09494206432653e-05
Position 759: 4.404498799575076e-05
Position 258: 2.7308156765753397e-05
Position 629: 2.2826380910573535e-05
Position 311: 2.2740499161988408e-05
Position 14: 1.8248077674026328e-05
Position 640: 1.4688743744594151e-05
Position 146: 1.164160982240118e-05
Position 269: 1.004329100759603e-05
Position 649: 8.89019613318672e-06
Position 634: 8.089585026375002e-06
Position 325: 5.178476531060212e-06
Position 70: 4.946117551213666e-06
Position 45: 3.7296553539173407e-06
Position 130: 2.1548198769232737e-06
Position 109: 1.7192910011834174e-06
Position 75: 1.0743685588794897e-06
Position 100: 9.47653553161218e-07
Position 619: 5.695792319367961e-07
Position 668: 4.1984516750785505e-07
Position 313: 4.014138302383767e-07
Position 665: 3.816554502341213e-07
Position 473: 3.7171907750077036e-07
Position 495: 1.4465936238481839e-07
Position 173: 1.081350586009761e-07
Position 168: 8.011176049142074e-08
Position 58: 3.4541026706896435e-08
Position 391: 8.026603025931113e-09
Position 358: 7.808038846130189e-09
Position 435: 3.9161164763189085e-09
Position 260: 2.0894352327175747e-09
Position 582: 1.7438354958643938e-09
Position 364: 1.0424546580883873e-21

Sorted 3' Splice Sites (High to Low Probability):
Position 598: 0.997801068469199
Position 399: 0.9968049829272563
Position 70: 0.0012760567267782392
Position 407: 0.001081013227926124
Position 205: 0.000972428471483962
Position 774: 0.000696420203154807
Position 802: 0.0006396909529586694
Position 873: 0.000491634617179152
Position 93: 0.0002538413938657528
Position 410: 0.00016544828267183018
Position 444: 0.0001606363396724301
Position 606: 0.00010161838352454872
Position 464: 6.712937528967362e-05
Position 168: 3.772453629293933e-05
Position 461: 3.0448377886989543e-05
Position 75: 3.0258588120663075e-05
Position 847: 2.3804123692316234e-05
Position 130: 2.3353555967054605e-05
Position 736: 9.45486497365811e-06
Position 619: 5.536651068352206e-06
Position 487: 4.6534723010416094e-06
Position 701: 4.177990124518316e-06
Position 542: 1.4985457200332913e-06
Position 109: 1.3257463143979218e-06
Position 689: 7.781254372737025e-07
Position 640: 1.771380374115637e-07
Position 426: 9.834747026340005e-08
Position 649: 7.17595911828756e-08
Position 307: 5.936691442661759e-08
Position 447: 5.690224865897167e-08
Position 627: 4.149011202648522e-08
Position 686: 1.0601331509740619e-08
Position 325: 9.890378761133425e-09
Position 629: 3.315841398915328e-09
Position 548: 2.375373460243955e-09
Position 473: 1.8650960491483486e-09
Position 466: 6.814559976326967e-10
Position 98: 5.015804585179283e-10
Position 217: 1.7750309043126162e-10
Position 100: 1.870553721869243e-12
