Gene = KdelR
index = 1243
Annotated 5SS: [122]
Annotated 3SS: [188]
SMsplice 5SS: [122]
SMsplice 3SS: [188]
top_k =  500
Partition function (log Z): -8.181799640763433

Sorted 5' Splice Sites (High to Low Probability):
Position 122: 0.5049824463441557
Position 117: 0.46016062297575644
Position 1663: 0.10597734661358871
Position 517: 0.03549123977015242
Position 449: 0.018000214627884217
Position 108: 0.01255172787194822
Position 790: 0.009184531480950628
Position 476: 0.00646811613737634
Position 1251: 0.0030909756673868816
Position 695: 0.0030480133600614737
Position 1086: 0.0028062859778697495
Position 1457: 0.0027817212765973496
Position 467: 0.0016682294902950574
Position 1165: 0.001644062965516932
Position 853: 0.0009024387946955386
Position 257: 0.0008594146204225259
Position 1452: 0.0008260410969709326
Position 995: 0.0008030810732696405
Position 1520: 0.0007522162112217996
Position 265: 0.0005531522736643925
Position 1375: 0.0004194167327007749
Position 1152: 0.00040686220190876577
Position 1174: 0.00025455449467657817
Position 410: 0.0002355571563616709
Position 1341: 0.00023174737211016042
Position 797: 0.00023132357830802904
Position 605: 0.0002258887119147039
Position 1427: 0.00022212182394506125
Position 508: 0.0002155765886502474
Position 1122: 0.00019419155194041148
Position 1422: 0.00019179668268022395
Position 457: 0.00015726785725078275
Position 989: 0.00015209654591841258
Position 1033: 0.00011764749859018804
Position 49: 0.00010433478942541276
Position 132: 9.438952358809537e-05
Position 626: 9.058122739539649e-05
Position 498: 8.741806117251723e-05
Position 521: 5.805179553463703e-05
Position 224: 4.6902992693388685e-05
Position 165: 3.8092506165673754e-05
Position 493: 3.685365936116844e-05
Position 88: 3.615514098797521e-05
Position 191: 3.5579955438815195e-05
Position 948: 3.3274058021697785e-05
Position 782: 3.2391886850521956e-05
Position 754: 2.6534552961397588e-05
Position 1040: 2.466028422675331e-05
Position 506: 2.4030054965679854e-05
Position 581: 2.36180437290279e-05
Position 1083: 2.218806243931519e-05
Position 526: 2.0161551968334018e-05
Position 586: 1.9450228657506915e-05
Position 1021: 1.6629401724778578e-05
Position 478: 1.4565936869806826e-05
Position 388: 1.2116981581570239e-05
Position 320: 1.1961628020864045e-05
Position 367: 1.141447484532353e-05
Position 887: 1.1047112930395966e-05
Position 407: 9.68868099865634e-06
Position 938: 8.185557801950448e-06
Position 1327: 7.69360259739895e-06
Position 619: 6.8053850152220315e-06
Position 27: 1.253997684202174e-06
Position 21: 7.120113008477377e-07
Position 836: 1.3035696248216273e-07
Position 322: 9.157668183847418e-08
Position 481: 8.874957781323517e-08
Position 635: 2.6280283479254258e-08
Position 436: 1.046857927568628e-08
Position 400: 1.030022258001347e-08
Position 313: 1.9749399578299273e-09
Position 200: 1.780052697017331e-09
Position 195: 2.308536179719782e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 188: 0.9696395790525016
Position 1719: 0.14178400464359
Position 1508: 0.024345543809381694
Position 526: 0.007939922582985903
Position 1618: 0.005530964297197311
Position 1452: 0.005405472953530579
Position 208: 0.0035244059429662845
Position 887: 0.0027633008883474956
Position 1214: 0.0027585911291460544
Position 1569: 0.0027022575866896994
Position 532: 0.002439934314614545
Position 1390: 0.002125835478871565
Position 1739: 0.0020411696789511356
Position 165: 0.0013980753674935028
Position 349: 0.0003674245665111204
Position 1327: 0.0003446120129453075
Position 1251: 0.0003264235559917678
Position 685: 0.00022742903864413061
Position 895: 0.00021738764137799608
Position 214: 0.00021469162878725288
Position 1366: 0.00012557229803496605
Position 1122: 0.00012396891207357196
Position 695: 9.901519519025995e-05
Position 844: 9.259351531759808e-05
Position 702: 6.349384382823753e-05
Position 729: 5.938112762180369e-05
Position 394: 4.7021941401938665e-05
Position 993: 3.0816831895826345e-05
Position 252: 2.4268726434270497e-05
Position 240: 1.1795721994590739e-05
Position 277: 1.9357269596571772e-08
Position 358: 1.8248963032985063e-08
Position 100: 1.2421446565707745e-08
Position 129: 9.960158498497744e-09
Position 388: 8.33436201646322e-09
Position 220: 5.353573507440111e-09
Position 260: 3.631861313015885e-09
Position 475: 4.931332060287849e-10
Position 227: 2.0391232355089128e-10
Position 108: 1.5734512772384455e-12
Position 70: 1.095000406096477e-12
Position 224: 1.3413711790288577e-13
Position 257: 4.712092445014547e-14
