Gene = dbr
index = 1665
Annotated 5SS: [ 131  522 1026 1281 1542 4068]
Annotated 3SS: [ 193  906 1086 1409 1602 4124]
SMsplice 5SS: [1026 1281 1542 1905 4068]
SMsplice 3SS: [1086 1409 1602 3876 4124]
top_k =  500
Partition function (log Z): -5.069478759702689

Sorted 5' Splice Sites (High to Low Probability):
Position 4068: 0.9771067481561867
Position 1542: 0.8899390751609103
Position 1905: 0.5717386271669455
Position 1281: 0.3518464653724749
Position 1026: 0.30384224148051026
Position 131: 0.21514795242917917
Position 522: 0.15402934219130276
Position 372: 0.148421633947368
Position 1219: 0.14558756954239158
Position 466: 0.11472367873805168
Position 74: 0.06223882512611453
Position 515: 0.03788916688196562
Position 2204: 0.034722605668046816
Position 2173: 0.031861379509934666
Position 992: 0.026481949999482543
Position 2715: 0.024483769761698186
Position 1534: 0.022050488043502462
Position 47: 0.016997895380282204
Position 123: 0.01670076421470792
Position 1852: 0.014095292001562834
Position 493: 0.013143683385189339
Position 4388: 0.012800332037396125
Position 487: 0.01235564807461916
Position 1988: 0.008992896773607865
Position 997: 0.0080397104180821
Position 509: 0.006655902371024935
Position 489: 0.006034977062338429
Position 2887: 0.005352212162370417
Position 4501: 0.005307159735260258
Position 857: 0.004358795976450915
Position 999: 0.004085774159991662
Position 673: 0.0034018966224295235
Position 3010: 0.0032202007716514297
Position 995: 0.003209146398120671
Position 4347: 0.0029800331779027242
Position 435: 0.0026546179725588513
Position 2708: 0.002591424598980575
Position 1212: 0.0021388930888948596
Position 2278: 0.001973999035357283
Position 1285: 0.001916243788793659
Position 4653: 0.001794740699818803
Position 135: 0.0014176270375248828
Position 1209: 0.0013889082772883003
Position 2225: 0.0013316940278862736
Position 656: 0.0011934432777731844
Position 660: 0.0011826594758939425
Position 152: 0.0011282849399798815
Position 1464: 0.0009224725279626345
Position 528: 0.0007650622402067447
Position 461: 0.000727883591160621
Position 630: 0.0006945355227064286
Position 186: 0.0006647637483383154
Position 4325: 0.000629323455759543
Position 1514: 0.000596060288817054
Position 599: 0.0005082086223416004
Position 66: 0.00041998871972603327
Position 2038: 0.00030118328753508684
Position 297: 0.0002919475113565756
Position 2143: 0.00029075697534623653
Position 1512: 0.00015809769366102174
Position 961: 0.00015234482547331408
Position 619: 0.00014184129038627693
Position 772: 0.00014134959758376815
Position 1410: 8.473962872428055e-05
Position 1003: 7.13485208465434e-05
Position 1478: 6.693122135478154e-05
Position 939: 6.60675913741407e-05
Position 3515: 6.232524979932943e-05
Position 3556: 5.407946371914543e-05
Position 1980: 3.2783610223333745e-05
Position 513: 3.0459023260354984e-05
Position 85: 2.08309787012183e-06
Position 82: 7.096651545459688e-07
Position 677: 6.831836348580882e-07
Position 14: 6.396399398762517e-07
Position 8: 4.453944237700104e-07
Position 4444: 3.4661051279040933e-07
Position 1014: 1.460837303472762e-07
Position 367: 1.2859013177317995e-07
Position 229: 9.347270234550615e-08
Position 519: 6.178797422767946e-08
Position 593: 5.08878588637822e-08
Position 491: 1.6344283542262534e-08
Position 212: 5.175270789250303e-10
Position 424: 2.6194879624432466e-10
Position 376: 3.3851451788978984e-11
Position 378: 8.540854593655056e-12
Position 395: 6.650192614395253e-12
Position 370: 1.414792795108654e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 4124: 0.9814061740194607
Position 1602: 0.9534484868264324
Position 1409: 0.893524088743975
Position 1086: 0.301473058966675
Position 3876: 0.26475390273614624
