Gene = Sc2
index = 1471
Annotated 5SS: [ 420  794 1130]
Annotated 3SS: [ 576 1013 1191]
SMsplice 5SS: [ 420  794 1130]
SMsplice 3SS: [ 576 1013 1191]
top_k =  500
Partition function (log Z): -2.67935139237335

Sorted 5' Splice Sites (High to Low Probability):
Position 1130: 0.9781041897677822
Position 420: 0.8769002798681309
Position 794: 0.46187589823552094
Position 896: 0.06226120896382398
Position 1393: 0.04386094447009561
Position 1404: 0.03856557034729907
Position 813: 0.026562845813081392
Position 827: 0.01735792889704781
Position 97: 0.013034727904368262
Position 930: 0.011678812736983053
Position 324: 0.011332591621966735
Position 1397: 0.010349445998249643
Position 840: 0.009138088748276398
Position 378: 0.007595699042580367
Position 728: 0.006309082045941129
Position 798: 0.005061843952869864
Position 435: 0.0047571876799149294
Position 103: 0.003691029094458789
Position 1408: 0.0035247416272615123
Position 343: 0.0030608015100168913
Position 534: 0.0026561233578113607
Position 866: 0.0021967426345022058
Position 274: 0.001613310711896227
Position 372: 0.0014175862713038867
Position 424: 0.0011977128356802373
Position 287: 0.0009213823654883227
Position 760: 0.0008745484751714087
Position 87: 0.0008073186053850243
Position 908: 0.00078251634097921
Position 918: 0.0006420315408359636
Position 1430: 0.0006165707828067325
Position 447: 0.0006048542760080539
Position 935: 0.0005225490194807241
Position 718: 0.0004005412999209376
Position 742: 0.00036547316025384275
Position 428: 0.0003470095159689012
Position 879: 0.0002198344186116624
Position 376: 0.00020800574906542957
Position 310: 0.0001954960711841375
Position 546: 0.00019422187642198605
Position 608: 0.00017741381434227874
Position 942: 0.00016887832650195537
Position 1482: 0.00015285066095085595
Position 767: 0.00014674298224617358
Position 851: 0.0001413226643702887
Position 1345: 0.00013748907666098843
Position 537: 0.0001218844567719388
Position 834: 0.00010283160180753316
Position 395: 8.112622632797796e-05
Position 898: 7.550278293444793e-05
Position 1134: 5.7680949637035136e-05
Position 615: 3.2872799179416336e-05
Position 635: 2.9156663334332033e-05
Position 1124: 2.6639083021569573e-05
Position 599: 2.5049980306374288e-05
Position 20: 2.2621481963261902e-05
Position 1235: 1.9486145791645923e-05
Position 1080: 1.8853458156456482e-05
Position 716: 1.8453264691575327e-05
Position 1137: 1.404002823262066e-05
Position 194: 1.2448550282301578e-05
Position 1227: 1.1752417685389041e-05
Position 438: 8.303199721418504e-06
Position 186: 7.253700285583984e-06
Position 458: 4.0296823117225805e-06
Position 254: 2.1798127276239905e-06
Position 1472: 1.9223579796559166e-06
Position 476: 8.972371606996443e-07
Position 246: 2.8199473324841726e-07
Position 1095: 1.2460660545603938e-07
Position 1162: 8.517455135166139e-08
Position 1196: 4.869493613339023e-08
Position 1247: 1.5033332958421538e-08
Position 1276: 3.794349066561761e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1191: 0.963092607514725
Position 576: 0.5579702288081055
Position 978: 0.4978610897092673
Position 1013: 0.4649883615074966
Position 1521: 0.041351133527147185
Position 1480: 0.030682352036743216
Position 1470: 0.023223872736169493
Position 742: 0.01066329982565508
Position 1396: 0.006072408108546572
Position 1300: 0.005552711614136025
Position 613: 0.0024810934133168146
Position 1493: 0.0022214503589767787
Position 1540: 0.0020000706777846666
Position 1026: 0.0017833495880208157
Position 546: 0.0007778070306865171
Position 1366: 0.00044812017201369006
Position 895: 0.0003637561092078763
Position 1485: 0.0002780254977812809
Position 1537: 0.00027484738420941373
Position 625: 0.0002502212852157499
Position 682: 0.00018803579072909196
Position 1324: 0.0001865193257629288
Position 294: 0.00013539705424284003
Position 420: 0.00011489016776228713
Position 165: 8.104368871538804e-05
Position 186: 5.335519013745093e-05
Position 153: 3.59695297441972e-05
Position 207: 3.16682295167901e-05
Position 1156: 2.990997025728924e-05
Position 431: 2.8582984274177518e-05
Position 1222: 2.7541299683362906e-05
Position 992: 2.6422241186702892e-05
Position 162: 2.6311514236827263e-05
Position 1342: 2.3958509784740087e-05
Position 901: 2.0078025224567992e-05
Position 1339: 1.9392584772619616e-05
Position 923: 1.6170196686507433e-05
Position 267: 1.5445037379880856e-05
Position 1351: 1.5066696398677329e-05
Position 215: 3.5069744992353646e-06
Position 80: 3.20742063383349e-06
Position 279: 2.0904800748018984e-06
Position 669: 1.204293611490788e-06
Position 388: 9.670860303036196e-07
Position 1121: 7.63688122562766e-07
Position 1080: 7.567232001792336e-07
Position 306: 7.200441937797775e-07
Position 447: 3.902623241118365e-07
Position 222: 3.690185063647384e-07
Position 438: 2.014457757041407e-07
Position 75: 9.868268756007211e-08
Position 324: 6.4036901089481e-08
Position 1345: 2.5960030992716363e-08
Position 372: 2.5785049079181806e-08
Position 395: 1.2400887894211063e-08
Position 84: 1.1086864244036146e-08
Position 96: 7.591311744479828e-09
Position 435: 1.7501952066743646e-09
Position 102: 4.2143292687591407e-10
Position 424: 2.443017110166192e-10
