Gene = Bre1
index = 53
Annotated 5SS: [ 137 1493 2497]
Annotated 3SS: [ 339 1606 2548]
SMsplice 5SS: [ 137  833 1493 2497 2752]
SMsplice 3SS: [ 339  884 1606 2548 3820]
top_k =  500
Partition function (log Z): 7.249718775965201

Sorted 5' Splice Sites (High to Low Probability):
Position 2497: 0.992524722794657
Position 1493: 0.983589582815386
Position 2752: 0.7223144020410162
Position 833: 0.6430410897143825
Position 137: 0.4699398854449093
Position 254: 0.36865787713717185
Position 29: 0.08918291884349248
Position 4050: 0.06304540703834649
Position 827: 0.03678083331754138
Position 74: 0.03523987720202346
Position 1808: 0.026595003250828156
Position 3498: 0.02117949355278156
Position 2780: 0.016378112767546613
Position 3929: 0.01401497827134255
Position 1545: 0.01286846961512151
Position 431: 0.00835543695199833
Position 844: 0.006334409846391859
Position 2471: 0.005343020665307152
Position 3441: 0.004916513127953601
Position 2977: 0.004092341780461805
Position 491: 0.004050865470681841
Position 1281: 0.003927698107048591
Position 628: 0.0034353384351934703
Position 104: 0.0032338369639053097
Position 722: 0.002805195729045485
Position 2142: 0.0027243162606494843
Position 3644: 0.0017933445963776579
Position 1983: 0.0017276349365289516
Position 3972: 0.0016541262445189419
Position 1472: 0.0015945286603713882
Position 2280: 0.0014421918200481273
Position 116: 0.0008233968218026991
Position 118: 0.0007584944999944451
Position 3905: 0.0007275068408876568
Position 3774: 0.000623517830121032
Position 4054: 0.0005708688397862033
Position 1513: 0.0005705116035693903
Position 620: 0.00044272933377918663
Position 617: 0.000432646008487337
Position 802: 0.0004308318765486594
Position 815: 0.0004097068981082858
Position 3913: 0.0003701811762367331
Position 4073: 0.00036962177164149884
Position 2501: 0.00035562661219301037
Position 4048: 0.00027706790411875586
Position 2870: 0.0002543797614517536
Position 2103: 0.0002037817702305549
Position 800: 0.00019629163049255307
Position 109: 0.00019463581977880384
Position 1988: 0.00018939702461446867
Position 3527: 0.00018126958193926407
Position 1628: 0.0001785583012276115
Position 2463: 0.0001638798384113545
Position 206: 0.00013943953269210548
Position 3306: 0.00010318917916242654
Position 3275: 0.0001018251708752264
Position 2916: 9.17655656764334e-05
Position 1772: 8.980741155206673e-05
Position 2747: 8.167307210436159e-05
Position 4020: 8.042905811210374e-05
Position 1087: 7.535550919596313e-05
Position 794: 7.261588530703876e-05
Position 1497: 7.003807817533126e-05
Position 2008: 6.843980871921982e-05
Position 979: 6.725200979199072e-05
Position 1861: 6.556544059341131e-05
Position 3063: 5.214543192625987e-05
Position 3162: 4.7178269731484965e-05
Position 3587: 4.701890259356905e-05
Position 2874: 4.0772352010139376e-05
Position 3182: 4.0652462263831403e-05
Position 2930: 3.836160151209389e-05
Position 15: 3.709668347377387e-05
Position 608: 2.9511318900861358e-05
Position 4243: 2.1932517458092925e-05
Position 1838: 2.1634092960958806e-05
Position 2447: 1.781699149535141e-05
Position 167: 1.2833517387300607e-05
Position 31: 1.1367949304513309e-05
Position 992: 8.10295778361753e-06
Position 4229: 7.803010912365217e-06
Position 7: 7.579095082101123e-06
Position 2628: 3.7380019930234306e-06
Position 188: 3.619993723727891e-06
Position 3419: 2.67634212059023e-06
Position 2288: 2.3632048885081626e-06
Position 2379: 2.2644991534464417e-06
Position 195: 1.8865583051863692e-06
Position 3380: 1.611230529263963e-06
Position 3008: 1.4205403994791944e-06
Position 141: 1.2717951748698905e-06
Position 2505: 1.233531066605551e-06
Position 3674: 8.907877034756092e-07
Position 3923: 8.679287587604644e-07
Position 2144: 8.042477250668003e-07
Position 463: 7.821793652392518e-07
Position 3897: 7.214010276814325e-07
Position 2456: 5.537922222247826e-07
Position 1882: 4.914549920567475e-07
Position 2168: 4.7313397159245715e-07
Position 461: 4.0854255778491726e-07
Position 2219: 3.6013327099704316e-07
Position 392: 3.13315273680754e-07
Position 2277: 2.0749536120670286e-07
Position 2430: 1.7814008101900155e-07
Position 2836: 1.7167846348911623e-07
Position 2633: 1.4563831223046881e-07
Position 3167: 1.3827287090019031e-07
Position 1648: 1.2613770831299285e-07
Position 299: 8.401121585216607e-08
Position 1654: 8.104285558044738e-08
Position 1117: 5.6727583121277145e-08
Position 2086: 3.802578808338077e-08
Position 1352: 3.0163351536207874e-08
Position 885: 1.1495635660310272e-08
Position 990: 1.0884916778625078e-08
Position 733: 1.0744137221058694e-08
Position 3325: 7.30978212944547e-09
Position 1634: 7.088262952589771e-09
Position 2594: 2.2000722947820926e-10
Position 318: 9.606545814264514e-13
Position 2043: 1.8053061678308551e-13
Position 349: 1.752322862136019e-13
Position 339: 4.499341226628902e-14
Position 329: 3.759055185106506e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 2548: 0.9958165239634122
Position 1606: 0.9922465423552002
Position 339: 0.9504785045527698
Position 3820: 0.7564917109220737
Position 884: 0.5119953929302965
Position 902: 0.08155616939134394
Position 1328: 0.05577510930683682
Position 4106: 0.0547495044862544
Position 917: 0.029579446132071276
Position 4138: 0.01622384925032949
Position 1858: 0.015832734790781434
Position 891: 0.01452105434333232
Position 4009: 0.007591233786644346
Position 1615: 0.0072494872476047524
Position 136: 0.007190708977949975
Position 4073: 0.007161599764810681
Position 2255: 0.005266836629693734
Position 1087: 0.004821805283673756
Position 195: 0.003655595390054271
Position 670: 0.0035362795960343484
Position 3565: 0.002805702367729384
Position 1891: 0.0024724605113146947
Position 1108: 0.0020885758672847805
Position 318: 0.0018621998416133928
Position 2222: 0.001804231253437263
Position 4053: 0.001656605284327745
Position 1332: 0.0014125390222733784
Position 505: 0.001335589782790431
Position 4077: 0.001275986334692876
Position 2553: 0.001190867024581197
Position 159: 0.0011454385527666308
Position 1861: 0.0011113622975673155
Position 2308: 0.0010776463189780385
Position 1273: 0.001065928293278324
Position 4028: 0.0010007832483766507
Position 2972: 0.0009999484405751686
Position 2889: 0.0007691083542439165
Position 2178: 0.0007543446904800233
Position 2836: 0.0007161667703444006
Position 640: 0.000708482019489423
Position 1294: 0.0006628010213736188
Position 4143: 0.0006271438341401897
Position 2416: 0.0005834051683903534
Position 1144: 0.0005440744986012293
Position 345: 0.0005165425437332176
Position 1981: 0.0004727037316464297
Position 2798: 0.0004388658053861809
Position 2339: 0.0004382106277291971
Position 2567: 0.0004194470982690673
Position 3249: 0.0003993333977069742
Position 4347: 0.0003930443180881249
Position 2038: 0.00035464293710811844
Position 2047: 0.0003413348811163004
Position 2813: 0.00030604771773531903
Position 2425: 0.0003027680111796548
Position 3795: 0.0002958571745626671
Position 535: 0.0002948035538667522
Position 1359: 0.00029097616379156503
Position 1987: 0.0002819094921611996
Position 3128: 0.00027704400299241784
Position 4048: 0.00027458597324373456
Position 109: 0.0002617033482370671
Position 1699: 0.0002566955173241897
Position 4201: 0.00024408725964502608
Position 177: 0.0002432715313025263
Position 1305: 0.00023541001351929256
Position 577: 0.00023360969539302847
Position 685: 0.0001996848315454359
Position 1196: 0.0001960899886570391
Position 3059: 0.00017286832534371173
Position 4266: 0.00017070532639658774
Position 1363: 0.00017066266039086618
Position 1912: 0.00016281812100306717
Position 1888: 0.00014813986440352482
Position 865: 0.00014236925902969707
Position 3293: 0.0001389872826331518
Position 1993: 0.00012340228405160382
Position 2092: 0.00012272698977496802
Position 116: 0.00011719008921083323
Position 1372: 0.00011523683426953173
Position 3497: 9.225780068924759e-05
Position 2927: 8.495860982693978e-05
Position 2078: 8.478220634891261e-05
Position 1123: 7.91835150414988e-05
Position 1549: 7.789424726764051e-05
Position 1084: 7.738344372470553e-05
Position 3302: 7.476127164852827e-05
Position 1171: 7.421102732724077e-05
Position 703: 7.249900216209975e-05
Position 1060: 6.490989398518598e-05
