Gene = dre4
index = 1676
Annotated 5SS: [ 203  661 1026 2272 3196 3513 3731 3959]
Annotated 3SS: [ 396  725 1093 2328 3249 3576 3841 4394]
SMsplice 5SS: [ 203  661 1026 2272 3196 3513 3731 3959]
SMsplice 3SS: [ 396  725 1093 2328 3249 3576 3841 4394]
top_k =  500
Partition function (log Z): 20.437707920602836

Sorted 5' Splice Sites (High to Low Probability):
Position 3513: 0.9996185211642087
Position 3196: 0.9958942557671887
Position 1026: 0.991105812604463
Position 3731: 0.9824917307235242
Position 2272: 0.9621742803728408
Position 661: 0.9257949243113704
Position 203: 0.6208948606271016
Position 3959: 0.5105147773395283
Position 339: 0.36324749773061016
Position 1379: 0.15366955538957872
Position 4337: 0.14814563574748563
Position 2080: 0.07468642773101045
Position 2940: 0.024422278200790626
Position 3058: 0.012230081772189276
Position 2508: 0.012170696862626685
Position 314: 0.010375006897106945
Position 2624: 0.009195344999929132
Position 1688: 0.007724640405664288
Position 1269: 0.005128698284552964
Position 2915: 0.0048471673280312474
Position 3062: 0.004520311189420433
Position 2276: 0.003897348888616259
Position 4013: 0.0035549499250297598
Position 2911: 0.0031304740894206973
Position 311: 0.0028786762374944236
Position 626: 0.0024014582763579565
Position 1479: 0.0022425999947764865
Position 3880: 0.001912539484006725
Position 2844: 0.0017657055767382134
Position 983: 0.0016428688418907008
Position 2894: 0.0012376957392845323
Position 869: 0.00103932196034077
Position 285: 0.0010071009588430877
Position 3926: 0.0009138669732405062
Position 1337: 0.0008138564465339064
Position 1589: 0.0007361239885549931
Position 266: 0.0006246888755983517
Position 2635: 0.0006062569957356764
Position 3772: 0.0004969696196837793
Position 1277: 0.0004874556119221664
Position 2270: 0.0004861872531095731
Position 3759: 0.00038356099520705394
Position 649: 0.0003800459604775911
Position 3053: 0.0003445618158429728
Position 207: 0.00032280365981925325
Position 543: 0.00031741018508335366
Position 219: 0.00031670658927726635
Position 4066: 0.0003131992855333108
Position 3893: 0.00030517495807584063
Position 1682: 0.0002852701007139591
Position 4347: 0.00027573307797173227
Position 1484: 0.00026946597511151734
Position 561: 0.0002458430315499966
Position 477: 0.00022999252007343534
Position 4530: 0.0002259278401347779
Position 1991: 0.0002207998066794215
Position 4588: 0.00019455042950026113
Position 541: 0.00019375512978954358
Position 830: 0.00018756391188518473
Position 4128: 0.00018626003365731624
Position 1271: 0.00018590971741515197
Position 3179: 0.000183742785296241
Position 2417: 0.00017083222621709597
Position 1710: 0.00017072927678891552
Position 2366: 0.00016339069916673562
Position 4061: 0.0001483172929200432
Position 2117: 0.00014818890056145443
Position 4539: 0.00014734723515219775
Position 3718: 0.00014233932282318678
Position 2069: 0.00014109338078123997
Position 163: 0.0001359012921774044
Position 1712: 0.0001267681624918487
Position 962: 0.00012670723117126596
Position 4227: 0.00012439275852597995
Position 4221: 0.00011772590636979333
Position 1303: 0.00010672833486055875
Position 1241: 9.441416174169035e-05
Position 2104: 8.487000330338119e-05
Position 863: 8.472158544544396e-05
Position 342: 8.186605706162788e-05
Position 665: 8.017272738052974e-05
Position 4173: 7.894905305075467e-05
Position 1604: 7.153380142899526e-05
Position 4091: 6.975169169683321e-05
Position 2281: 6.745334594206558e-05
Position 1150: 6.484095813434265e-05
Position 4680: 6.336954947943078e-05
Position 3475: 6.284622398460432e-05
Position 460: 5.2669591553117444e-05
Position 4576: 5.2474412020302167e-05
Position 1231: 5.175097713253848e-05
Position 3963: 4.213904224559754e-05
Position 1509: 3.812145512327341e-05
Position 4251: 2.9357678022172038e-05
Position 3146: 2.7435423417198595e-05
Position 926: 2.6595822206473992e-05
Position 3200: 2.241604821376973e-05
Position 4118: 2.2295923382390335e-05
Position 454: 2.1610654573138505e-05
Position 1528: 2.127803908660179e-05
Position 1429: 2.0328240981808323e-05
Position 211: 1.985110917058118e-05
Position 4592: 1.874224745060685e-05
Position 4683: 1.857560578640282e-05
Position 2710: 1.7715154463429093e-05
Position 4204: 1.683835234179727e-05
Position 114: 1.622538687525888e-05
Position 167: 1.5294763331211634e-05
Position 232: 1.493368469123944e-05
Position 176: 1.4337561445418474e-05
Position 4158: 1.3642178682280642e-05
Position 4256: 1.3140909324188761e-05
Position 2978: 1.2533601639433558e-05
Position 486: 1.1276013211372294e-05
