Gene = Sh3beta
index = 1498
Annotated 5SS: [ 371 1702 2819 3099 4191]
Annotated 3SS: [1275 2743 3049 3151 4298]
SMsplice 5SS: [371]
SMsplice 3SS: [1275]
top_k =  500
Partition function (log Z): -6.995188413893788

Sorted 5' Splice Sites (High to Low Probability):
Position 371: 0.6247153136260476
Position 1198: 0.4226281458436651
Position 1702: 0.35353728782238336
Position 2819: 0.2671103096354984
Position 1164: 0.21201240373667135
Position 3099: 0.18602430557240812
Position 34: 0.11493852776546468
Position 543: 0.06523804643323432
Position 1414: 0.01946847883600339
Position 2639: 0.013719418597148087
Position 539: 0.012086186766240733
Position 768: 0.011332450658213327
Position 628: 0.008452125660230908
Position 1478: 0.007251300196742844
Position 2390: 0.006223209936055769
Position 3781: 0.0061821015318018965
Position 580: 0.005594357191154699
Position 576: 0.005457848160436561
Position 616: 0.005327627691000535
Position 535: 0.005003169045750795
Position 1561: 0.004690091386063047
Position 3104: 0.003974339852601902
Position 896: 0.002742601514665284
Position 1142: 0.002123000178857252
Position 1329: 0.0021219762142479343
Position 1112: 0.0020522624893603756
Position 1725: 0.0014514966004335618
Position 437: 0.0013093699340437739
Position 972: 0.0012933532660684881
Position 1406: 0.0012426047470121791
Position 2247: 0.0010752015652838508
Position 191: 0.000989186674607572
Position 650: 0.0009752985880723556
Position 901: 0.0008973033819452909
Position 780: 0.000778457652167396
Position 2626: 0.0007146429419442656
Position 2189: 0.0007135647147477305
Position 1094: 0.0006437652274090493
Position 764: 0.0005504596032174291
Position 2598: 0.0005174830758374518
Position 719: 0.0004123811311988493
Position 1191: 0.0003579584852165132
Position 1525: 0.0002788432059710767
Position 155: 0.0002736049722605021
Position 1470: 0.00024425470824104053
Position 531: 0.0001747002377535277
Position 786: 0.00014441097619250225
Position 782: 0.00013882447770011168
Position 788: 0.00013163867229872123
Position 2072: 0.00013084785189629655
Position 784: 0.00012987339079225077
Position 1741: 0.00012366382646712674
Position 807: 0.00011985538097359276
Position 8: 9.25851290687414e-05
Position 588: 6.200095447688257e-05
Position 1983: 5.690020655960199e-05
Position 375: 5.060291239283057e-05
Position 932: 4.5756973513470074e-05
Position 1666: 3.45422612341209e-05
Position 620: 3.372477931650705e-05
Position 483: 2.942721777547907e-05
Position 890: 2.8365619678556668e-05
Position 426: 2.428849074456828e-05
Position 566: 2.370406607581427e-05
Position 569: 2.0293522414923573e-05
Position 86: 1.959547319365872e-05
Position 258: 1.874439238564376e-05
Position 379: 1.6723655520356755e-05
Position 1809: 1.6507265340782566e-05
Position 480: 1.5099084083431807e-05
Position 1154: 1.2429317676806672e-05
Position 800: 1.0107390996065836e-05
Position 792: 9.56125775646136e-06
Position 1048: 8.371320208157102e-06
Position 584: 3.5453453796839174e-06
Position 415: 3.5303918348483077e-06
Position 836: 3.3466623259402706e-06
Position 300: 2.331165178423345e-06
Position 1339: 2.183030081827891e-06
Position 313: 1.8016342852309253e-06
Position 642: 1.6610636711139665e-06
Position 159: 1.1077148692407886e-06
Position 385: 3.158781135131731e-07
Position 329: 9.85373247325062e-08
Position 344: 4.266684575755575e-08
Position 111: 3.629867642072713e-08
Position 252: 3.118280594891055e-08
Position 338: 2.8349634462840165e-08
Position 1734: 2.5059285895585456e-08
Position 120: 2.2561464319557776e-08
Position 275: 2.1802003396708897e-08
Position 547: 1.8359523407828077e-08
Position 176: 9.119880654587912e-09
Position 161: 8.030065727309633e-09
Position 533: 5.613828338269962e-09
Position 355: 5.288577055488546e-09
Position 408: 3.803988420785927e-09
Position 169: 2.2257139770444051e-10
Position 410: 5.363959483279388e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1275: 0.9879345331042579
Position 3151: 0.23639277054888763
Position 1011: 0.2274658443459752
Position 2743: 0.22535777597757
Position 2869: 0.10528467778992093
Position 129: 0.09987078954051154
Position 601: 0.06475600446932019
Position 1869: 0.0617105364095104
Position 3049: 0.05693260461521331
Position 976: 0.03449114988655206
Position 2911: 0.025833918621039835
Position 1943: 0.021864702574172046
Position 453: 0.02019926845408046
Position 2697: 0.018105495489014457
Position 1761: 0.01657551347212708
Position 2861: 0.015730347739269533
Position 443: 0.014098262444860534
Position 2730: 0.013783313555167183
Position 2571: 0.012381008440467432
Position 759: 0.011031140855917844
