Gene = Trf
index = 1565
Annotated 5SS: [231]
Annotated 3SS: [301]
SMsplice 5SS: [231]
SMsplice 3SS: [301]
top_k =  500
Partition function (log Z): -7.4106492100425205

Sorted 5' Splice Sites (High to Low Probability):
Position 231: 0.6450326431848091
Position 235: 0.33843233689197094
Position 193: 0.014786060379537185
Position 361: 0.003236288181315907
Position 428: 0.0025006305350896503
Position 818: 0.0014317955971798436
Position 732: 0.0012880765808793917
Position 44: 0.0008119007605362677
Position 459: 0.0005074788086643878
Position 842: 0.00045749238255471636
Position 377: 0.00042302699135025884
Position 546: 0.0003471727598554371
Position 512: 0.00031395392687924833
Position 472: 0.00025514538680013226
Position 848: 0.00021105533480578147
Position 49: 0.00017791568246054216
Position 13: 0.00016320579653282218
Position 821: 0.00013853003784870834
Position 752: 0.00010093619904643389
Position 551: 9.710547041230979e-05
Position 858: 7.92752892240386e-05
Position 184: 6.534099759233739e-05
Position 641: 5.106952713694239e-05
Position 94: 4.603422057788465e-05
Position 630: 2.035731760530423e-05
Position 805: 1.7947108327692194e-05
Position 402: 1.787243900313417e-05
Position 588: 1.4844289087981322e-05
Position 824: 1.3446209757796964e-05
Position 735: 1.2827867695325326e-05
Position 690: 9.328563030343462e-06
Position 124: 6.050894922039717e-06
Position 324: 5.9010048046238635e-06
Position 59: 3.899544322985037e-06
Position 646: 3.8264044333740106e-06
Position 81: 3.507180648646865e-06
Position 397: 3.4258866366722938e-06
Position 953: 2.635600823823835e-06
Position 579: 1.4058110356239715e-06
Position 909: 1.2288198998499794e-06
Position 331: 7.737817509534379e-07
Position 309: 1.2922063344486926e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 301: 0.9977187036309972
Position 909: 0.00436503421279685
Position 427: 0.003926490786900974
Position 530: 0.0016947837780427058
Position 94: 0.0008179335733873838
Position 672: 0.0006972654424463556
Position 641: 0.00045546698254990284
Position 853: 0.00018863989948338664
Position 250: 0.0001567226890539868
Position 695: 0.0001504308436463409
Position 572: 0.00014832614480277456
Position 458: 0.00012948067046333864
Position 81: 9.261093862259474e-05
Position 551: 8.765545305105446e-05
Position 731: 8.512805334311156e-05
Position 617: 8.2710446507136e-05
Position 533: 6.81647785495697e-05
Position 964: 4.463505500647999e-05
Position 347: 4.253612943411604e-05
Position 566: 2.694039444227035e-05
Position 858: 2.4525301224754412e-05
Position 805: 2.2523615779099228e-05
Position 163: 1.7119034230493274e-05
Position 996: 1.404207546751119e-05
Position 272: 9.278712763911943e-06
Position 646: 5.934451095841073e-06
Position 752: 5.198061235070297e-06
Position 137: 3.7730956582295913e-06
Position 110: 2.8212782281098765e-06
Position 662: 2.539892408103416e-06
Position 512: 1.6830241085949865e-06
Position 116: 1.0505839667638677e-06
Position 782: 1.0397265359483292e-06
Position 389: 9.795106524996876e-07
Position 435: 7.873539673476265e-07
Position 252: 7.321611787076772e-07
Position 171: 4.226223654074228e-08
Position 231: 1.1450559096404934e-08
Position 180: 7.571961265531323e-09
Position 204: 5.816431058865978e-10
Position 377: 9.615406766973246e-12
Position 367: 1.1170261331137477e-12
Position 219: 6.031859819087757e-13
Position 198: 4.854549384407208e-15
