Gene = Iyd
index = 1238
Annotated 5SS: [ 507 1698 2051]
Annotated 3SS: [ 602 1889 2105]
SMsplice 5SS: [2051]
SMsplice 3SS: [2105]
top_k =  500
Partition function (log Z): -6.943790519632611

Sorted 5' Splice Sites (High to Low Probability):
Position 2051: 0.9848373372796342
Position 1622: 0.14324013859867665
Position 40: 0.08801876659825603
Position 1136: 0.0411083916463021
Position 296: 0.03726595692325224
Position 437: 0.0341054008438059
Position 1820: 0.01869765914209899
Position 69: 0.016307799856805392
Position 2443: 0.015782332325919256
Position 54: 0.007050640449404294
Position 545: 0.005239328317753153
Position 218: 0.00515925759948458
Position 1287: 0.005011379242230299
Position 1978: 0.0029999728110970923
Position 88: 0.0026801164186854853
Position 300: 0.0019542154443919833
Position 1946: 0.00131908050314036
Position 13: 0.001303970557178926
Position 1054: 0.001228306156774015
Position 153: 0.0009832855789551251
Position 1438: 0.0006957985828026027
Position 1289: 0.0001765137360710365
Position 690: 0.00013347260920607538
Position 583: 0.00013217466066629694
Position 2447: 5.9697012553134226e-05
Position 1412: 5.676437975073492e-05
Position 2735: 5.6131957804978405e-05
Position 478: 5.507992170082069e-05
Position 1537: 4.819377568321582e-05
Position 250: 4.4617112982200096e-05
Position 1074: 2.787975471078366e-05
Position 2414: 2.7308660026764e-05
Position 677: 2.53677268445632e-05
Position 2739: 2.4058137216783494e-05
Position 165: 2.1986487898235867e-05
Position 2347: 2.155240783897423e-05
Position 1698: 2.1159483062380758e-05
Position 2480: 2.012356354023019e-05
Position 1754: 1.424024222108992e-05
Position 2762: 1.2286170134919759e-05
Position 2607: 1.0701365656888226e-05
Position 849: 7.923259541381264e-06
Position 230: 6.217757319907237e-06
Position 692: 5.9338194971175865e-06
Position 1198: 5.549417193623753e-06
Position 2506: 5.099070767015289e-06
Position 1336: 5.033347921826401e-06
Position 1555: 4.994277468123297e-06
Position 2354: 4.409701984771782e-06
Position 2282: 4.214648850104905e-06
Position 861: 3.921455636854022e-06
Position 2801: 3.7285790922863866e-06
Position 1463: 3.6174401686775166e-06
Position 1803: 3.5563855619054896e-06
Position 494: 1.307342263295056e-07
Position 2174: 9.154966431057524e-08
Position 2238: 7.689819243565604e-08
Position 607: 4.40010272274032e-08
Position 141: 4.0604810690665475e-08
Position 1234: 2.9366430919231532e-08
Position 1048: 2.6796949510695307e-08
Position 284: 2.303817825023548e-08
Position 1343: 2.3013214997173108e-08
Position 626: 2.2770364025353673e-08
Position 1033: 2.1020471668453613e-08
Position 242: 1.727557800945189e-09
Position 2357: 1.4477287746242999e-09
Position 402: 6.868858826335922e-10
Position 2488: 3.954550673190602e-11
Position 116: 1.4451577885657368e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2105: 0.9980071522157825
Position 128: 0.08790707580873708
Position 1873: 0.055504457075695415
Position 1683: 0.05310352958672927
Position 1667: 0.039709399198046974
Position 1692: 0.029556327566845276
Position 503: 0.019944889732907093
Position 1778: 0.01852096475684376
Position 2029: 0.01652409107976601
Position 1876: 0.01455395647787118
Position 1343: 0.011667179329968632
Position 2530: 0.010104422485944236
Position 278: 0.0071380245067405685
Position 359: 0.005978415525331762
Position 1373: 0.00506185586543993
Position 1509: 0.003316824491264043
Position 1889: 0.0032410279669720615
Position 1999: 0.0031128438333041055
Position 1357: 0.0025692013892372714
Position 605: 0.002556645409454453
Position 1227: 0.002339895913082717
Position 137: 0.002304879932784536
Position 2630: 0.002199932232742093
Position 2527: 0.0021262522235691076
Position 1820: 0.0019715983125763873
Position 578: 0.0019581975964358517
Position 507: 0.001901065100369121
Position 1670: 0.0011875570802103753
Position 1273: 0.0010290180051445669
Position 1378: 0.0009665020709320931
Position 979: 0.0009610638071793509
Position 835: 0.0008481680976938254
Position 81: 0.0007505125766356004
Position 148: 0.0006774853773751529
Position 1173: 0.0006060586517736508
Position 2813: 0.0005609431431756072
Position 1250: 0.0004909960583918093
Position 1566: 0.00048755674685457714
Position 1181: 0.00046629341629266625
Position 2833: 0.0004332634270998969
Position 2485: 0.00037562999625163955
Position 1119: 0.0003276340490226406
Position 774: 0.00032189615102661
Position 1006: 0.00031985031150201325
Position 1255: 0.0003175551581554102
Position 1057: 0.00030526304004913123
Position 602: 0.00028231459933272346
Position 553: 0.000282239325819462
Position 2259: 0.0002532444995955018
Position 212: 0.00020635979934987536
Position 1635: 0.0001910011480083971
Position 2488: 0.0001579882753154957
