Gene = Ca-beta
index = 1051
Annotated 5SS: [36855 37518 37800 37981 40092 40323 40561 41283 43665]
Annotated 3SS: [37400 37577 37865 39594 40154 40445 41018 43207 43814]
SMsplice 5SS: [  236 26219 26389 26579 28384 37518 37800 37981 38825 40092 40323 41283]
SMsplice 3SS: [26093 26278 26449 28252 37400 37577 37865 38127 39594 40154 40445 46175]
top_k =  500
Partition function (log Z): 15.000528794401946

Sorted 5' Splice Sites (High to Low Probability):
Position 28384: 0.9999999999999969
Position 37518: 0.9988308825325747
Position 37800: 0.9924917751442828
Position 236: 0.9798783150948023
Position 40092: 0.9610841938105512
Position 40323: 0.9417669979127964
Position 37981: 0.7499142869199105
Position 38825: 0.7147814939333094
Position 41283: 0.6767804924708516
Position 40561: 0.37949308846221935
Position 3951: 0.24421616400507223
Position 26579: 0.13144526734959888
Position 38221: 0.123692762007716
Position 37960: 0.10702804366066489
Position 26571: 0.09828189897146337
Position 13841: 0.09525284102870277
Position 39077: 0.06634894603887773
Position 40343: 0.05634714066230564
Position 38577: 0.05297757322721547
Position 45326: 0.05061346523769709
Position 42477: 0.04652673440712063
Position 41990: 0.04438247585974529
Position 38331: 0.04081307813393008
Position 37942: 0.03646782765271442
Position 38022: 0.028536683153559138
Position 224: 0.019203520868623876
Position 43341: 0.010730753104582675
Position 42812: 0.007666144611133831
Position 39281: 0.007071429535242054
Position 39741: 0.00651943459266002
Position 40087: 0.0045410089295171135
Position 41555: 0.004434051995801763
Position 41649: 0.00412846501964092
Position 37703: 0.003565715569906968
Position 38311: 0.0034950769126250087
Position 38591: 0.002758077597422855
Position 38397: 0.0026033682958857885
Position 39436: 0.0025377748735895414
Position 42040: 0.0018208179437414678
Position 37752: 0.0016178319370398627
Position 38048: 0.0015141028209601168
Position 38339: 0.0014156232828910497
Position 40327: 0.0013234335173126555
Position 42683: 0.0013042702159755072
Position 37522: 0.0011039021619933655
Position 38637: 0.0009967073215404526
Position 38955: 0.0009491333542270683
Position 240: 0.0006532447806757111
Position 42390: 0.000593379977494601
Position 41816: 0.0005156679114097855
Position 42169: 0.0004731020489683364
Position 41441: 0.00043039602020284
Position 40380: 0.00040587566683083793
Position 40637: 0.0002649749381106258
Position 39945: 0.00026249246569547385
Position 38173: 0.0002623364776571023
Position 37747: 0.0001757382628306711
Position 38675: 0.0001436694381285614
Position 41508: 0.00014173671807975874
Position 38214: 0.0001401321201232194
Position 38032: 0.00013194367812270708
Position 37924: 0.00013166447611273838
Position 40313: 0.00012131733989157199
Position 39768: 0.00011338485809285763
Position 41982: 9.131511725911135e-05
Position 37734: 9.121874092916739e-05
Position 37718: 8.661935513373567e-05
Position 2197: 8.147797269637877e-05
Position 38096: 6.153909740108508e-05
Position 38113: 4.985224617072622e-05
Position 294: 4.29215294828814e-05
Position 1429: 3.70390531614444e-05
Position 38532: 3.699421152560617e-05
Position 38667: 3.632803906295505e-05
Position 40600: 3.439974970046933e-05
Position 40837: 3.3012171617690364e-05
Position 41959: 3.2849703982158324e-05
Position 40263: 3.0571273829034875e-05
Position 40790: 2.8421566453759293e-05
Position 735: 2.571891611608303e-05
Position 2412: 2.3201165086494053e-05
Position 40817: 2.2667217950052742e-05
Position 41617: 2.1861751763123808e-05
Position 2442: 1.923994377117753e-05
Position 40218: 1.799380585112587e-05
Position 152: 1.3654258859046676e-05
Position 250: 1.2283256360164526e-05
Position 1370: 9.383160365809863e-06
Position 39081: 7.178118632176896e-06
Position 37836: 6.487180683028615e-06
Position 38970: 4.470456799320293e-06
Position 41415: 3.826405390613917e-06
Position 38038: 3.7822160322767008e-06
Position 37667: 3.277767759645434e-06
Position 38349: 2.801390345027963e-06
Position 37889: 2.4124050591366262e-06
Position 37647: 1.5945536608796894e-06
Position 38371: 1.5162924458671945e-06
Position 38233: 1.3428918810173652e-06
Position 38347: 9.643330712494851e-07
Position 40256: 8.703613887489528e-07
Position 37662: 8.002348989035147e-07
Position 38101: 6.795433106928367e-07
Position 38130: 6.515916950930194e-07
Position 37907: 5.480823205000448e-07
Position 39144: 2.5877292965919314e-07
Position 37838: 2.472001248328988e-07
Position 38455: 1.9149406329509516e-07
Position 41301: 6.871362783291677e-08
Position 40412: 4.981663244195156e-08
Position 41266: 2.959732892551548e-08
Position 41230: 2.76683719094749e-08
Position 41326: 1.711634050811129e-08
Position 41316: 1.5862278241021765e-08
Position 38235: 6.246897253884265e-09
Position 40448: 3.750287005740042e-09
Position 40416: 3.3522679951689106e-10
Position 41292: 8.25862797359503e-11
Position 40540: 1.5978813992893827e-11
Position 40583: 1.1024313905702842e-11
Position 40713: 3.8010737493107916e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 28252: 0.9999999999999957
Position 37400: 0.9999521830176945
Position 40445: 0.9997009299511352
Position 37577: 0.9983589383538338
Position 37865: 0.9965086096101564
Position 40154: 0.9953215498480771
Position 38127: 0.48494802288888056
Position 46175: 0.3089087114444808
Position 39594: 0.304970312222227
Position 26449: 0.22972716632106244
Position 38637: 0.17309904444925647
Position 38894: 0.1725493306650457
Position 45174: 0.17129496051510362
Position 38560: 0.1472390776105951
Position 43207: 0.13623064216576367
Position 38455: 0.12719687548097774
Position 39201: 0.1114670538917725
Position 3749: 0.10654781448429369
Position 13756: 0.08402631473659368
Position 45109: 0.08344101784957182
Position 43008: 0.07831637724772554
Position 46943: 0.07665771743852681
Position 38885: 0.07408037149553405
Position 3833: 0.07304192644513728
Position 42253: 0.0676325540101294
Position 39809: 0.06318229554933108
Position 41709: 0.04592695252270701
Position 38172: 0.037798053705322285
Position 45846: 0.03743076569238962
Position 39110: 0.03653565008631966
Position 39365: 0.03472641377919395
Position 39497: 0.03448011191298248
Position 39540: 0.032617447700397914
Position 40711: 0.03209858993838354
Position 38691: 0.02492049084009694
Position 45424: 0.024529490386138386
Position 3385: 0.024500725072145207
Position 41756: 0.02213989553931752
Position 42548: 0.018304607070982755
Position 39207: 0.015830098461266793
Position 41490: 0.015499117790631912
Position 41374: 0.01454988894696526
Position 2528: 0.013209319624811968
Position 44944: 0.012738350911334087
Position 13073: 0.01122652629210902
Position 2665: 0.009973217579606841
Position 42466: 0.009735333134729787
Position 40829: 0.00926727933978311
Position 40637: 0.008786421392755001
Position 43929: 0.008433742546562413
Position 39606: 0.007310571853692416
Position 39020: 0.007071680460067782
Position 41718: 0.006429665944857865
Position 39271: 0.005754423881738368
Position 39621: 0.005514063808274117
Position 41358: 0.0046405972872563105
Position 42653: 0.004600426046295748
Position 40163: 0.004589946831030855
Position 40658: 0.004385656970626915
Position 3414: 0.00423711361530956
Position 41607: 0.0031811136704434123
Position 38798: 0.0027890735998199597
Position 38653: 0.0026527143633980517
Position 42967: 0.0026525062523038855
Position 40774: 0.002632321229499552
Position 43229: 0.002605649789341559
Position 38129: 0.0024848462359926358
Position 41169: 0.0022852672142937396
Position 42747: 0.0020294847843681497
Position 41501: 0.0015616601208081943
Position 41872: 0.0014602932501606262
Position 38257: 0.0014317789263131717
Position 3680: 0.001408103047889044
Position 42094: 0.0013258563042563005
Position 41018: 0.0012297993434893402
Position 1968: 0.0011732482173495789
Position 2862: 0.0011547925240655936
Position 38606: 0.001138495553423874
Position 41626: 0.0011102333276295953
Position 40786: 0.0011028432148901782
Position 38297: 0.0010649632939779207
Position 1893: 0.0010252689235920403
Position 37579: 0.0009735222628868549
Position 38527: 0.0009510060387101638
Position 3869: 0.0009465088252247542
Position 3239: 0.00090747323590965
Position 40801: 0.0008825644956795643
Position 38270: 0.000803851352815809
Position 42437: 0.0008024534812051232
Position 3206: 0.0007783331281811541
Position 43260: 0.0006974680516571943
Position 38277: 0.0006602041417241176
Position 2900: 0.0005973149163686122
Position 38591: 0.0005909582755172002
Position 3006: 0.0005789703210439494
Position 38524: 0.0005614758913908312
Position 2803: 0.0005140322401491896
Position 38484: 0.0004998152162300727
Position 3252: 0.0004953468854502027
Position 42119: 0.0004931500333868759
Position 2272: 0.00048051392060229254
Position 42044: 0.0004717563247964737
Position 3644: 0.0004534588668358378
Position 41396: 0.00044074621221181024
Position 37614: 0.00042449810697596323
Position 37876: 0.00041433222681544306
Position 41816: 0.0004073281293567163
Position 2964: 0.00039742700652099945
Position 2955: 0.00032210813206170113
Position 1946: 0.00031408710051646896
Position 41562: 0.00030806412400329357
Position 38391: 0.00030271449088984385
Position 3508: 0.0002941995871154754
Position 38944: 0.00028815651468672463
Position 2548: 0.00025145792580141097
Position 3553: 0.00023700923957203747
Position 40401: 0.0002272059107831912
Position 2765: 0.00022538157647704926
Position 41942: 0.00018198253080991137
Position 41047: 0.00017731536705986207
Position 37652: 0.0001731996877139134
Position 37885: 0.00016099005992273565
Position 3913: 0.00015101156304056702
Position 39025: 0.00014159464631891987
Position 38397: 0.00014000592320992928
Position 38846: 0.0001383486091188119
Position 38788: 0.00011305584173847129
Position 37901: 0.00010775134630715519
Position 38615: 0.00010642997454505789
Position 41420: 9.82148982842019e-05
Position 41388: 9.680617887656785e-05
Position 41897: 8.252148616723278e-05
Position 41441: 8.059793691982962e-05
Position 38181: 6.909912001282745e-05
Position 40655: 6.315029358611576e-05
Position 41032: 6.24593900954673e-05
Position 37768: 4.4533960979113534e-05
Position 37799: 4.092449242930969e-05
Position 41568: 3.7127171697879966e-05
Position 40272: 3.684273084718511e-05
Position 41021: 3.543119789268157e-05
Position 38490: 3.4163411929053684e-05
Position 38904: 2.975464597814067e-05
Position 40457: 2.4355344480585926e-05
Position 39081: 1.755432068991196e-05
Position 40482: 1.665217562069997e-05
Position 40511: 1.0996882139152616e-05
Position 37836: 8.910458488746753e-06
Position 38143: 7.939917249137658e-06
Position 41178: 6.640330941102521e-06
Position 37813: 5.2816967631719324e-06
Position 40193: 3.894793318206364e-06
Position 41415: 2.8232979342593086e-06
Position 40837: 8.922998806370844e-07
Position 41112: 6.148043614582208e-07
Position 40834: 4.955734840667907e-07
Position 40713: 3.5758312203247937e-07
Position 40514: 2.519718055137043e-07
Position 40530: 1.841349472082097e-07
Position 40479: 1.3049270062804432e-08
