Gene = Hf
index = 1210
Annotated 5SS: [112]
Annotated 3SS: [174]
SMsplice 5SS: [112]
SMsplice 3SS: [174]
top_k =  500
Partition function (log Z): -4.317633160962947

Sorted 5' Splice Sites (High to Low Probability):
Position 112: 0.6052134726531554
Position 120: 0.39386178752804785
Position 719: 0.017062917097992215
Position 223: 0.01026366927727425
Position 361: 0.007844434710543087
Position 555: 0.00649402966294098
Position 508: 0.0009077365759371328
Position 528: 0.0008868530982003209
Position 265: 0.0007628488849198103
Position 116: 0.00032652539431382273
Position 429: 0.0003068547072772231
Position 716: 0.00023583281188006852
Position 700: 0.00021460500640289916
Position 463: 0.0001691838757652125
Position 196: 0.00013069145018706495
Position 339: 0.00011351723425377113
Position 98: 7.606775226189172e-05
Position 565: 4.609046983367632e-05
Position 709: 3.5127287442882895e-05
Position 57: 3.507930518656055e-05
Position 107: 1.4330483352667114e-05
Position 582: 1.3322558297706438e-05
Position 244: 8.70005143791628e-06
Position 124: 5.731046321061746e-06
Position 574: 5.007223422182395e-06
Position 308: 4.588113902181907e-06
Position 83: 3.5723472175930706e-06
Position 450: 2.2589537998475154e-06
Position 605: 1.8035452381320911e-06
Position 131: 1.2638682314453836e-06
Position 787: 4.75133928621045e-07
Position 457: 2.4695853631804316e-07
Position 542: 3.826881375902583e-08
Position 50: 2.165324114204453e-08
Position 3: 1.5716503620401651e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 174: 0.9945982345309746
Position 771: 0.014671399841480394
Position 286: 0.0075845154546091914
Position 636: 0.007449351406988485
Position 419: 0.003509820702022475
Position 814: 0.0034894473714224983
Position 582: 0.0027304605143204045
Position 339: 0.002278499580528789
Position 494: 0.0018367700131967984
Position 480: 0.0015893671782421998
Position 438: 0.001020674349128231
Position 627: 0.000844105865950275
Position 264: 0.0006372232439037917
Position 196: 0.0006330722124807226
Position 777: 0.0004179143713357719
Position 909: 0.0003419591548010382
Position 450: 0.0002914724797099009
Position 241: 0.0002289140119732389
Position 507: 0.00018149266869363153
Position 528: 0.0001727803251717804
Position 605: 0.00015954550909501273
Position 600: 8.680841606590937e-05
Position 542: 5.148974445657373e-05
Position 549: 4.825797644794982e-05
Position 933: 3.827986691269319e-05
Position 202: 2.8960571219709934e-05
Position 666: 2.7510163589432395e-05
Position 462: 1.9608135255837078e-05
Position 477: 1.5937518844223146e-05
Position 554: 1.5032496547414073e-05
Position 693: 1.3312432101868792e-05
Position 386: 1.0430858077730977e-05
Position 645: 8.137672042076919e-06
Position 781: 6.589157710607649e-06
Position 842: 5.088555500745908e-06
Position 209: 3.6564318397655567e-06
Position 513: 1.8760686314177166e-06
Position 941: 6.881513528083523e-07
Position 116: 4.670575176628806e-11
Position 227: 3.0904931807375564e-11
Position 74: 1.745360067886114e-11
Position 249: 1.2014209592597284e-11
Position 139: 1.181082402791574e-11
Position 348: 1.0989440318410474e-11
Position 144: 3.0613705333912455e-12
Position 131: 2.836792147938666e-12
Position 124: 2.7210041915147867e-12
Position 251: 1.9519543161775206e-12
Position 375: 1.750328686729751e-12
Position 56: 1.6180109787283795e-12
Position 351: 2.2424402689533674e-13
Position 50: 5.302159349886037e-14
