Gene = eIF1
index = 1682
Annotated 5SS: [186 587]
Annotated 3SS: [428 972]
SMsplice 5SS: [186 587]
SMsplice 3SS: [428 972]
top_k =  500
Partition function (log Z): -3.353821538452854

Sorted 5' Splice Sites (High to Low Probability):
Position 587: 0.9902045045022639
Position 186: 0.5293178832266503
Position 1075: 0.17834450263603516
Position 309: 0.05296365883584865
Position 335: 0.03980864204641999
Position 1105: 0.025877463712706765
Position 140: 0.007774691581236174
Position 74: 0.006895365491473548
Position 922: 0.005955405043131906
Position 156: 0.005610974724166664
Position 361: 0.004844743000139917
Position 918: 0.004324947244811368
Position 337: 0.004207483058480359
Position 602: 0.0028510240387463145
Position 231: 0.002447901535834977
Position 864: 0.0019247583812676168
Position 92: 0.0017735097239929786
Position 897: 0.0016808183596531267
Position 737: 0.0012719742519464055
Position 81: 0.0009589687117569831
Position 256: 0.0005100412553876629
Position 550: 0.0004330744521381053
Position 121: 0.0003936267020317891
Position 1141: 0.00038552996546938745
Position 672: 0.00036604540055045246
Position 1139: 0.00019293619694200464
Position 42: 0.0001894808289488369
Position 1046: 0.00016944046369575045
Position 137: 0.00015608645551592006
Position 190: 0.00011994066532165085
Position 183: 0.00011444932694959964
Position 1016: 0.00010225972093668753
Position 925: 6.77627939529532e-05
Position 34: 6.594680584625378e-05
Position 1123: 6.025312374238738e-05
Position 1065: 6.005469188274109e-05
Position 871: 4.907427335943493e-05
Position 610: 4.4110561860381215e-05
Position 1079: 3.1746215230980666e-05
Position 734: 3.0205376231507777e-05
Position 714: 2.3791587927804402e-05
Position 569: 1.9837026982575652e-05
Position 591: 1.8168850052934685e-05
Position 1203: 1.5207210393264847e-05
Position 127: 1.4913567831648998e-05
Position 755: 1.0496205305602415e-05
Position 654: 1.0285312336536665e-05
Position 630: 5.604997354554879e-06
Position 144: 4.465103198796573e-06
Position 994: 3.462430986598563e-06
Position 1011: 3.0604725114290693e-06
Position 153: 1.2326156862772343e-06
Position 612: 3.591434081594023e-07
Position 541: 3.255672065131611e-07
Position 160: 2.4816452215810935e-07
Position 482: 1.3260674144209355e-07
Position 395: 4.1543452163319085e-08
Position 510: 4.8116193551844535e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 972: 0.9562870890368174
Position 428: 0.6035952275762024
Position 1238: 0.12290547614037546
Position 1172: 0.08057003007519695
Position 395: 0.04090487925470614
Position 797: 0.023017072463125367
Position 811: 0.021365828059339332
Position 782: 0.006531208374430507
Position 133: 0.00373712849334955
Position 502: 0.0020232703894575103
Position 473: 0.0017136852146966532
Position 1253: 0.0015436705150241132
Position 451: 0.001014660859128844
Position 868: 0.0007569366717257112
Position 169: 0.000726585765045809
Position 824: 0.000682941563729165
Position 871: 0.0006394369916903882
Position 672: 0.0006392492274233625
Position 195: 0.0006009551775403247
Position 1203: 0.00047420430152271206
Position 891: 0.000430607992530409
Position 1262: 0.00041748916589403495
Position 734: 0.0003799954572773822
Position 1256: 0.00023941953826942832
Position 636: 0.00020212219549704314
Position 819: 0.00018847395275921675
Position 299: 0.0001580728401540152
Position 640: 0.00012719128715420888
Position 190: 0.00012004840184443579
Position 834: 0.00010358000060052523
Position 942: 8.828889015559005e-05
Position 763: 8.47496462551198e-05
Position 535: 8.376030807501448e-05
Position 409: 5.0444398058438133e-05
Position 1029: 4.982107137493501e-05
Position 714: 4.337849834699254e-05
Position 1074: 4.294941506484657e-05
Position 482: 4.0539408699177914e-05
Position 317: 3.2424337644940686e-05
Position 1009: 3.111648077968972e-05
Position 750: 2.2531944684539774e-05
Position 499: 1.443496780361084e-05
Position 1035: 1.3308244703721084e-05
Position 121: 8.038339537093496e-06
Position 492: 4.298054248285315e-06
Position 1120: 2.3950718570913983e-06
Position 565: 1.3690798229178392e-06
Position 562: 1.1225724735054308e-06
Position 92: 8.307233514694441e-07
Position 517: 5.714103281915807e-07
Position 569: 5.455720826872246e-09
Position 504: 2.8668917924618662e-09
Position 205: 2.3038604737877996e-09
Position 550: 1.061794075550177e-09
Position 583: 1.0590791942327954e-09
Position 600: 6.956202756472469e-12
